DOI,Country Code,Institutions
10.1038/s41565-022-01235-9,"FR,IT,JP","Univ Grenoble Alpes,CNR SPIN Complesso Monte S Angelo,Natl Inst Mat Sci"
10.1021/acs.nanolett.8b04275,"FR,NL,US","Univ Grenoble Alpes,Univ Pittsburgh,QuTech,Delft Univ Technol,TNO"
10.1103/PhysRevLett.110.060503,US,"Univ Maryland,NIST"
10.1088/1674-1056/26/7/078501,CN,"Nanjing Univ,Univ Sci & Technol China"
10.1016/j.tsf.2021.138784,JP,"Kyushu Univ,NTT Corp"
10.1063/5.0018012,"DE,US","Karlsruhe Inst Technol,Globalfoundries"
10.1016/j.crhy.2016.07.008,FR,Univ Paris Diderot
10.1103/PhysRevA.110.L030202,CZ,"Charles Univ Prague,Palacky Univ"
10.1103/PhysRevApplied.6.014006,"JP,RU,US,UA","B Verkin Inst Low Temp Phys & Engn,V Karazin Kharkov Natl Univ,RIKEN,Univ S Carolina,RAS,Univ Michigan"
10.1103/PhysRevLett.119.040501,"ES,CH,US","Univ Basque Country,Univ Massachusetts,Univ Geneva,IKERBASQUE"
10.1109/TASC.2024.3419905,JP,Tohoku Univ
10.1063/1.5116659,FI,"Aalto Univ,Univ Oulu,VTT Tech Res Ctr Finland Ltd"
10.1063/1.3570693,US,Univ Calif Berkeley
10.1063/1.5003169,"CA,US","Univ Waterloo,Univ Calif Berkeley"
10.1103/PhysRevB.92.235401,DE,"Rhein Westfal TH Aachen,Forschungszentrum Julich"
10.1063/5.0157509,US,"NYU,DEVCOM Army Res Lab"
10.1103/PhysRevA.90.062307,"DE,US,GB","Univ Saarland,Univ Wisconsin,Syracuse Univ"
10.1038/s41586-021-03268-x,US,"Natl Inst Stand & Technol,Univ Colorado"
10.1007/s10909-019-02183-w,"US,GB","St Louis Univ,NIST,IBM Corp,Univ Glasgow,Univ Missouri"
10.1134/S1063783410110053,RU,Moscow MV Lomonosov State Univ
10.1038/nature14270,"AU,US","Univ Calif Santa Barbara,Univ Melbourne"
10.1007/s10773-010-0253-1,CN,S China Normal Univ
10.1126/science.aau6539,"TW,US","Johns Hopkins Univ,Natl Taiwan Univ,Acad Sinica"
10.1103/PhysRevX.8.011021,US,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Google Inc,MIT"
10.1103/PhysRevLett.107.146605,KR,"Pohang Univ Sci & Technol,Korea Univ"
10.1016/j.actamat.2024.120631,US,"Ames Natl Lab,Rigetti Comp,Iowa State Univ"
10.1038/s41565-021-00925-0,JP,"RIKEN,Tokyo Tech Acad Super Smart Soc"
10.1016/j.physc.2010.05.159,JP,Yokohama Natl Univ
10.1038/NPHYS3515,"DE,US,GB","Univ Calif Berkeley,Tech Univ Kaiserslautern"
10.1557/mrs.2020.147,US,"Univ Maryland,Lawrence Livermore Natl Lab,Sandia Natl Labs,NYU"
10.1103/PhysRevB.81.134514,"DE,IT,ES","Bayer Akad Wissensch,Univ Munich,Tech Univ Munich,MATIS INFM,DMFCI,Univ Regensburg,Univ Basque Country,Basque Fdn Sci"
10.1103/PhysRevApplied.21.014043,FR,"Univ Paris Saclay,Alice&Bob,Ecole Normale Suprerieure"
10.1103/PhysRevA.87.062336,GB,Univ Oxford
10.1103/RevModPhys.89.035002,"DE,CH,US","Swiss Fed Inst Technol,Tech Univ Munich,MIT"
10.1103/PhysRevB.81.134507,"TD,US",Yale Univ
10.1038/NPHYS3742,"FR,NL","Delft Univ Technol,Eindhoven Univ Technol,Univ Toulouse"
10.1088/1361-6668/ab4918,"FR,DE","Karlsruhe Inst Technol,CNRS,Univ Grenoble Alpes,Univ Wurzburg"
10.1088/2058-9565/aabd98,"US,GB","NASA,USRA Res Inst Adv Comp Sci,UCL,Cambridge Quantum Comp Ltd,SGT Inc,Univ Cartagena,Qubitera LLC"
10.1063/1.4807152,"DE,RU","Inst Photon Technol,Novosibirsk State Tech Univ"
10.1038/NPHYS2748,US,Univ Calif Santa Barbara
10.1109/TNS.2022.3226141,"BR,IT,US","Fed Univ Parana UFPR,Los Alamos Natl Lab,Univ Trento"
10.1109/TAP.2024.3427362,"KR,US","Purdue Univ,Pohang Univ Sci & Technol POSTECH"
10.1103/PhysRevE.82.051116,DE,Univ Ulm
10.1109/TASC.2021.3070469,KR,Seoul Natl Univ
10.21468/SciPostPhys.11.4.081,US,Univ Pittsburgh
10.1088/2058-9565/ac1c41,"DE,IT,US","Colorado Sch Mines,Univ Texas Austin,CALTECH,Harvard Smithsonian Ctr Astrophys,Harvard Univ,MIT,Univ Maryland,Univ Calif Berkeley,Brookhaven Natl Lab,Univ Padua,Ist Nazl Fis Nucl INFN,Univ Saarland"
10.1063/5.0038087,US,IBM TJ Watson Res Ctr
10.1038/srep00571,"CA,US","Harvard Univ,D Wave Syst Inc"
10.1007/s11128-022-03816-y,CN,"Yanbian Univ,Fujian Normal Univ,Fujian Prov Engn Technol Res Ctr Solar Energy Conv,Fujian Prov Collaborat Innovat Ctr Adv High"
10.1038/nature10462,"JP,GB","NTT Corp,Res Org Informat & Syst,Osaka Univ,PRESTO JST"
10.1103/PhysRevD.110.115021,JP,"Kyoto Univ,Univ Tokyo,QUP WPI"
10.7566/JPSJ.88.061015,JP,Toshiba Co Ltd
10.1063/5.0083972,"CN,JP","Southwest Jiaotong Univ,Yokohama Natl Univ"
10.1063/5.0173126,SG,"Natl Univ Singapore,Agcy Sci Technol & Res"
10.1038/s41467-024-52271-z,"DE,IL,CH,US","Harvard Univ,Max Planck Inst Chem Phys Solids,Univ Basel,Weizmann Inst Sci,Northrop Grumman Miss Syst"
10.1088/1367-2630/13/9/093037,IT,"Univ Catania,CNR IMM MATIS,CIRA"
10.1103/PhysRevA.101.012302,US,"Rigetti Comp,Google,Atom Comp,Microsoft,IBM Quantum"
10.1109/TASC.2024.3354676,CN,"Chinese Acad Sci,CAS Ctr Excellence Superconducting Elect CENSE,Univ Chinese Acad Sci,Shanghai Univ"
10.1016/j.optlastec.2021.107190,"CN,CZ","Xiangtan Univ,China Gen Technol Res Inst,Masaryk Univ,Jinan Univ,South China Agr Univ"
10.1103/PhysRevLett.114.120502,AU,Univ Sydney
10.1145/3571820,DE,Karlsruhe Inst Technol
10.1103/PhysRevA.108.042427,FR,Sorbonne Univ
10.1103/PhysRevA.95.022305,"CN,ES","Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1002/qute.202300007,US,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1103/PhysRevX.12.011040,US,Univ Chicago
10.1209/0295-5075/126/67002,CN,"Nanjing Normal Univ,Southeast Univ"
10.1103/PhysRevLett.133.050203,"BR,FR,IT,ES","Univ Fed Sao Carlos,CSIC,Univ Milan,INFN Sez Milano,Univ Cote Azur"
10.1126/sciadv.1500838,AT,"Austrian Acad Sci,Univ Innsbruck"
10.1007/s11467-023-1322-2,CN,"Anqing Normal Univ,South China Normal Univ"
10.1103/PhysRevA.106.012405,"JP,GB","Chuo Univ,Sanyo Onoda City Univ,NTT Corp"
10.1038/nphys2545,DE,"Univ Stuttgart,Univ Ulm,Ruhr Univ Bochum,GSI Helmholtzzentrum Schwerionenforsch,Tech Univ Darmstadt"
10.1016/j.crhy.2012.01.001,IT,"Scuola Normale Super Pisa,Ist NanoSci CNR"
10.1103/PhysRevB.86.035313,FI,Aalto Univ
10.1103/PhysRevApplied.12.011005,NL,"QuTech,Delft Univ Technol"
10.1002/qute.201800043,"AT,IL,GB","Univ St Andrews,TU Wien,Bar Ilan Univ"
10.1103/PhysRevApplied.13.044005,"DE,US","NIST,Raytheon BBN Technol,Free Univ Berlin"
10.1140/epjqt/s40507-016-0050-8,AU,Univ Queensland
10.1140/epjqt/s40507-021-00105-y,"FI,PT","Univ Lisbon,Phys Informat & Quantum Technol Grp,Aalto Univ"
10.1038/ncomms7182,"AU,CA,DE,RU","Karlsruhe Inst Technol,Univ Sherbrooke,Univ Queensland,RMIT Univ,Natl Univ Sci & Technol"
10.1038/s41567-021-01237-9,"US,GB","NIST,Univ Colorado,Texas A&M Univ,Univ Oregon,Stanford Univ,Univ Oxford,Southern Illinois Univ"
10.1088/1674-1056/ad8a49,CN,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1007/s11128-021-03107-y,CN,Inner Mongolia Univ Sci & Technol
10.1016/j.ijleo.2016.06.077,CN,Jiangxi Univ Sci & Technol
10.1017/S1759078724000369,GB,Natl Phys Lab
10.1038/s41586-021-04182-y,"JP,NL","RIKEN,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1038/srep01180,"JP,US,GB","RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1103/PhysRevB.91.134513,"JP,RU,GB","Natl Inst Adv Ind Sci & Technol,Univ Loughborough,RIKEN,Moscow Inst Steel & Alloys"
10.1038/s41534-017-0017-3,US,"Raytheon BBN Technol,IBM TJ Watson Res Ctr"
10.1038/ncomms12964,US,"MIT,Univ Calif Berkeley"
10.1103/PhysRevB.110.125105,CN,Northeastern Univ
10.1063/1.5020514,"CA,US","Univ Waterloo,NIST"
10.1103/PhysRevApplied.20.014024,"CN,DE,ES","Univ Basque Country UPV EHU,Kipu Quantum,Shanghai Univ,Basque Fdn Sci"
10.1103/PhysRevX.11.031049,"AT,SG,GB","Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1109/TASC.2014.2378033,JP,AIST
10.1103/PhysRevA.109.032412,CZ,"Czech Acad Sci,Charles Univ Prague,Palacky Univ"
10.1088/0953-4075/45/12/124018,US,"Northwestern Univ,Texas A&M Univ"
10.1103/PhysRevB.110.035413,PL,"Marie Curie Sklodowska Univ,Adam Mickiewicz Univ"
10.1103/PhysRevA.87.032325,"AT,BE,CL,ES","Univ Basque Country,Univ Santiago Chile,Ctr Dev Nanosci & Nanotechnol,Austrian Acad Sci,Univ Liege,Basque Fdn Sci"
10.1088/0953-2048/24/3/035005,DE,KIT
10.1038/s41586-019-1427-5,US,"Univ Maryland,Natl Sci Fdn,IonQ Inc,Honeywell,IBM Thomas J Watson Res Ctr"
10.1103/PhysRevB.110.165157,"BE,ES","Univ Liege,CSIC"
10.1002/admi.202201244,JP,"Univ Tokyo,Natl Inst Mat Sci,JST"
10.1103/PhysRevA.96.062323,"DE,CH","Rhein Westfal TH Aachen,IBM Res Zurich,ETH"
10.1038/nature13171,"AU,US","Univ Calif Santa Barbara,Univ Calif Riverside,Univ Melbourne"
10.1021/acs.nanolett.7b03571,KR,"Korea Adv Inst Sci & Technol,GIST"
10.1002/anie.201302971,FR,"Ecole Normale Super,Coll France"
10.1038/srep29374,"GR,KZ,RU,RS","Univ Crete,Univ Belgrade,Natl Univ Sci & Technol MISIS,Fdn Res & Technol Hellas,Nazarbayev Univ"
10.1038/nature12513,"NL,US","Delft Univ Technol,Univ Colorado"
10.3390/e25020387,RU,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1063/5.0101398,SE,"KTH Royal Inst Technol,Intermodulat Prod AB,Chalmers Univ Technol"
10.3390/nano12234155,"FR,IT","CNR ISASI,Univ Napoli Federico II,CNR SPIN,CNR Ist Nazl Ott CNR INO"
10.1088/2058-9565/ac0f36,"AT,DE,NZ,RU","Dodd Walls Ctr Photon & Quantum Technol,Univ Otago,IST Austria,Max Planck Inst Sci Light,Russian Acad Sci"
10.1088/1361-6668/ab8617,US,"Lawrence Berkeley Natl Lab,Univ Calif Berkeley,MIT"
10.1038/s41598-018-26066-4,"DE,GB","KIT,Univ Glasgow"
10.1103/PhysRevA.93.013412,US,"Univ Maryland,NIST"
10.1038/s41586-021-03557-5,"FR,IT,US","Univ Wisconsin,Fermilab Natl Accelerator Lab,Univ Chicago,Stanford Univ,Ist Nazl Fis Nucl,Sorbonne Univ,Google Inc,Lawrence Livermore Natl Lab"
10.1103/PhysRevA.103.032224,FR,"Aix Marseille Univ,Ecole Normale Super"
10.1038/s41598-020-70766-9,"JP,GB","Nagoya Univ,Natl Inst Informat & Commun Technol"
10.22331/q-2023-05-31-1024,"CZ,DK","Palacky Univ,Tech Univ Denmark"
10.1103/PhysRevX.12.011059,US,Yale Univ
10.1088/1361-648X/ac268f,"DK,JP,US","Purdue Univ,Univ Wyoming,NIST,Univ Calif Irvine,Univ Wisconsin,Aarhus Univ,Tohoku Univ"
10.1038/srep25084,GB,Loughborough Univ Technol
10.1109/TMTT.2023.3238543,SE,Chalmers Univ Technol
10.1038/s41586-022-04854-3,"CN,US","Zhejiang Univ,Tsinghua Univ,Alibaba Zhejiang Univ,Univ Maryland,NIST,Iowa State Univ,Ames Lab,QuEra Comp Inc,Colorado Sch Mines,Natl Inst Stand & Technol,Shanghai Qi Zhi Inst"
10.1103/PhysRevX.5.031031,"DE,NL,ES,US","Max Planck Inst Quantum Opt,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Donostia Int Phys Ctr,IKERBASQUE,Delft Univ Technol"
10.1038/nature16984,"ES,US","Florida State Univ,Univ Valencia"
10.1103/PhysRevB.101.054510,US,"Univ Minnesota,Univ Calif Santa Barbara"
10.1007/s11128-015-1152-4,US,"NIST,IBM Corp,CUNY"
10.1007/s11128-022-03649-9,IT,Politecnico Torino
10.1140/epjqt/s40507-023-00192-z,GB,"Riverlane,Natl Phys Lab"
10.1038/s41598-022-05061-w,JP,"Keio Univ,Mitsubishi Chem Corp"
10.1103/PhysRevA.101.022308,"DK,NL","Aarhus Univ,Univ Amsterdam,QuSoft"
10.1038/nature13017,"DE,US","Yale Univ,Peter Grunberg Inst PGI 2"
10.1103/PhysRevA.94.052321,"AT,DE","Austrian Acad Sci,Univ Innsbruck,Univ Siegen"
10.1039/d0nr08554e,"CN,FI,RU,SE,UA","Siberian Fed Univ,Uppsala Univ,Bohdan Khmelnytsky Natl Univ,Natl Res Tomsk Polytech Univ,Univ Helsinki,Henan Univ"
10.1038/nature15263,"AU,JP","Univ New S Wales,Keio Univ"
10.1002/qute.202300168,CZ,Palacky Univ
10.1103/PhysRevLett.116.105301,DE,Univ Ulm
10.1016/j.physleta.2020.126743,IR,"Univ Tabriz,Imam Khomeini Int Univ"
10.1038/NMAT3182,"CA,DE,JP,US,GB","Princeton Univ,Keio Univ,Univ Oxford,Inst Kristallzuchtung,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Univ Calif Berkeley,Simon Fraser Univ"
10.1038/srep18414,"CN,SG,SE","Shandong Univ,Natl Univ Singapore,Uppsala Univ,UMI 3654,Nanyang Technol Univ"
10.1103/PhysRevB.105.L140301,US,"Univ Chicago,Lab Phys Sci"
10.1109/ACCESS.2021.3139085,US,"Penn State Univ,IBM Corp"
10.1103/PhysRevA.90.022325,SG,Natl Univ Singapore
10.1137/100816559,ES,Univ Politecn Madrid
10.1103/PhysRevB.92.134204,"AT,DE","Austrian Acad Sci,Univ Innsbruck,Tech Univ Munich"
10.1126/sciadv.aay3050,NL,"Delft Univ Technol,Leiden Univ,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevA.101.052327,CN,"Fudan Univ,Collaborat Innovat Ctr Adv Microstruct,Shanghai Res Ctr Quantum Sci"
10.1038/s41598-020-59749-y,"DE,RU,US","Karlsruhe Inst Technol,Google,Natl Univ Sci & Technol MISIS,Russian Quantum Ctr"
10.1038/ncomms7979,US,IBM Corp
10.1088/2058-9565/ad1f3b,CZ,Palacky Univ
10.1038/NPHYS4251,US,"JILA,Univ Colorado,NIST,Yale Univ,Rigetti Comp"
10.1063/1.5096182,US,Lawrence Livermore Natl Lab
10.1038/s41586-020-2171-6,"AU,CA,FI,IR,JP","Univ New South Wales,Univ Sherbrooke,Aalto Univ,Keio Univ,Canadian Inst Adv Res,Univ Sydney,IQM Finland Oy"
10.1038/s41567-018-0210-0,US,"Univ Colorado,NIST"
10.1007/s10836-022-05987-z,CN,"Guangxi Univ Sci & Technol,Jinggangshan Univ"
10.1088/0953-2048/29/6/064004,"CA,FR","Univ Waterloo,Univ Montpellier"
10.1063/1.5129135,BE,"Katholieke Univ Leuven,IMEC,Univ Antwerp"
10.1038/nature10012,"CA,NO","D Wave Syst Inc,Univ Agder,Simon Fraser Univ"
10.1038/s41586-024-07294-3,FR,"Alice & Bob,Univ PSL,Ecole Normale Super Lyon"
10.1103/PhysRevLett.117.015301,US,"Boston Univ,Univ Calif Berkeley"
10.1088/1367-2630/13/6/063015,DE,"Karlsruhe Inst Technol,DFG CFN"
10.1103/PhysRevX.11.041039,"CA,US","Univ Calif Berkeley,Lawrence Berkeley Natl Lab,MIT,Quantum Benchmark Inc,Keysight Technol Canada,Univ Waterloo,Google Quantum AI"
10.1038/s41586-020-2619-8,US,"MIT,Pacific Northwest Natl Lab,Harvard Univ"
10.1088/1402-4896/ac97ca,IN,"Acad Sci & Innovat Res AcSIR,Natl Phys Lab"
10.1038/nature12422,CH,ETH
10.1088/1361-6668/ace660,CN,"Chinese Acad Sci,CAS Ctr Excellence Superconducting Elect CENSE,Univ Chinese Acad Sci,Shanghai Univ"
10.1088/1361-6668/aae548,CA,"Univ Waterloo,McMaster Univ"
10.1038/s41586-020-2603-3,"FR,SG,US","Yale Univ,INRIA Paris,Natl Univ Singapore,Univ Texas Austin"
10.1038/NNANO.2016.188,"NL,CH","Delft Univ Technol,ETH"
10.1103/RevModPhys.85.1083,FR,"Ecole Normale Super,Coll France"
10.1103/PhysRevApplied.11.014064,"DE,IL","Hebrew Univ Jerusalem,Max Planck Inst Biophys Chem"
10.1016/j.rinp.2022.105778,TW,"Natl Taiwan Normal Univ,Minghsin Univ Sci & Technol"
10.1103/PhysRevB.106.115411,CH,Univ Basel
10.1088/2058-9565/ac82c3,US,"Argonne Natl Lab,Univ Chicago"
10.1039/c9mh01594a,ES,"CSIC,Univ Zaragoza,Ctr Univ Def"
10.1038/nature11559,US,"Princeton Univ,Joint Quantum Inst NIST"
10.1088/1674-1056/ad1747,CN,"Univ Sci & Technol China,Suzhou Univ"
10.1038/s41567-023-02071-x,"DK,IT,NL,SI,ES,US,GB","Delft Univ Technol,Jozef Stefan Inst,Univ Ljubljana,Univ Copenhagen,CSIC,Leiden Univ,Univ Roma La Sapienza,Univ Illinois"
10.1088/0256-307X/37/2/020302,CN,Univ Sci & Technol China
10.1103/PhysRevB.81.144519,NL,Delft Univ Technol
10.1038/s41467-019-13000-z,"AU,CH,US","Swiss Fed Inst Technol,IBM Res Zurich,Univ Wisconsin,Univ New South Wales"
10.1063/1.4893242,"AU,DE","UNSW Australia,Bayer Akad Wissensch,NIM"
10.1038/s41563-021-01022-2,"AT,DE,IT,ES","IST Austria,Politecn Milan,Univ Konstanz,Autonomous Univ Barcelona,Catalan Inst Res & Adv Studies"
10.1103/PhysRevLett.108.190506,DE,Karlsruhe Inst Technol
10.1103/PhysRevA.104.032407,"DE,NL","Delft Univ Technol,Forschungszentrum Julich"
10.22331/q-2017-05-11-11,"CA,FR,US","Univ Sherbrooke,Rigetti Quantum Comp,INRIA Paris,Canadian Inst Adv Res"
10.1038/s41467-024-45235-w,"NL,SE,CH","Univ Basel,Lund Univ,Ecole Polytech Fed Lausanne,Univ Twente"
10.1209/0295-5075/100/57006,NL,Delft Univ Technol
10.1103/PRXQuantum.5.020339,US,"Univ Rhode Isl,Univ Maryland,NIST,Univ Calif Los Angeles"
10.1103/PhysRevB.103.035301,US,Lab Phys Sci
10.1103/PhysRevLett.118.147701,CH,"Univ Basel,IBM Res Zurich"
10.1038/s41567-024-02694-8,NL,"Delft Univ Technol,QuTech & Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevB.101.195438,"DE,SE","Uppsala Univ,Univ Konstanz"
10.1103/PhysRevA.85.052125,"MX,US","Univ Guadalajara,Los Alamos Natl Lab"
10.1103/PhysRevB.105.024507,"CH,US","Harvard Univ,Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Swiss Fed Inst Technol"
10.1103/PhysRevB.94.205421,US,"Lab Phys Sci,Univ Maryland,NIST"
10.1126/science.abf0345,"DK,NL,ES,SE,US","Yale Univ,QuTech,Delft Univ Technol,Univ Politecn Cartagena,Univ Autanoma Madrid,Univ Copenhagen,Univ Autonoma Madrid,Chalmers Univ Technol,MIT"
10.1007/s11433-016-0015-3,CN,"S China Normal Univ,Tsinghua Univ,Fudan Univ,Univ Hong Kong,Nanjing Univ"
10.1103/PhysRevA.85.014302,CN,Xuchang Univ
10.1038/s41565-019-0488-9,NL,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevMaterials.3.084803,NL,"Univ Twente,Eindhoven Univ Technol,Delft Univ Technol"
10.1021/acsaelm.3c00472,US,Univ Nebraska Lincoln
10.1038/s41567-024-02497-x,"DK,NL,GB","Delft Univ Technol,Univ Copenhagen"
10.1038/s41586-023-05885-0,"CA,FR,DE,SG,ES,CH,US","Swiss Fed Inst Technol,Quside Technol SL,Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats,Univ Paris Saclay,Yale Univ,Univ Sherbrooke,Canadian Inst Adv Res,Alice & Bob,Rohde & Schwarz,Natl Univ Singapore"
10.1103/PhysRevApplied.14.014059,GB,"Univ Oxford,Quantum Mot Technol Ltd"
10.1103/PRXQuantum.2.010341,US,"Univ Maryland,Virginia Tech"
10.1103/PhysRevA.90.032319,"CN,DE","Chinese Univ Hong Kong,Univ Stuttgart,Beijing Computat Sci Res Ctr"
10.1038/s41467-022-32236-w,"AU,US","Harvard Univ,Purdue Univ,Univ Sydney,Stanford Univ"
10.1103/PhysRevB.93.121306,US,Princeton Univ
10.1063/5.0088155,JP,Yokohama Natl Univ
10.1103/PhysRevB.106.235309,CA,Univ Sherbrooke
10.1126/science.aar4054,"CA,NL","Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO,Univ Sherbrooke,Canadian Inst Adv Res"
10.1038/ncomms11059,US,"Lab Phys Sci,Univ Maryland"
10.1103/PRXQuantum.3.040322,"CA,US","Univ Calif Berkeley,Univ Sherbrooke,Bleximo Corp,Canadian Inst Adv Res"
10.1134/S106378501002001X,"AZ,TR","Ankara Univ,Natl Acad Sci Azerbaijan"
10.1109/TCAD.2023.3311732,CN,Southern Univ Sci & Technol
10.1038/nature12802,"FR,US","Yale Univ,INRIA Paris Rocquencourt"
10.1088/1361-6455/ab68b6,IN,Indian Inst Technol Kanpur
10.1103/PhysRevA.93.042329,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,Ist Nazl Fis Nucl"
10.1038/s42005-020-00405-2,"IT,CH","Univ Basel,CNR,Scuola Normale Super Pisa"
10.1038/srep38356,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,Ist Nazl Fis Nucl"
10.1103/PhysRevB.99.245306,US,Lab Phys Sci
10.1038/nature10786,"NL,US","Yale Univ,Delft Univ Technol"
10.1103/PhysRevB.107.155302,DE,Univ Konstanz
10.1364/JOSAB.435409,CN,"Xi An Jiao Tong Univ,Hubei Univ Automot Technol"
10.1103/PhysRevX.12.021026,NL,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevB.108.125414,DE,Univ Konstanz
10.1088/0953-4075/45/18/185505,"BR,CA","Univ Estadual Campinas,Univ Calgary"
10.1038/s41467-024-50763-6,"AT,IT","IST Austria,Ist NanoSci CNR,Scuola Normale Super Pisa,Politecn Milan"
10.1002/adma.202405916,"AU,SG","Nanyang Technol Univ,Univ New South Wales"
10.1038/s41467-023-44114-0,"AT,DK,IT,NL,NO,ES,SE,US,GB","IST Austria,Eindhoven Univ Technol,Politecn Milan,Univ Oxford,Univ Copenhagen,Consejo Super Invest Cient ICMM CSIC,Lund Univ,Norwegian Univ Sci & Technol,Louisiana State Univ"
10.1088/2058-9565/aabd41,"CA,US","Univ Waterloo,NIST,Univ Calif Berkeley"
10.1103/PRXQuantum.5.030322,"AU,KR,US","Korea Inst Sci & Technol KIST,Seoul Natl Univ,Korea Univ,Univ Sydney,Univ Chicago"
10.1103/PhysRevA.85.042301,CN,Natl Univ Def Technol
10.1038/s41467-020-15472-w,US,US Naval Res Lab
10.1038/s41598-018-34108-0,"CN,US","Univ Sci & Technol China,Univ Calif Los Angeles"
10.1103/PhysRevLett.106.110502,US,Univ Calif Berkeley
10.1103/PhysRevX.13.041057,US,Quantinuum
10.1038/srep26338,"KR,GB","Univ Surrey,Korea Inst Adv Study"
10.1103/PhysRevLett.111.060501,DK,Univ Copenhagen
10.1038/s41567-022-01875-7,"AU,AT,DE,SG,GB","Australian Natl Univ,Friedrich Schiller Univ Jena,Univ Cambridge,Inst Expt Phys,Fraunhofer Inst Appl Opt & Precis Engn IOF,Max Planck Sch Photon,Macquarie Univ,Amazon Web Serv,Inst Quantum Opt & Quantum Informat,Alpine Quantum Technol AQT,Nanyang Technol Univ,ASTAR"
10.1002/pssr.201800256,"FI,DE,RU","Aalto Univ,PN Lebedev Phys Inst,KIT,Natl Res Univ"
10.1557/s43577-021-00147-8,"NL,US","Delft Univ Technol,US Army,Univ Maryland,NIST,Univ Delaware"
10.1103/PhysRevApplied.21.044030,"CN,GB","Tsinghua Univ,Hefei Natl Lab"
