DOI,Article Title,Abstract,Country Code,Institutions,Publication Year,isSuperconducting,isTrappedIon,isPhotonic,isSpin
10.1063/5.0096467,Implementation of an advanced dressing protocol for global qubit control in silicon,"Quantum computing based on solid state spins allows for densely packed arrays of quantum bits. However, the operation of large-scale quantum processors requires a shift in paradigm toward global control solutions. Here, we report a proof-of-principle demonstration of the SMART (sinusoidally modulated, always rotating, and tailored) qubit protocol. We resonantly drive a two-level system and add a tailored modulation to the dressing field to increase robustness to frequency detuning noise and microwave amplitude fluctuations. We measure a coherence time of 2 ms, corresponding to two orders of magnitude improvement compared to a bare spin, and an average Clifford gate fidelity exceeding 99%, despite the relatively long qubit gate times. We stress that the potential of this work lies in the scalability of the protocol and the relaxation of the engineering constraints for a large-scale quantum processor. This work shows that future scalable spin qubit arrays could be operated using global microwave control and local gate addressability, while increasing robustness to relevant experimental inhomogeneities. Published under an exclusive license by AIP Publishing","AU,JP","Univ New South Wales,Keio Univ",2022,0,0,0,1
10.1103/PhysRevB.82.155315,Coherent electron transport by adiabatic passage in an imperfect donor chain,"Coherent tunneling adiabatic passage (CTAP) has been proposed as a long-range physical quantum bits (qubit) transport mechanism in solid-state quantum computing architectures. Although the mechanism can be implemented in either a chain of quantum dots or donors, a one-dimensional chain of donors in Si is of particular interest due to the natural confining potential of donors that can, in principle, help reduce the gate densities in solid-state quantum computing architectures. Using detailed atomistic modeling, we investigate CTAP in a more realistic triple donor system in the presence of inevitable fabrication imperfections. In particular, we investigate how an adiabatic pathway for CTAP is affected by donor misplacements and propose schemes to correct for such errors. We also investigate the sensitivity of the adiabatic path to gate voltage fluctuations. The tight-binding based atomistic treatment of straggle used here may benefit understanding of other donor nanostructures, such as donor-based charge and spin qubits. Finally, we derive an effective 3 X 3 model of CTAP that accurately resembles the voltage tuned lowest energy states of the multimillion atom tight-binding simulations and provides a translation between intensive atomistic Hamiltonians and simplified effective Hamiltonians while retaining the relevant atomic-scale information. This method can help characterize multidonor experimental structures quickly and accurately even in the presence of imperfections, overcoming some of the numeric intractabilities of finding optimal eigenstates for nonideal donor placements.","AU,US","Sandia Natl Labs,Purdue Univ,Univ Melbourne",2010,0,0,0,1
10.1103/PhysRevB.92.235401,Exchange interaction of two spin qubits mediated by a superconductor,"Entangling two quantum bits by letting them interact is the crucial requirement for building a quantum processor. For qubits based on the spin of the electron, these two qubit gates are typically performed by exchange interaction of the electrons captured in two nearby quantum dots. Since the exchange interaction relies on tunneling of the electrons, the range of interaction for conventional approaches is severely limited as the tunneling amplitude decays exponentially with the length of the tunneling barrier. Here, we present an approach to couple two spin qubits via a superconducting coupler. In essence, the superconducting coupler provides a tunneling barrier for the electrons which can be tuned with exquisite precision. We show that as a result exchange couplings over a distance of several microns become realistic, thus enabling flexible designs of multiqubit systems.",DE,"Rhein Westfal TH Aachen,Forschungszentrum Julich",2015,1,0,0,1
10.1039/c4an00734d,Using electron paramagnetic resonance to map N@C60 during high throughput processing,"The endohedral fullerene molecule, N@C-60, is a candidate for molecular spin qubits (quantum bits) and spin probes owing to its exceptional electron spin properties. Advancements in the processing of N@C-60 are key to obtaining samples of high purity on a reasonable timescale. We investigate enrichment by high throughput processing (flow rate of 18 L h(-1) and operating pressure of 1.5-2 MPa) using high performance liquid chromatography (HPLC) as a means of scaling N@C-60 production. We use detection by electron paramagnetic resonance (EPR) spectroscopy to map N@C-60 during processing, and through the reconstruction of the peak position in the chromatogram, we are able to determine the retention time and relative purity of N@C-60 without the need for its isolation. Based on this, we establish a procedure for time-efficient, high throughput processing to isolate N@C-60 in high purity.",GB,Univ Oxford,2014,0,0,0,1
10.1109/JSSC.2020.3024678,A Scalable Cryo-CMOS Controller for the Wideband Frequency-Multiplexed Control of Spin Qubits and Transmons,"Building a large-scale quantum computer requires the co-optimization of both the quantum bits (qubits) and their control electronics. By operating the CMOS control circuits at cryogenic temperatures (cryo-CMOS), and hence in close proximity to the cryogenic solid-state qubits, a compact quantum-computing system can be achieved, thus promising scalability to the large number of qubits required in a practical application. This work presents a cryo-CMOS microwave signal generator for frequency-multiplexed control of 4 x 32 qubits (32 qubits per RF output). A digitally intensive architecture offering full programmability of phase, amplitude, and frequency of the output microwave pulses and a wideband RF front end operating from 2 to 20 GHz allow targeting both spin qubits and transmons. The controller comprises a qubit-phase-tracking direct digital synthesis (DDS) back end for coherent qubit control and a single-sideband (SSB) RF front end optimized for minimum leakage between the qubit channels. Fabricated in Intel 22-nm FinFET technology, it achieves a 48-dB SNR and 45-dB spurious-free dynamic range (SFDR) in a 1-GHz data bandwidth when operating at 3 K, thus enabling high-fidelity qubit control. By exploiting the on-chip 4096-instruction memory, the capability to translate quantum algorithms to microwave signals has been demonstrated by coherently controlling a spin qubit at both 14 and 18 GHz.","MX,NL,CH,US","Delft Univ Technol,Intel Corp,TNO,Zurich Instruments,Apple Inc,Intel Guadalajara,Kavli Inst Nanosci,Ecole Polytech Fed Lausanne",2020,0,0,0,1
10.1103/PhysRevLett.113.197601,Magnetic Resonance Detection of Individual Proton Spins Using Quantum Reporters,"We demonstrate a method of magnetic resonance imaging with single nuclear-spin sensitivity under ambient conditions. Our method employs isolated electronic-spin quantum bits (qubits) as magnetic resonance reporters on the surface of high purity diamond. These spin qubits are localized with nanometer-scale uncertainty, and their quantum state is coherently manipulated and measured optically via a proximal nitrogen-vacancy color center located a few nanometers below the diamond surface. This system is then used for sensing, coherent coupling, and imaging of individual proton spins on the diamond surface with angstrom resolution. Our approach may enable direct structural imaging of complex molecules that cannot be accessed from bulk studies. It realizes a new platform for probing novel materials, monitoring chemical reactions, and manipulation of complex systems on surfaces at a quantum level.",US,"Harvard Univ,Harvard Smithsonian Ctr Astrophys,Broad Inst MIT & Harvard",2014,0,0,0,1
10.1038/nature12016,Heralded entanglement between solid-state qubits separated by three metres,"Quantum entanglement between spatially separated objects is one of the most intriguing phenomena in physics. The outcomes of independent measurements on entangled objects show correlations that cannot be explained by classical physics. As well as being of fundamental interest, entanglement is a unique resource for quantum information processing and communication. Entangled quantum bits (qubits) can be used to share private information or implement quantum logical gates(1,2). Such capabilities are particularly useful when the entangled qubits are spatially separated(3-5), providing the opportunity to create highly connected quantum networks(6) or extend quantum cryptography to long distances(7,8). Here we report entanglement of two electron spin qubits in diamond with a spatial separation of three metres. We establish this entanglement using a robust protocol based on creation of spin-photon entanglement at each location and a subsequent joint measurement of the photons. Detection of the photons heralds the projection of the spin qubits onto an entangled state. We verify the resulting non-local quantum correlations by performing single-shot readout(9) on the qubits in different bases. The long-distance entanglement reported here can be combined with recently achieved initialization, readout and entanglement operations(9-13) on local long-lived nuclear spin registers, paving the way for deterministic long-distance teleportation, quantum repeaters and extended quantum networks.","CA,NL,GB","Delft Univ Technol,Element Six Ltd,McGill Univ",2013,0,0,0,1
10.1038/s41565-021-00925-0,Quantum tomography of an entangled three-qubit state in silicon,"Quantum entanglement is a fundamental property of coherent quantum states and an essential resource for quantum computing'. In large-scale quantum systems, the error accumulation requires concepts for quantum error correction. A first step toward error correction is the creation of genuinely multipartite entanglement, which has served as a performance benchmark for quantum computing platforms such as superconducting circuits(2,3), trapped ions(4) and nitrogen-vacancy centres in diamonds. Among the candidates for large-scale quantum computing devices, silicon-based spin qubits offer an outstanding nanofabrication capability for scaling-up. Recent studies demonstrated improved coherence times(6-8), high-fidelity all-electrical control(9-13), high-temperature operation(14,15) and quantum entanglement of two spin qubits(9,11,12). Here we generated a three-qubit Greenberger-Horne-Zeilinger state using a low-disorder, fully controllable array of three spin qubits in silicon. We performed quantum state tomography(16) and obtained a state fidelity of 88.0%. The measurements witness a genuine Greenberger-Horne-Zeilinger class quantum entanglement that cannot be separated into any biseparable state. Our results showcase the potential of silicon-based spin qubit platforms for multiqubit quantum algorithms.",JP,"RIKEN,Tokyo Tech Acad Super Smart Soc",2021,1,1,0,1
10.1038/ncomms4860,Electron spin resonance and spin-valley physics in a silicon double quantum dot,"Silicon quantum dots are a leading approach for solid-state quantum bits. However, developing this technology is complicated by the multi-valley nature of silicon. Here we observe transport of individual electrons in a silicon CMOS-based double quantum dot under electron spin resonance. An anticrossing of the driven dot energy levels is observed when the Zeeman and valley splittings coincide. A detected anticrossing splitting of 60 MHz is interpreted as a direct measure of spin and valley mixing, facilitated by spin-orbit interaction in the presence of non-ideal interfaces. A lower bound of spin dephasing time of 63 ns is extracted. We also describe a possible experimental evidence of an unconventional spin-valley blockade, despite the assumption of non-ideal interfaces. This understanding of silicon spin-valley physics should enable better control and read-out techniques for the spin qubits in an all CMOS silicon approach.",US,"Univ Calif Los Angeles,Lab Phys Sci",2014,0,0,0,1
10.3389/fchem.2019.00662,Unveiling the Effect of Magnetic Noise in the Coherence of Single-Molecule Quantum Processors,"Quantum bits (qubits) constitute the most elementary building-blocks of any quantum technology, where information is stored and processed in the form of quantum superpositions between discrete energy levels. In particular, the fabrication of quantum processors is a key long-term goal that will allow us conducting specific tasks much more efficiently than the most powerful classical computers can do. Motivated by recent experiments in which three addressable spin qubits are defined on a potential single-molecule quantum processor, namely the [Gd(H2O)P5W30O110](12-) polyoxometalate, we investigate the decohering effect of magnetic noise on the encoded quantum information. Our state-of-the-art model, which provides more accurate results than previous estimates, show a noticeable contribution of magnetic noise in limiting the survival timescale of the qubits. Yet, our results suggest that it might not be the only dephasing mechanism at play but other mechanisms, such as lattice vibrations and physical movement of magnetic nuclei, must be considered to understand the whole decoherence process.","DE,ES","Univ Valencia,Max Planck Inst Struct & Dynam Matter",2019,0,0,0,1
10.1038/nature13407,Quantum control and process tomography of a semiconductor quantum dot hybrid qubit,"The similarities between gated quantum dots and the transistors in modern microelectronics(1,2)-in fabrication methods, physical structure and voltage scales for manipulation-have led to great interest in the development of quantum bits (qubits) in semiconductor quantum dots(3-18). Although quantum dot spin qubits have demonstrated long coherence times, their manipulation is often slower than desired for important future applications, such as factoring(19). Furthermore, scalability and manufacturability are enhanced when qubits are as simple as possible. Previous work has increased the speed of spin qubit rotations by making use of integrated micromagnets(11), dynamic pumping of nuclear spins(12) or the addition of a third quantum dot(17). Here we demonstrate a qubit that is a hybrid of spin and charge. It is simple, requiring neither nuclear-state preparation nor micromagnets. Unlike previous double-dot qubits, the hybrid qubit enables fast rotations about two axes of the Bloch sphere. We demonstrate full control on the Bloch sphere with pi-rotation times of less than 100 picoseconds in two orthogonal directions, which is more than an order of magnitude faster than any other double-dot qubit. The speed arises from the qubit's charge-like characteristics, and its spin-like features result in resistance to decoherence over a wide range of gate voltages. We achieve full process tomography in our electrically controlled semiconductor quantum dot qubit, extracting high fidelities of 85 per cent for X rotations (transitions between qubit states) and 94 per cent for Z rotations (phase accumulation between qubit states).",US,"Univ Wisconsin,Sandia Natl Labs",2014,0,0,0,1
10.1103/PhysRevB.95.144306,Nonequilibrium-induced enhancement of dynamical quantum coherence and entanglement of spin arrays,"The random magnetic field produced by nuclear spins has long been viewed as the dominating source of decoherence in the quantum-dot based spins. Here we obtain in both exact and analytical manner the dynamics of spin qubits coupled to nuclear spin environments via the hyperfine interaction, going beyond the weak system-bath interaction and Markovian approximation. We predict that the detailed-balance breaking produced by chemical potential gradient in nuclear baths leads to the rapid oscillations of populations, quantum coherence and entanglement, which are absent in the conventional case (i.e., Overhauser noise). This is attributed to the nonequilibrium feature of the system as shown in the relation between the oscillation period and the chemical potential imbalance. Our results reveal the essentiality of nonequilibriumness with detailed-balance breaking for enhancing the dynamical coherence and entanglement of spin qubits. Moreover, our exact solution explicitly demonstrates that the non-Markovian bath comprised by nuclear spins can preserve the collective quantum state, due to the recovery of coherence. Finally, we propose an experiment using ultracold trapped ions to observe these nonequilibrium and memory effects.","CN,US","SUNY Stony Brook,Univ Calif Irvine,Shenzhen Univ,Chinese Acad Sci",2017,0,1,0,1
10.1103/RevModPhys.89.035002,Quantum sensing,"Quantum sensing describes the use of a quantum system, quantum properties, or quantum phenomena to perform a measurement of a physical quantity. Historical examples of quantum sensors include magnetometers based on superconducting quantum interference devices and atomic vapors or atomic clocks. More recently, quantum sensing has become a distinct and rapidly growing branch of research within the area of quantum science and technology, with the most common platforms being spin qubits, trapped ions, and flux qubits. The field is expected to provide new opportunities-especially with regard to high sensitivity and precision-in applied physics and other areas of science. This review provides an introduction to the basic principles, methods, and concepts of quantum sensing from the viewpoint of the interested experimentalist.","DE,CH,US","Swiss Fed Inst Technol,Tech Univ Munich,MIT",2017,1,1,0,1
10.1038/s41467-017-01113-2,Coherent coupling between a quantum dot and a donor in silicon,"Individual donors in silicon chips are used as quantum bits with extremely low error rates. However, physical realizations have been limited to one donor because their atomic size causes fabrication challenges. Quantum dot qubits, in contrast, are highly adjustable using electrical gate voltages. This adjustability could be leveraged to deterministically couple donors to quantum dots in arrays of qubits. In this work, we demonstrate the coherent interaction of a P-31 donor electron with the electron of a metal-oxide-semiconductor quantum dot. We form a logical qubit encoded in the spin singlet and triplet states of the two-electron system. We show that the donor nuclear spin drives coherent rotations between the electronic qubit states through the contact hyperfine interaction. This provides every key element for compact two-electron spin qubits requiring only a single dot and no additional magnetic field gradients, as well as a means to interact with the nuclear spin qubit.","CA,US","Univ Sherbrooke,Sandia Natl Labs,Canadian Inst Adv Res",2017,0,0,0,1
10.1016/j.physleta.2020.126352,Is all-electrical silicon quantum computing feasible in the long term?,"The development of the first generation of commercial quantum computers is based on superconductive qubits and trapped ions respectively. Other technologies such as semiconductor quantum dots, neutral ions and photons could in principle provide an alternative to achieve comparable results in the medium term. It is relevant to evaluate if one or more of them is potentially more effective to address scalability to millions of qubits in the long term, in view of creating a universal quantum computer. We review an all-electrical silicon spin qubit, that is the double quantum dot hybrid qubit, a quantum technology which relies on both solid theoretical grounding on one side, and massive fabrication technology of nanometric scale devices by the existing silicon supply chain on the other. (C) 2020 Elsevier B.V. All rights reserved.",IT,CNR,2020,0,1,0,1
10.1038/s41586-021-04273-w,Quantum logic with spin qubits crossing the surface code threshold,"High-fidelity control of quantum bits is paramount for the reliable execution of quantum algorithms and for achieving fault tolerance-the ability to correct errors faster than they occur(1). The central requirement for fault tolerance is expressed in terms of an error threshold. Whereas the actual threshold depends on many details, a common target is the approximately 1% error threshold of the well-known surface code(2,3). Reaching two-qubit gate fidelities above 99% has been a long-standing major goal for semiconductor spin qubits. These qubits are promising for scaling, as they can leverage advanced semiconductor technology(4). Here we report a spin-based quantum processor in silicon with single-qubit and two-qubit gate fidelities, all of which are above 99.5%, extracted from gate-set tomography. The average single-qubit gate fidelities remain above 99% when including crosstalk and idling errors on the neighbouring qubit. Using this high-fidelity gate set, we execute the demanding task of calculating molecular ground-state energies using a variational quantum eigensolver algorithm(5). Having surpassed the 99% barrier for the two-qubit gate fidelity, semiconductor qubits are well positioned on the path to fault tolerance and to possible applications in the era of noisy intermediate-scale quantum devices.",NL,"Delft Univ Technol,Netherlands Org Appl Sci Res TNO",2022,0,0,0,1
10.1038/NPHYS1863,Ultrafast optical control of entanglement between two quantum-dot spins,"The interaction between two quantum bits enables the creation of entanglement, the two-particle correlations that are at the heart of quantum information science. In semiconductor quantum dots, much work has focused on demonstrating control over single spin qubits using optical techniques. However, optical control of two spin qubits remains a major challenge for scaling to a fully fledged quantum-information platform. Here, we combine advances in vertically stacked quantum dots with ultrafast laser techniques to achieve optical control of the entangled state of two electron spins. Each electron is in a separate InAs quantum dot, and the spins interact through tunnelling, where the tunnelling rate determines how rapidly entangling operations can be carried out. We achieve two-qubit gates with an interaction rate of 30 GHz, more than an order of magnitude faster than demonstrated in any other system so far. These results demonstrate the viability and advantages of optically controlled quantum-dot spins for multi-qubit systems.",US,USN,2011,0,0,0,1
10.1038/s41565-021-00846-y,Distant spin entanglement via fast and coherent electron shuttling,"In the quest for large-scale quantum computing, networked quantum computers offer a natural path towards scalability. While recent experiments have demonstrated nearest neighbour entanglement for electron spin qubits in semiconductors, on-chip long-distance entanglement could bring more versatility to connect quantum core units. Here, we employ the moving trapping potential of a surface acoustic wave to realize the controlled and coherent transfer of a pair of entangled electron spins between two distant quantum dots. The subsequent electron displacement induces coherent spin rotations, which drives spin quantum interferences. We observe high-contrast interference as a signature of the preservation of the entanglement all along the displacement procedure, which includes a separation of the two spins by a distance of 6 mu m. This work opens the route towards fast on-chip deterministic interconnection of remote quantum bits in semiconductor quantum circuits. On-chip, long-distance entanglement of spin qubits in semiconductors could enable connectivity of quantum core units for networked quantum computing. The moving trapping potential of a surface acoustic wave can subsequently displace two entangled spins while preserving entanglement over a separation of 6 mu m.","FR,DE","Univ Grenoble Alpes,Ruhr Univ Bochum",2021,0,0,0,1
10.1103/PhysRevB.99.205417,Characterization of optical and spin properties of single tin-vacancy centers in diamond nanopillars,"Color centers in diamond have attracted much interest as candidates for optically active, solid-state quantum bits. Of particular interest are inversion-symmetric color centers based on group-IV impurities in diamond because they emit strongly into their zero-phonon lines and are insensitive to electric field noise to first order. Early studies of the negatively charged tin-vacancy (SnV-) center in diamond have found the SnV- to be a promising candidate: it has high quantum efficiency, emits strongly into its zero-phonon lines, and is expected to have a long T-2 spin coherence time at 4 K. To develop the SnV- into a spin qubit requires further characterization, especially of the spin and optical properties of individual SnV- in nanofabricated structures. In this work, we isolate single SnV- centers in diamond nanopillars and characterize their emission properties and their spin response to a magnetic field. We observe narrow emission linewidths <250 MHz, as well as a strong polarization dependence of each transition. We also find the Zeeman splitting under a magnetic field to be in good agreement with theoretical prediction. Our results pave the way toward future employment of single SnV- centers as optically accessible quantum memories.",US,Stanford Univ,2019,0,0,0,1
10.1038/s41467-018-04340-3,Controlling the coherence of a diamond spin qubit through its strain environment,"The uncontrolled interaction of a quantum system with its environment is detrimental for quantum coherence. For quantum bits in the solid state, decoherence from thermal vibrations of the surrounding lattice can typically only be suppressed by lowering the temperature of operation. Here, we use a nano-electro-mechanical system to mitigate the effect of thermal phonons on a spin qubit - the silicon-vacancy colour centre in diamond - without changing the system temperature. By controlling the strain environment of the colour centre, we tune its electronic levels to probe, control, and eventually suppress the interaction of its spin with the thermal bath. Strain control provides both large tunability of the optical transitions and significantly improved spin coherence. Finally, our findings indicate the possibility to achieve strong coupling between the silicon-vacancy spin and single phonons, which can lead to the realisation of phonon-mediated quantum gates and nonlinear quantum phononics.","US,GB","Harvard Univ,Univ Cambridge,Sandia Natl Labs",2018,0,0,0,1
