DOI,Article Title,Abstract,Country Code,Institutions,Publication Year,isSuperconducting,isTrappedIon,isPhotonic,isSpin
10.1109/JPHOT.2021.3136502,Design of an Integrated Bell-State Analyzer on a Thin-Film Lithium Niobate Platform,"Trapped ions are excellent candidates for quantum computing and quantum networks because of their long coherence times, ability to generate entangled photons as well as high fidelity single- and two-qubit gates. To scale up trapped ion quantum computing, we need a Bell-state analyzer on a reconfigurable platform that can herald high fidelity entanglement between ions. In this work, we design a photonic Bell-state analyzer on a reconfigurable thin-film lithium niobate platform for polarization-encoded qubits. We optimize the device to achieve high fidelity entanglement between two trapped ions and find >99% fidelity. Apart from that, the directional coupler used in our design can achieve any polarization-independent power splitting ratio which can have a rich variety of applications in the integrated photonic technology. The proposed device can scale up trapped ion quantum computing as well as other optically active spin qubits, such as color centers in diamond, quantum dots, and rare-earth ions.",US,Univ Maryland,2022,0,1,1,1
10.1038/s41598-024-60478-9,Design of high-performance entangling logic in silicon quantum dot systems with Bayesian optimization,"Device engineering based on computer-aided simulations is essential to make silicon (Si) quantum bits (qubits) be competitive to commercial platforms based on superconductors and trapped ions. Combining device simulations with the Bayesian optimization (BO), here we propose a systematic design approach that is quite useful to procure fast and precise entangling operations of qubits encoded to electron spins in electrode-driven Si quantum dot (QD) systems. For a target problem of the controlled-X (CNOT) logic operation, we employ BO with the Gaussian process regression to evolve design factors of a Si double QD system to the ones that are optimal in terms of speed and fidelity of a CNOT logic driven by a single microwave pulse. The design framework not only clearly contributes to cost-efficient securing of solutions that enhance performance of the target quantum operation, but can be extended to implement more complicated logics with Si QD structures in experimentally unprecedented ways.",KR,"Korea Inst Sci & Technol Informat,Ulsan Natl Inst Sci & Technol,Korea Univ",2024,0,1,0,0
10.1038/nature11821,Hybrid circuit cavity quantum electrodynamics with a micromechanical resonator,"Hybrid quantum systems with inherently distinct degrees of freedom have a key role in many physical phenomena. Well-known examples include cavity quantum electrodynamics(1), trapped ions(2), and electrons and phonons in the solid state. In those systems, strong coupling makes the constituents lose their individual character and form dressed states, which represent a collective form of dynamics. As well as having fundamental importance, hybrid systems also have practical applications, notably in the emerging field of quantum information control. A promising approach is to combine long-lived atomic states(2,3) with the accessible electrical degrees of freedom in superconducting cavities and quantum bits(4,5) (qubits). Here we integrate circuit cavity quantum electrodynamics(6,7) with phonons. Apart from coupling to a microwave cavity, our superconducting transmon qubit(8), consisting of tunnel junctions and a capacitor, interacts with a phonon mode in a micromechanical resonator, and thus acts like an atom coupled to two different cavities. We measure the phonon Stark shift, as well as the splitting of the qubit spectral line into motional sidebands, which feature transitions between the dressed electromechanical states. In the time domain, we observe coherent conversion of qubit excitation to phonons as sideband Rabi oscillations. This is a model system with potential for a quantum interface, which may allow for storage of quantum information in long-lived phonon states, coupling to optical photons or for investigations of strongly coupled quantum systems near the classical limit.",FI,Aalto Univ,2013,1,1,0,0
10.1038/s41586-018-0450-2,Synthetic three-dimensional atomic structures assembled atom by atom,"A great challenge in current quantum science and technology research is to realize artificial systems of a large number of individually controlled quantum bits for applications in quantum computing and quantum simulation. Many experimental platforms are being explored, including solid-state systems, such as superconducting circuits(1) or quantum dots(2), and atomic, molecular and optical systems, such as photons, trapped ions or neutral atoms(3-7). The latter offer inherently identical qubits that are well decoupled from the environment and could provide synthetic structures scalable to hundreds of qubits or more(8). Quantum-gas microscopes(9) allow the realization of two-dimensional regular lattices of hundreds of atoms, and large, fully loaded arrays of about 50 microtraps (or 'optical tweezers') with individual control are already available in one(10) and two(11) dimensions. Ultimately, however, accessing the third dimension while keeping single-atom control will be required, both for scaling to large numbers and for extending the range of models amenable to quantum simulation. Here we report the assembly of defect-free, arbitrarily shaped three-dimensional arrays, containing up to 72 single atoms. We use holographic methods and fast, programmable moving tweezers to arrange-atom by atom and plane by plane-initially disordered arrays into target structures of almost any geometry. These results present the prospect of quantum simulation with tens of qubits arbitrarily arranged in space and show that realizing systems of hundreds of individually controlled qubits is within reach using current technology.",FR,Univ Paris Saclay,2018,1,1,0,0
10.1088/2058-9565/ace6cb,A guided light system for agile individual addressing of Ba+ qubits with 10-4 level intensity crosstalk,"Trapped ions are one of the leading platforms for quantum information processing, exhibiting the highest gate and measurement fidelities of all contending hardware. In order to realize a universal quantum computer with trapped ions, independent and parallel control over the state of each qubit is necessary. The manipulation of individual qubit states in an ion chain via stimulated Raman transitions generally requires light focused on individual ions. In this manuscript, we present a novel, guided-light individual addressing system for hyperfine Ba+ qubits. The system takes advantage of laser-written waveguide technology, enabled by the atomic structure of Ba+, allowing the use of visible light to drive Raman transitions. Such waveguides define the spatial mode of light, suppressing aberrations that would have otherwise accumulated in a free-space optics set up. As a result, we demonstrate a nearest neighbor relative intensity crosstalk on the order of 10(-4), without any active aberration compensation. This is comparable to or better than other previous demonstrations of individual addressing. At the same time, our modular approach provides independent and agile control over the amplitude, frequency, and phase of each channel; combining the strengths of previous implementations.",CA,Univ Waterloo,2023,0,1,0,0
10.1038/NNANO.2012.126,A monolithic array of three-dimensional ion traps fabricated with conventional semiconductor technology,"The coherent control of quantum-entangled states of trapped ions(1) has led to significant advances in quantum information(2), quantum simulation(3), quantum metrology(4,5) and laboratory tests of quantum mechanics(6) and relativity(7). All of the basic requirements for processing quantum information with arrays of ion-based quantum bits (qubits) have been proven in principle(8). However, so far, no more than 14 ion-based qubits have been entangled with the ion-trap approach(9), so there is a clear need for arrays of ion traps that can handle a much larger number of qubits(10). Traps consisting of a two-dimensional electrode array(11) have undergone significant development, but three-dimensional trap geometries can create a superior confining potential. However, existing three-dimensional approaches, as used in the most advanced experiments with trap arrays(8,12), cannot be scaled up to handle greatly increased numbers of ions. Here, we report a monolithic three-dimensional ion microtrap array etched from a silica-on-silicon wafer using conventional semiconductor fabrication technology. We have confined individual Sr-88(+) ions and strings of up to 14 ions in a single segment of the array. We have measured motional frequencies, ion heating rates and storage times. Our results demonstrate that it should be possible to handle several tens of ion-based qubits with this approach.",GB,Natl Phys Lab,2012,0,1,0,0
10.1088/0256-307X/30/7/073701,Manipulation of Ions in Microscopic Surface-Electrode Ion Traps,"The spatial manipulation of ionic qubits in a fast and precise fashion is one of the foremost issues in scalable quantum information processing with trapped ions. We report our recent efforts toward precise manipulation of trapped ions, including separation, recombination and reordering of the ions, in our home-made microscopic surface-electrode trap. We also demonstrate the micromotion compensation for the trapped ions by rf-photon cross-correlation, which ensures the cooling of the ions down to the temperature 23.3 mK.",CN,"Chinese Acad Sci,Univ Chinese Acad Sci",2013,0,1,0,0
10.1038/s41467-021-24693-6,Increasing the Hilbert space dimension using a single coupled molecular spin,"Quantum technologies are expected to introduce revolutionary changes in information processing in the near future. Nowadays, one of the main challenges is to be able to handle a large number of quantum bits (qubits), while preserving their quantum properties. Beyond the usual two-level encoding capacity of qubits, multi-level quantum systems are a promising way to extend and increase the amount of information that can be stored in the same number of quantum objects. Recent work (Kues et al. 2017), has shown the possibility to use devices based on photonic integrated circuits to entangle two qudits (with d being the number of available states). In the race to develop a mature quantum technology with real-world applications, many possible platforms are being investigated, including those that use photons, trapped ions, superconducting and silicon circuits and molecular magnets. In this work, we present the electronic read-out of a coupled molecular multi-level quantum systems, carried by a single Tb2Pc3 molecular magnet. Owning two magnetic centres, this molecular magnet architecture permits a 16 dimensions Hilbert space, opening the possibility of performing more complex quantum algorithms. Single-molecular magnets (SMM) are promising candidates for quantum technologies given the ease of repeatable manufacture and potential as qudits. Here, Biard et al succeed in electronically reading out a SMM containing two high-spin terbium atoms, allowing for a 16 dimensional Hilbert space.","FR,DE,PA","Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol",2021,1,1,1,0
10.1038/nature24654,Observation of a many-body dynamical phase transition with a 53-qubit quantum simulator,"A quantum simulator is a type of quantum computer that controls the interactions between quantum bits (or qubits) in a way that can be mapped to certain quantum many-body problems(1,2). As it becomes possible to exert more control over larger numbers of qubits, such simulators will be able to tackle a wider range of problems, such as materials design and molecular modelling, with the ultimate limit being a universal quantum computer that can solve general classes of hard problems(3). Here we use a quantum simulator composed of up to 53 qubits to study non-equilibrium dynamics in the transverse-field Ising model with long-range interactions. We observe a dynamical phase transition after a sudden change of the Hamiltonian, in a regime in which conventional statistical mechanics does not apply(4). The qubits are represented by the spins of trapped ions, which can be prepared in various initial pure states. We apply a global long-range Ising interaction with controllable strength and range, and measure each individual qubit with an efficiency of nearly 99 per cent. Such high efficiency means that arbitrary many-body correlations between qubits can be measured in a single shot, enabling the dynamical phase transition to be probed directly and revealing computationally intractable features that rely on the long-range interactions and high connectivity between qubits.",US,"Univ Maryland,Natl Inst Stand & Technol,IonQ Inc,Colorado Sch Mines",2017,0,1,0,0
10.1103/PhysRevA.90.022323,Protecting geometric gates by dynamical decoupling,"Dynamical decoupling is a promising approach to protect quantum information from decoherence. It averages out the noise by flipping the qubits. In this paper, we demonstrate the protection of geometric gates by using dynamical decoupling with trapped ions. Specifically, a universal set of geometric gates is proposed with trapped ions and these gates are commutative with the decoupling group of the system. Our scheme combines the robust advantages of quantum holonomies and dynamical decoupling and hence can combat both control errors and decoherence. We also investigate the effects of dynamical decoupling pulse errors on the proposed geometric gates.",CN,"Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol",2014,0,1,0,0
10.1088/0253-6102/55/5/09,One-Step Scheme for Realizing N-Qubit Quantum Phase Gates with Hot Trapped Ions,"A scheme is presented for realizing an N-qubit quantum phase gate with trapped ions. Taking advantage of the virtual excitation of the vibrational mode, the qubit system undergoes a full-cycle of Rabi oscillation in the selective symmetric Dicke subspace. The scheme only involves a single step and the operation is insensitive to thermal motion. Moreover, the scheme does not require individual addressing of the ions.",CN,"Nanping Teachers Coll,Fuzhou Univ",2011,0,1,0,0
10.1063/5.0059966,C-band single photons from a trapped ion via two-stage frequency conversion,"Fiber-based quantum networks require photons at telecommunications wavelengths to interconnect qubits separated by long distances. Trapped ions are leading candidates for quantum networking with high-fidelity two-qubit gates, long coherence times, and the ability to readily emit photons entangled with the ion's internal qubit states. However, trapped ions typically emit photons at wavelengths incompatible with telecommunications fiber. Here, we demonstrate frequency conversion of visible photons, emitted from the S-P dipole transition of a trapped Ba+ ion into the telecommunications C-band. These results are an important step toward enabling a long-distance trapped ion quantum internet. Published under an exclusive license by AIP Publishing.",US,"Univ Maryland,US Army Res Lab",2021,0,1,0,0
10.1088/2058-9565/ad085b,Quadrupole transitions and quantum gates protected by continuous dynamic decoupling,"Dynamical decoupling techniques are a versatile tool for engineering quantum states with tailored properties. In trapped ions, nested layers of continuous dynamical decoupling (CDD) by means of radio-frequency field dressing can cancel dominant magnetic and electric shifts and therefore provide highly prolonged coherence times of electronic states. Exploiting this enhancement for frequency metrology, quantum simulation or quantum computation, poses the challenge to combine the decoupling with laser-ion interactions for the quantum control of electronic and motional states of trapped ions. Ultimately, this will require running quantum gates on qubits from dressed decoupled states. We provide here a compact representation of nested CDD in trapped ions, and apply it to electronic S and D states and optical quadrupole transitions. Our treatment provides all effective transition frequencies and Rabi rates, as well as the effective selection rules of these transitions. On this basis, we discuss the possibility of combining CDD and Molmer-Sorensen gates.",DE,"Leibniz Univ Hannover,Phys Tech Bundesanstalt",2024,0,1,0,0
10.1088/1367-2630/18/8/083030,Transport implementation of the Bernstein-Vazirani algorithm with ion qubits,"Using trapped ion quantum bits in a scalable microfabricated surface trap, we perform the Bernstein-Vazirani algorithm. Our architecture takes advantage of the ion transport capabilities of such a trap. The algorithm is demonstrated using two-and three-ion chains. For three ions, an improvement is achieved compared to a classical system using the same number of oracle queries. For two ions and one query, we correctly determine an unknown bit string with probability 97.6(8)%. For three ions, we succeed with probability 80.9(3)%.",US,"Georgia Tech Res Inst,Georgia Inst Technol,Univ Maryland",2016,0,1,0,0
10.1088/1367-2630/18/12/123007,High fidelity quantum gates of trapped ions in the presence of motional heating,"We describe entangling quantum gates for trapped ions mediated by a dissipative bus mode and show that suitably designed, polychromatic control pulses decrease ion-phonon entanglement substantially while maintaining the mediated interaction. In particular for multi-qubit gates this yields a significant improvement in gate performance.",GB,Imperial Coll London,2016,0,1,0,0
10.1103/PhysRevA.96.052316,Rydberg-atom-based scheme of nonadiabatic geometric quantum computation,"Nonadiabatic geometric quantum computation provides a means to perform fast and robust quantum gates. It has been implemented in various physical systems, such as trapped ions, nuclear magnetic resonance, and superconducting circuits. Another system being adequate for implementation of nonadiabatic geometric quantum computation may be Rydberg atoms, since their internal states have very long coherence time and the Rydberg-mediated interaction facilitates the implementation of a two-qubit gate. Here, we propose a scheme of nonadiabatic geometric quantum computation based on Rydberg atoms, which combines the robustness of nonadiabatic geometric gates with the merits of Rydberg atoms.","CN,SE","Shandong Univ,Uppsala Univ",2017,1,1,0,0
10.1038/nature13436,Tracking photon jumps with repeated quantum non-demolition parity measurements,"Quantum error correction is required for a practical quantum computer because of the fragile nature of quantum information. In quantum error correction, information is redundantly stored in a large quantum state space and one or more observables must be monitored to reveal the occurrence of an error, without disturbing the information encoded in an unknown quantum state. Such observables, typically multi-quantum-bit parities, must correspond to a special symmetry property inherent in the encoding scheme. Measurements of these observables, or error syndromes, must also be performed in a quantum non-demolition way (projecting without further perturbing the state) and more quickly than errors occur. Previously, quantum non-demolition measurements of quantum jumps between states of well-defined energy have been performed in systems such as trapped ions(1-3), electrons(4), cavity quantum electrodynamics(5,6), nitrogen-vacancy centres(7-9) and superconducting quantum bits(10,11). So far, however, no fast and repeated monitoring of an error syndrome has been achieved. Here we track the quantum jumps of a possible error syndrome, namely the photon number parity of a microwave cavity, by mapping this property onto an ancilla quantum bit, whose only role is to facilitate quantum state manipulation and measurement. This quantity is just the error syndrome required in a recently proposed scheme for a hardware efficient protected quantum memory using Schrodinger cat states (quantum superpositions of different coherent states of light) in a harmonic oscillator(12). We demonstrate the projective nature of this measurement onto a region of state space with well-defined parity by observing the collapse of a coherent state onto even or odd cat states. The measurement is fast compared with the cavity lifetime, has a high single-shot fidelity and has a 99.8 per cent probability per single measurement of leaving the parity unchanged. In combination with the deterministic encoding of quantum information in cat states realized earlier(13,14), the quantum non-demolition parity tracking that we demonstrate represents an important step towards implementing an active system that extends the lifetime of a quantum bit.","FR,US","Yale Univ,INRIA Paris Rocquencourt",2014,1,1,0,0
10.1103/PhysRevLett.122.040404,Out-of-Time-Ordered-Correlator Quasiprobabilities Robustly Witness Scrambling,"Out-of-time-ordered correlators (OTOCs) have received considerable recent attention as qualitative witnesses of information scrambling in many-body quantum systems. Theoretical discussions of OTOCs typically focus on closed systems, raising the question of their suitability as scrambling witnesses in realistic open systems. We demonstrate empirically that the nonclassical negativity of the quasiprobability distribution (QPD) behind the OTOC is a more sensitive witness for scrambling than the OTOC itself. Nonclassical features of the QPD evolve with timescales that are robust with respect to decoherence and are immune to false positives caused by decoherence. To reach this conclusion, we numerically simulate spin-chain dynamics and three measurement protocols (the interferometric, quantum-clock, and weak-measurement schemes) for measuring OTOCs. We target experiments based on quantum-computing hardware such as superconducting qubits and trapped ions.",US,"Chapman Univ,CALTECH",2019,1,1,0,0
10.1007/s11433-012-4815-5,Generation of a genuine six-partite entangled state in trapped-ion system,"Recently, a genuine six-qubit entangled state |six > has been proposed [Chen P X, et al. Phys Rev A, 2006, 74: 032324]. This state does not belong to the well-known three types of multipartite entangled states, i.e., Greenberger-Horne-Zeilinger (GHZ) state, W state, and linear cluster state. This state has many potential applications in quantum information processing. We propose a scheme for generating such a genuine six-qubit entangled state for trapped ions in thermal motion. The scheme is insensitive to both the initial motional state and heating.",CN,Cent South Univ,2012,0,1,0,0
10.1103/PhysRevA.84.012314,Simple trapped-ion architecture for high-fidelity Toffoli gates,"We discuss a simple architecture for a quantum TOFFOLI gate implemented using three trapped ions. The gate, which, in principle, can be implemented with a single laser-induced operation, is effective under rather general conditions and is strikingly robust (within any experimentally realistic range of values) against dephasing, heating, and random fluctuations of the Hamiltonian parameters. We provide a full characterization of the unitary and noise-affected gate using three-qubit quantum process tomography.","FI,GB","Heriot Watt Univ,Univ Turku,Queens Univ",2011,0,1,0,0
10.1103/PhysRevApplied.6.044010,Three-Dimensional Wiring for Extensible Quantum Computing: The Quantum Socket,"Quantum computing architectures are on the verge of scalability, a key requirement for the implementation of a universal quantum computer. The next stage in this quest is the realization of quantum error-correction codes, which will mitigate the impact of faulty quantum information on a quantum computer. Architectures with ten or more quantum bits (qubits) have been realized using trapped ions and superconducting circuits. While these implementations are potentially scalable, true scalability will require systems engineering to combine quantum and classical hardware. One technology demanding imminent efforts is the realization of a suitable wiring method for the control and the measurement of a large number of qubits. In this work, we introduce an interconnect solution for solid-state qubits: the quantum socket. The quantum socket fully exploits the third dimension to connect classical electronics to qubits with higher density and better performance than two-dimensional methods based on wire bonding. The quantum socket is based on spring-mounted microwires-the three-dimensional wires-that push directly on a microfabricated chip, making electrical contact. A small wire cross section (approximately 1 mm), nearly nonmagnetic components, and functionality at low temperatures make the quantum socket ideal for operating solid-state qubits. The wires have a coaxial geometry and operate over a frequency range from dc to 8 GHz, with a contact resistance of approximately 150 m Omega, an impedance mismatch of approximately 10 Omega, and minimal cross talk. As a proof of principle, we fabricate and use a quantum socket to measure high-quality superconducting resonators at a temperature of approximately 10 mK. Quantum error-correction codes such as the surface code will largely benefit from the quantum socket, which will make it possible to address qubits located on a two-dimensional lattice. The present implementation of the socket could be readily extended to accommodate a quantum processor with a (10 x 10)-qubit lattice, which would allow for the realization of a simple quantum memory.","CA,DE,SE,US","Univ Waterloo,INGUN Prufmittelbau GmbH,INGUN USA Inc,Google Inc,Chalmers Univ Technol,Univ Toronto",2016,1,1,0,0
10.1103/PhysRevLett.110.263002,Demonstration of a Dressed-State Phase Gate for Trapped Ions,"We demonstrate a trapped-ion entangling-gate scheme proposed by Bermudez et al. [Phys. Rev. A 85, 040302 (2012)]. Simultaneous excitation of a strong carrier and a single-sideband transition enables deterministic creation of entangled states. The method works for magnetic field-insensitive states, is robust against thermal excitations, includes dynamical decoupling from qubit dephasing errors, and provides simplifications in experimental implementation compared to some other entangling gates with trapped ions. We achieve a Bell state fidelity of 0.974(4) and identify the main sources of error.",US,Natl Inst Stand & Technol,2013,0,1,0,0
10.22331/q-2023-04-06-970,State Preparation in the Heisenberg Model through Adiabatic Spiraling,"An adiabatic state preparation technique, called the adiabatic spiral, is proposed for the Heisenberg model. This technique is suitable for implementation on a number of quantum simulation platforms such as Rydberg atoms, trapped ions, or superconducting qubits. Classical simulations of small systems suggest that it can be successfully implemented in the near future. A comparison to Trotterized time evolution is performed and it is shown that the adiabatic spiral is able to outperform Trotterized adiabatics.",US,Univ Washington,2023,1,1,0,0
