DOI,Country Code,Institutions
10.1038/ncomms8913,AT,"Univ Vienna,Austrian Acad Sci"
10.1038/s41377-021-00608-4,CN,Nanjing Univ
10.1021/nl503081n,"CN,DE,GB","Univ Sci & Technol China,Univ Wurzburg,Univ St Andrews"
10.1038/nature13177,DE,Max Planck Inst Quanten Opt
10.1088/1361-6501/ab150d,CA,"Ctr Quantum Informat & Quantum Control,Inst Opt Sci,Canadian Inst Adv Res"
10.1038/NPHOTON.2016.2,"FR,DE,GB","Univ Grenoble Alpes,CNRS,Univ Strasbourg,Univ Wurzburg,Univ St Andrews,Cardiff Univ"
10.1038/NPHOTON.2013.287,"AU,JP,GB","Univ Tokyo,Australian Natl Univ,Univ Sydney"
10.1038/nature12366,"DE,JP","Univ Tokyo,Johannes Gutenberg Univ Mainz"
10.1140/epjqt/s40507-023-00192-z,GB,"Riverlane,Natl Phys Lab"
10.1038/nature10119,AT,"Univ Vienna,Austrian Acad Sci"
10.1109/JPROC.2016.2561274,US,"Univ Chicago,Argonne Natl Lab"
10.1063/5.0001922,"JP,GB",NTT Corp
10.1038/nature16184,GB,Univ Oxford
10.1364/AO.56.00B222,US,"US Army Res Lab,Univ Maryland"
10.1103/PhysRevX.8.041027,US,Univ Oregon
10.1103/PhysRevLett.108.190504,ES,"ICFO Inst Ciencies Foton,ICREA"
10.1038/NPHOTON.2011.52,"CA,US","Hewlett Packard Labs,Univ Calgary,Natl Inst Nanotechnol,Univ Washington"
10.1088/2058-9565/1/1/015004,"CN,JP,US","Natl Inst Informat & Commun Technol,Wuhan Inst Technol,Univ Electrocommun,Waseda Univ,NIST"
10.1038/nature13821,FR,"CEA Saclay,CNRS"
10.21468/SciPostPhys.15.4.170,SG,"Nanyang Technol Univ,Natl Univ Singapore,ASTAR"
10.1103/PhysRevX.8.011018,DE,"Max Planck Inst Quantum Opt,TOPTICA Photon AG"
10.1038/s41467-024-50355-4,US,"Univ Chicago,Ctr Nanoscale Mat,Argonne Natl Lab"
10.1021/nl101662v,"DE,US","Harvard Univ,Stanford Univ,Humboldt Univ"
10.1103/PhysRevLett.119.010503,"FR,US,GB","Univ Cambridge,Univ Sheffield,Univ Cote Azur,Quantum Opus LLC,Univ Calif Berkeley"
10.1109/JLT.2022.3210466,CA,"Univ Calgary,Natl Res Council Canada,Univ Alberta"
10.1038/nature11577,"DE,JP,US,GB","Stanford Univ,Heriot Watt Univ,Natl Inst Informat,Univ Wurzburg"
10.1038/s41586-022-04821-y,CA,"Simon Fraser Univ,Photonic Inc,Univ Montreal"
10.1364/OL.460836,"CN,US","Purdue Univ,Northeast Normal Univ"
10.1103/PhysRevB.101.035424,IL,Technion Israel Inst Technol
10.1103/PhysRevApplied.16.064019,US,Lab Phys Sci
10.1103/PhysRevLett.123.063601,"FR,NL","Delft Univ Technol,Netherlands Org Appl Sci Res TNO,Univ Montpellier,CNRS"
10.1038/nphoton.2014.84,US,"Naval Res Lab,Sotera Def Solut,US Naval Acad"
10.1103/PhysRevB.99.205415,"AU,DE","Forschungszentrum Julich,Rhein Westfal TH Aachen,UNSW"
10.1103/PhysRevA.103.052421,"JP,TR","Tokyo Int Univ,Istanbul Univ,Tokyo Inst Technol,Univ Tokyo"
10.1038/ncomms4895,"CN,DE","Univ Stuttgart,Stuttgart Res Ctr Photon Engn SCoPE,Beijing Computat Sci Res Ctr,Inst Appl Phys & Computat Math,Univ Sci & Technol China,Ruhr Univ Bochum"
10.1103/PhysRevB.96.241410,CH,Swiss Fed Inst Technol
10.1038/s41534-024-00910-0,"DE,NL,CH","Delft Univ Technol,Univ Geneva,Constructor Univ Bremen GmbH"
10.1126/science.aat3581,US,"Univ Maryland,NIST"
10.1103/PRXQuantum.3.040322,"CA,US","Univ Calif Berkeley,Univ Sherbrooke,Bleximo Corp,Canadian Inst Adv Res"
10.1021/acsphotonics.1c01775,"AU,DK,DE,US,GB","RMIT Univ,Heriot Watt Univ,Univ Calif Davis,Tech Univ Denmark,Univ Stuttgart"
10.1088/1367-2630/15/3/033005,ES,"Univ Pais Vasco UPV EHU,Basque Fdn Sci"
10.1021/acs.nanolett.2c01561,US,"Argonne Natl Lab,Univ Chicago"
10.1088/1361-6455/ab68b6,IN,Indian Inst Technol Kanpur
10.1103/PhysRevX.5.011009,"IL,PL","Technion Israel Inst Technol,Nicolaus Copernicus Univ"
10.1002/qute.202000011,"CA,JP","Univ British Columbia,Univ Tokyo"
10.1103/PhysRevB.100.075433,IT,"Ist Italiano Tecnol,Univ Genoa,Scuola Normale Super Pisa,Univ Florence,Ist Nazl Fis Nucl,Bedimens Spa"
10.1103/PRXQuantum.5.030322,"AU,KR,US","Korea Inst Sci & Technol KIST,Seoul Natl Univ,Korea Univ,Univ Sydney,Univ Chicago"
10.1103/PhysRevA.85.042301,CN,Natl Univ Def Technol
10.1126/science.aau4691,US,"Harvard Univ,CALTECH,Sandia Natl Labs"
10.1038/NPHOTON.2013.48,US,"Univ Maryland,NIST"
10.1038/srep26338,"KR,GB","Univ Surrey,Korea Inst Adv Study"
10.1038/s41586-024-07252-z,US,"Harvard Univ,AWS Ctr Quantum Networking,MIT"
10.1021/acsami.1c16988,"KR,US","Ajou Univ,Univ Chicago,Argonne Natl Lab"
10.1038/s41567-022-01875-7,"AU,AT,DE,SG,GB","Australian Natl Univ,Friedrich Schiller Univ Jena,Univ Cambridge,Inst Expt Phys,Fraunhofer Inst Appl Opt & Precis Engn IOF,Max Planck Sch Photon,Macquarie Univ,Amazon Web Serv,Inst Quantum Opt & Quantum Informat,Alpine Quantum Technol AQT,Nanyang Technol Univ,ASTAR"
10.1103/PhysRevApplied.21.044030,"CN,GB","Tsinghua Univ,Hefei Natl Lab"
10.1038/s41563-021-01148-3,"DE,JP,SE,US","Univ Stuttgart,Kyoto Univ,Fraunhofer Inst Integrated Syst & Device Technol,Helmholtz Zentrum Dresden Rossendorf,Leibniz Inst Surface Engn IOM,Univ Calif Davis,Linkoping Univ"
10.1103/PhysRevA.99.052126,"CN,US","Washington Univ,Southern Univ Sci & Technol,Inst Mat Sci & Engn"
10.1103/PhysRevApplied.18.L061003,US,"Virginia Tech,Univ Colorado Boulder,Univ Delaware"
10.1103/PhysRevB.96.165312,CH,Swiss Fed Inst Technol
10.1038/s42005-020-0307-5,"FI,DE","Aalto Univ,Univ Ulm"
10.1038/s41467-022-29078-x,FI,Aalto Univ
10.1103/PhysRevB.109.134106,"AU,US","Univ Melbourne,CUNY City Coll New York"
10.1103/PhysRevLett.132.150604,"FR,US,GB","Univ Oxford,Sorbonne Univ,Univ Maryland,Univ Edinburgh"
10.1088/2058-9565/aa7c50,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,INFN"
10.1016/j.jlumin.2009.12.004,DE,Humboldt Univ
10.1038/s41586-021-03809-4,"US,GB","NIST,Univ Colorado,Lawrence Livermore Natl Lab,Univ Texas San Antonio,Univ Oregon,Univ Oxford,Stanford Univ"
10.1021/acs.nanolett.3c04056,US,Univ Maryland
10.1103/PhysRevA.98.062327,"JP,SE,US","RIKEN Cluster Pioneering Res,Univ Michigan,Chalmers Univ Technol"
10.1063/5.0138627,CN,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevX.12.011008,CH,Swiss Fed Inst Technol
10.1088/1367-2630/12/6/063015,CN,Univ Sci & Technol China
10.1103/PhysRevX.11.041041,"NL,US,GB","Univ Cambridge,MIT,CCDC Army Res Lab,Delft Univ Technol"
10.1103/PhysRevLett.128.013601,"CA,US","Univ Maryland,Univ Alberta"
10.1364/OE.26.030689,CN,"Shangrao Normal Univ,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ"
10.1103/PhysRevLett.107.053602,"CH,US","Princeton Univ,ETH,Natl Inst Stand & Technol"
10.1038/s41467-018-06142-z,US,CALTECH
10.1140/epjp/s13360-022-03251-z,CN,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1016/j.optcom.2017.01.056,KR,"Chungbuk Natl Univ,Korea Inst Sci & Technol,Natl Secur Res Inst"
10.1103/PhysRevA.106.L030402,"DE,US","Univ Maryland,Forschungszentrum Julich,Julich Aachen Res Alliance"
10.1007/s11128-015-1147-1,CN,"Coll Informat & Nav,Xian Commun Coll"
10.1016/j.ijleo.2009.03.006,MY,Multimedia Univ
10.1103/PhysRevApplied.14.064033,"BR,DE,US","Syracuse Univ,Univ Fed Santa Catarina,Saarland Univ,Univ Colorado,SeeQC Inc,Res Ctr Julich,US Air Force Res Lab"
10.1109/JLT.2023.3311806,US,Univ Washington
10.1103/PhysRevX.9.011021,US,"Princeton Univ,Univ Maryland"
10.1364/OL.43.005765,CN,"Hangzhou Normal Univ,Univ Sci & Technol China,Nanjing Univ"
10.1103/PhysRevA.89.033857,US,"Princeton Univ,IBM Corp,Yale Univ"
10.1103/PhysRevA.107.032616,CN,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevApplied.22.054043,US,Stanford Univ
10.1103/PhysRevB.101.245415,AR,"Univ Nacl Cuyo,Consejo Nacl Invest Cient & Tecn"
10.1103/PhysRevLett.133.203603,"CN,DE,CH","Zhejiang Univ,Univ Elect Sci & Technol China,Univ Basel,Ruhr Univ Bochum,TU Dortmund"
10.1038/s41467-021-24494-x,"AT,BE,CZ,HU,SE","Hasselt Univ,Czech Tech Univ,Czech Acad Sci,Univ Vienna,Wigner Res Ctr Phys,Linkoping Univ,IMEC,Budapest Univ Technol & Econ"
10.1007/s11467-022-1163-4,CN,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1038/s41467-022-33921-6,"CN,GB","Tsinghua Univ,Hefei Natl Lab"
10.1063/1.4994661,"AT,US","CALTECH,IST Austria"
10.1002/qute.202400141,"FR,RU","Lomonosov Moscow State Univ,RAS,Moscow MV Lomonosov State Univ,Skolkovo Inst Sci & Technol,PSL Res Univ"
10.1038/NNANO.2017.154,US,"Princeton Univ,Lawrence Berkeley Natl Lab"
10.1103/PhysRevX.8.041050,"CA,IL","Technion Israel Inst Technol,Natl Res Council Canada,Univ Ottawa"
10.1038/s41567-018-0199-4,"FI,TW","Aalto Univ,Natl Taiwan Univ,Acad Sinica"
10.1063/1.5004147,"DE,IL,US","Tech Univ Berlin,Technion Israel Inst Technol,Univ Washington,Otto von Guericke Univ"
10.1080/09500340.2014.986550,CN,Xi An Jiao Tong Univ
10.1038/nature18648,US,"Univ Maryland,IonQ Inc"
10.1038/s41586-020-2811-x,US,MIT
10.1063/5.0049372,"CA,GB",Univ British Columbia
10.1103/PhysRevLett.114.080501,US,"Univ Chicago,Univ Maryland,IBM Corp"
10.1038/s41598-022-21267-4,"CZ,PL","Adam Mickiewicz Univ,Palacky Univ"
10.1038/s41565-022-01282-2,"AT,IN,GB","Univ Cambridge,Johannes Kepler Univ Linz,Indian Inst Technol Delhi,Univ Sheffield,Univ Oxford"
10.1038/nature09997,DE,Max Planck Inst Quantum Opt
10.1088/1402-4896/ad6dae,RU,Novosibirsk State Tech Univ
10.1007/s11433-014-5591-1,"CN,SG","Shaoguan Univ,Lanzhou Univ Technol,Natl Univ Singapore"
10.1364/JOSAB.33.000C50,US,"Univ Arizona,Sandia Natl Labs"
10.1021/nl303075q,"DE,GB","Univ Sheffield,Tech Univ Munich"
10.1007/s11128-020-2578-x,CN,"Zhejiang Univ Sci & Technol,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ,Shangrao Normal Univ"
10.1103/PhysRevB.104.174202,"DE,RU","Karlsruhe Inst Technol,Landau Inst Theoret Phys,Natl Univ Sci & Technol MISIS,Russian Quantum Ctr"
10.1103/PhysRevLett.131.113601,"CN,JP,PL,US","Fuzhou Univ,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp RQC,Chinese Acad Sci,Univ Chinese Acad Sci,South China Univ Technol,Zhejiang Univ,Adam Mickiewicz Univ,Univ Michigan"
10.1088/1612-2011/13/8/085201,CN,"Hefei Normal Univ,Anhui Xinhua Univ,Nanjing Univ"
10.1038/s41534-024-00914-w,CA,"Univ Waterloo,Inst Quantum Comp,Perimeter Inst Theoret Phys,Ki3 Photon Technol,Univ Ottawa"
10.1103/PhysRevLett.110.157001,DE,Karlsruhe Inst Technol
10.1364/OE.24.000125,"CH,US","Univ Geneva,NIST,CALTECH,Univ Basel"
10.1038/s41567-024-02408-0,"AT,US","CALTECH,Univ Innsbruck,Austrian Acad Sci"
10.1103/PhysRevX.13.021039,US,CALTECH
10.1038/nature11023,DE,Max Planck Inst Quantum Opt
10.1103/PhysRevLett.121.183603,"FR,US","CALTECH,Univ Chicago,NIST"
10.1038/s41566-017-0050-y,DE,"Max Planck Inst Quantum Opt,OHB Syst AG,TOPTICA Photon AG"
10.1038/s41467-022-28670-5,CH,"IBM Res Europe,Swiss Fed Inst Technol,Swiss Fed Inst Technol Lausanne FPFL"
10.1103/PhysRevLett.124.120501,CN,"Tsinghua Univ,Fuzhou Univ"
10.1063/5.0137728,RU,"Moscow MV Lomonosov State Univ,Russian Quantum Ctr,South Ural State Univ SUSU"
10.1103/PhysRevApplied.20.024058,"AU,AT,DE,CH","Univ Queensland,Swiss Fed Inst Technol,Univ Innsbruck,Austrian Acad Sci,Rhein Westfal TH Aachen"
10.1103/PhysRevLett.120.100501,ES,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1103/PhysRevX.11.011015,"ES,US","CALTECH,AWS Ctr Quantum Comp,CSIC,IFF CSIC"
10.1038/s41566-018-0236-y,"AU,CN,GB","Univ Bristol,Natl Univ Def Technol,AMS,Sun Yat sen Univ,Peking Univ,Univ Western Australia,Univ Queensland"
10.1126/sciadv.abn1778,"CN,GB",Tsinghua Univ
10.1103/PhysRevX.12.031036,"IT,ES,SE,CH","Chalmers Univ Technol,Barcelona Inst Sci & Technol,Univ Palermo,CNR,Ecole Polytech Fed Lausanne,Ecole Polytech Fed Lausanne EPFL,Swiss Fed Inst Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1109/JSSC.2024.3459392,NL,"Delft Univ Technol,TNO"
10.1364/OE.487467,CA,Univ Calgary
10.1038/srep06115,"AU,AT,US","Univ Vienna,Harvard Univ,Univ Queensland"
10.1038/s41467-024-47882-5,"US,GB","Sandia Natl Labs,Quantinuum LLC"
10.1063/1.5021349,US,MIT
10.1103/PhysRevLett.118.250502,US,Univ Maryland
10.1103/PhysRevA.91.042307,AU,Macquarie Univ
10.1103/PhysRevA.100.043843,RU,"RAS,Kazan Fed Univ"
10.1088/1361-6668/aad8f4,"CL,FR,DE,ES","Bayer Akad Wissensch,Tech Univ Munich,Nanosyst Initiat Munich,CSIC,Univ Mayor,Univ Grenoble Alpes,CNRS"
10.1007/s11433-010-4014-1,CN,"Chinese Acad Sci,Univ Sci & Technol China"
10.1126/sciadv.abb8780,"SE,US","MIT,Chalmers Univ Technol"
10.1103/PhysRevA.87.062333,CZ,"Palacky Univ,Acad Sci Czech Republ"
10.1103/PRXQuantum.3.040319,NL,Delft Univ Technol
10.1038/s41565-023-01515-y,NL,QphoX BV
10.1088/1674-1056/22/9/090307,CN,"Qufu Normal Univ,Shandong Univ"
10.1103/PhysRevA.83.010302,"ES,GB","Queens Univ Belfast,Univ Basque Country,Univ London Imperial Coll Sci Technol & Med"
10.1103/PRXQuantum.4.020328,"DK,GB","Univ Bristol,Univ Copenhagen"
10.1016/j.physe.2020.113967,GR,Univ Patras
10.1038/NNANO.2016.139,US,MIT
10.1103/PhysRevA.84.043816,DE,Tech Univ Munich
10.1103/PhysRevA.104.032403,TW,"Natl Cheng Kung Univ,Ctr Quantum Technol"
10.1016/j.physleta.2023.128925,TR,Cankaya Univ
10.1103/PRXQuantum.4.030340,"CN,DK,SG,GB","Hong Kong Polytech Univ,Nanyang Technol Univ,Univ Copenhagen,Univ Bristol,Tongji Univ,ASTAR,Adv Micro Foundry,Natl Univ Singapore"
10.1038/s41586-021-03290-z,"DE,ES","Max Planck Inst Quantum Opt,Barcelona Inst Sci & Technol"
10.1016/j.scib.2018.11.010,CN,"Tsinghua Univ,Univ Sci & Technol China"
10.1016/j.ssc.2017.11.013,"IT,SA","Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1021/acsnano.1c01255,US,Harvard Univ
10.1038/s41467-024-49467-8,"CH,US","Swiss Fed Inst Technol Lausanne EPFL,Ctr Quantum Sci & Engn EPFL,Purdue Univ"
10.1103/PhysRevB.86.045456,TW,Natl Tsing Hua Univ
10.1088/1612-2011/11/12/125202,CN,Yanbian Univ
10.1016/j.aop.2015.09.005,CN,Hangzhou Dianzi Univ
10.1103/PhysRevB.91.094517,JP,"RIKEN,Univ Tokyo"
10.1016/j.physleta.2017.01.052,KR,"Chungbuk Natl Univ,Korea Inst Sci & Technol,Natl Secur Res Inst"
10.1038/s41534-023-00751-3,GB,"Toshiba Europe Ltd,Univ Cambridge"
10.1364/OPTICA.394138,US,Stanford Univ
10.1364/OE.20.006915,KR,Korea Res Inst Stand & Sci
10.1038/s42005-024-01610-z,"FR,IT",Univ Pavia
10.1007/s11128-016-1499-1,CN,Zhejiang Sci Tech Univ
10.1002/qute.202100002,DE,"Tech Univ Berlin,Ruhr Univ Bochum,Univ Bremen,Tech Univ Munich,Univ Paderborn"
10.1103/PhysRevLett.128.213602,"DE,IL,US","Harvard Univ,AWS Ctr Quantum Comp,Univ Hamburg,Hamburg Ctr Ultrafast Imaging,Hebrew Univ Jerusalem"
10.22331/q-2021-02-15-397,US,Virginia Tech
10.1364/OL.39.001489,CN,Yanbian Univ
10.1103/PhysRevA.89.062328,JP,NTT Corp
10.1364/JOSAB.31.001255,US,MIT
10.1088/1555-6611/ac16e2,US,MIT
10.1038/s41598-020-61938-8,KR,"Korea Inst Sci & Technol KIST,Korean Intellectual Property Off,Chungbuk Natl Univ,Korea Univ,Korea Univ Sci & Technol"
10.1002/qute.202400171,CN,Zhejiang Univ
10.1063/5.0207714,"IT,KR","ETRI,Korea Adv Inst Sci & Technol,Univ Trento"
10.1038/s41534-021-00385-3,"CN,JP","Chinese Acad Sci,Univ Chinese Acad Sci,RIKEN,Beijing Acad Quantum Informat Sci,UCAS,Songshan Lake Mat Lab"
10.1103/PhysRevA.88.035806,"IT,SA","Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1038/s41534-023-00722-8,"AU,DE","Univ Queensland,Rhein Westfal TH Aachen"
10.1103/PhysRevA.109.022413,"AT,BR,DE,US","Austrian Acad Sci,Univ Vienna,Univ Fed Rio de Janeiro,Oklahoma State Univ,Tech Univ Darmstadt"
10.1103/PhysRevA.104.033714,CN,"East China Normal Univ,Shanxi Univ,NYU Shanghai"
10.1021/acs.nanolett.3c01511,US,"MIT,Sandia Natl Labs,MITRE Corp,Univ Arizona"
10.1103/PhysRevLett.114.203602,"CA,CN","Southeast Univ,Univ Sci & Technol China,Univ Calgary,Canadian Inst Adv Res,East China Normal Univ,Beijing Inst Mech & Elect Space"
10.1038/s41534-022-00627-y,"CN,SG","Nanyang Technol Univ,Shanghai Jiao Tong Univ,City Univ Hong Kong,Sun Yat sen Univ,Natl Univ Singapore,Natl Inst Educ"
10.1038/srep06237,CN,"S China Normal Univ,Anhui Xinhua Univ,Univ Hong Kong,Huazhong Univ Sci & Technol,Tsinghua Univ,Nanjing Univ"
10.1007/s10773-016-3108-6,CN,Sichuan Univ Sci & Engn
10.1088/1361-6455/ab9273,CN,"Zhejiang Normal Univ,Tongji Univ"
10.1103/PhysRevApplied.6.014019,"US,GB","Univ Calif Santa Barbara,Univ Southampton,Univ Chicago"
10.7567/1347-4065/ab5b62,"DE,JP","Univ Tokyo,Osaka Univ,Ruhr Univ Bochum,Univ Electrocommun"
10.1364/JOSAB.31.000154,US,MIT
10.1038/lsa.2016.64,"FR,IT,GB","Univ Roma La Sapienza,CNR,Politecn Milan,CNRS,Univ Bristol"
10.1103/PhysRevA.104.053522,"DE,ES","Inst Fundamental Phys IFF CSIC,Max Planck Inst Quantum Opt"
10.1038/ncomms13454,CA,"Univ Calgary,Natl Res Council Canada"
10.1103/PhysRevApplied.18.044046,"PL,KR","Korea Inst Sci & Technol KIST,Yonsei Univ,Nicolaus Copernicus Univ,Korea Univ Sci & Technol,Korea Adv Inst Sci & Technol KAIST"
10.1088/0031-8949/2010/T140/014014,"FI,IT","Univ Palermo,Univ Turku"
10.1103/PhysRevApplied.21.L061002,CN,"Univ Sci & Technol China,Lanzhou Univ,Hefei Natl Lab"
10.1088/0256-307X/27/3/030302,CN,Fuzhou Univ
10.1038/ncomms11339,"AU,CN,IT","RMIT Univ,Univ Sydney,CNR,Politecn Milan,South Univ Sci & Technol China"
10.1103/PhysRevA.82.042327,"CN,JP,US","RIKEN,Fuzhou Univ,Hangzhou Normal Univ,Univ Michigan"
10.1103/PhysRevLett.117.040402,AU,"RMIT Univ,Univ Sydney"
10.1134/S1054660X11150175,RU,"Tatarstan Acad Sci,Russian Acad Sci,Kazan VI Lenin State Univ"
10.1126/science.adf9887,"FR,JP,KR","Univ Paris Saclay,Korea Adv Inst Sci & Technol,Natl Inst Mat Sci,NTT Corp"
10.1103/PhysRevA.92.042314,CN,Nanjing Univ Posts & Telecommun
10.1103/PhysRevApplied.21.014015,US,"Univ Chicago,Argonne Natl Lab"
10.1088/1555-6611/aae279,RU,"Tatarstan Acad Sci,Russian Acad Sci"
10.1364/OE.482008,"CA,DE","Simon Fraser Univ,Photonic Inc,Univ Montreal,Leibniz Inst Kristallzuchtung,Vitcon Projectconsult GmbH"
10.1007/s11082-022-04041-8,IT,Politecn Torino
10.1103/PhysRevApplied.14.064004,CL,"Univ Concepcion,Univ Bio Bio"
10.1063/1.5125224,"RU,ZA","Univ Witwatersrand,Natl Univ Sci & Technol MISIS"
10.1038/s41467-023-37513-w,US,Yale Univ
10.1103/PhysRevA.106.032613,US,"Aliro Technol Inc,Univ Arizona,Univ Pittsburgh,Univ Chicago,Princeton Univ,Harvard Univ"
10.1088/1367-2630/ab8e13,"CN,SG","Univ Sci & Technol Beijing,Natl Univ Singapore"
10.3390/e16063121,MX,"Ctr Nacl Metrol,Tecnol Monterrey"
10.1103/PhysRevLett.105.220501,"AT,DK,US","Inst Quantum Opt & Quantum Informat,Univ Innsbruck,Inst Theoret Atom Mol & Opt Phys,Univ Copenhagen,Harvard Univ"
10.1007/s11433-014-5549-3,CN,"Hengyang Normal Univ,Hunan Normal Univ"
10.1103/PhysRevA.101.062314,DE,Univ Rostock
10.1103/PhysRevLett.118.177401,CH,ETH
10.1364/OE.520492,"IT,KR","Pukyong Natl Univ,Univ Trento"
10.1103/PhysRevA.98.033833,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,UMI 3654,Univ Catania,INFN"
10.1103/PhysRevA.101.032335,CN,Fujian Univ Technol
10.1088/1367-2630/aa65de,US,Oak Ridge Natl Lab
10.1103/PhysRevLett.122.070402,"AU,CN","Univ Sci & Technol China,Griffith Univ"
10.1039/c4fd00206g,ES,"Univ Zaragoza,CSIC,Fdn ARAID"
10.1103/PhysRevA.105.022611,DE,"Max Planck Inst Quantum Opt,Munich Ctr Quantum Sci & Technol MCQST"
10.1063/1.5100160,JP,"Univ Tokyo,JST"
10.1103/PhysRevA.107.L060601,CN,Southern Univ Sci & Technol
10.1038/ncomms8948,GB,"Univ Bristol,Univ Strathclyde,Univ Glasgow"
10.1364/OPTICA.424258,US,Stanford Univ
10.1088/1367-2630/ac60df,CN,"Xi An Jiao Tong Univ,Hubei Univ Automot Technol"
10.3390/mi11121111,CN,"Peking Univ,Univ Sci & Technol China,Shanxi Univ"
10.1364/PRJ.452539,CN,"Peking Univ,CAS Univ Sci & Technol China,Shanxi Univ"
