,gate,entanglement,spin,cavity,photon,state,scheme,phase,quantum dot,polarization,mode,measurement,couple,information,crystal,atom,fidelity,cluster state,circuit,quantum state,field,source,resonator,device,protocol,computation,diamond,center,control,quantum computing,resource,channel
fidelity,0.3530242507747799,0.2742742708813898,0.20889004832671826,0.23857660373819603,0.47144701838145303,0.4572516337168011,0.27242750174728897,0.1760475392542646,0.14592836972877912,0.3752443793025749,0.1766404511952434,0.23699122097006606,0.17466675292187459,0.27484325651507263,0.10044292546128847,0.2902537824479192,1.0,0.09205746178983233,0.3125809964823746,0.3087701135972319,0.13897535958414065,0.27146264489895156,0.15342910298305387,0.2169815183013731,0.2386796701315104,0.20094492631009794,0.10438335009588315,0.0695889000639221,0.11507182723729042,0.17538407320066007,0.22662980454966827,0.12274328238644311
cluster state,0.33235149516719387,0.19310804067388584,0.13752283283450578,0.11518245674418136,0.1786474002526241,0.21681454519599697,0.14506471329641488,0.15936381457791915,0.03774256780481986,0.11322770341445958,0.10660035817780522,0.26403934479377983,0.10540925533894598,0.10475656017578482,0.036369648372665396,0.08084520834544433,0.09205746178983233,1.0,0.08084520834544433,0.037267799624996496,0.07188851546895894,0.0982946374365981,0.1111111111111111,0.07856742013183861,0.07856742013183861,0.485071250072666,0.0,0.0629940788348712,0.125,0.18144368465060579,0.3692744729379982,0.05555555555555555
circuit,0.22321959954129736,0.12043434688555504,0.12507819831856498,0.18856698169277525,0.3899552299324752,0.28682864310588757,0.21110016546037455,0.2608969660436018,0.13730875909527243,0.16477051091432693,0.1809806914982567,0.12007302660701855,0.17895849739771977,0.22866478019001177,0.10585122480499262,0.08823529411764706,0.3125809964823746,0.08084520834544433,1.0,0.16269784336399212,0.2092263123863766,0.10727978097782273,0.242535625036333,0.2858309752375147,0.08574929257125442,0.11764705882352941,0.09166984970282113,0.1375047745542317,0.24253562503633297,0.06600983619844496,0.11941628680530643,0.040422604172722164
quantum state,0.15434872662825797,0.3516107748438625,0.06918984060216637,0.13521679662509475,0.38615213993619796,0.46277514967945194,0.23354968324845687,0.1336306209562122,0.05063696835418333,0.3038218101251,0.14301938838683884,0.22140372138502384,0.1414213562373095,0.31622776601683794,0.12198750911856665,0.16269784336399212,0.3087701135972319,0.037267799624996496,0.16269784336399212,1.0,0.14467284665112365,0.09890707100936805,0.11180339887498948,0.23717082451262844,0.18446619684315546,0.02711630722733202,0.08451542547285165,0.1267731382092775,0.11180339887498948,0.09128709291752769,0.11009637651263607,0.14907119849998599
field,0.2977342621104822,0.17848607617497853,0.244686229315071,0.35398264645063965,0.41096628468960217,0.3443194196409916,0.22525531673348334,0.30932355733588024,0.3174510888285778,0.17093520167692652,0.3448503674037771,0.10677035543974552,0.3637303143842525,0.2711085694801861,0.18824832213400466,0.33999275762786196,0.13897535958414065,0.07188851546895894,0.2092263123863766,0.14467284665112365,1.0,0.06359630007488934,0.14377703093791788,0.20333142711013957,0.20333142711013957,0.15691973428978245,0.08151391459392224,0.16302782918784448,0.29654012630945564,0.17609018126512477,0.053093187320189895,0.07188851546895894
source,0.2261656365159503,0.170833363597183,0.09124485970087103,0.1528445406338003,0.33364154729962764,0.2789896203624624,0.15399810070180361,0.1057361065275362,0.26711222531767115,0.16694514082354445,0.09430419201928972,0.11679143249475675,0.09325048082403138,0.23168268228563862,0.19304683562633607,0.07151985398521515,0.27146264489895156,0.0982946374365981,0.10727978097782273,0.09890707100936805,0.06359630007488934,1.0,0.0982946374365981,0.24326681639992054,0.13900960937138318,0.17879963496303788,0.11145564251507056,0.11145564251507056,0.07372097807744857,0.12038585308576921,0.07259540086406277,0.0982946374365981
resonator,0.1278274981412284,0.05517372590682453,0.2062842492517587,0.23036491348836272,0.23819653367016547,0.23652495839563303,0.2030905986149808,0.15936381457791915,0.07548513560963972,0.03774256780481986,0.1421338109037403,0.09901475429766744,0.35136418446315326,0.15713484026367722,0.14547859349066158,0.1212678125181665,0.15342910298305387,0.1111111111111111,0.242535625036333,0.11180339887498948,0.14377703093791788,0.0982946374365981,1.0,0.11785113019775792,0.07856742013183861,0.16169041669088866,0.314970394174356,0.3779644730092272,0.125,0.09072184232530289,0.0,0.05555555555555555
device,0.23500799597021085,0.17556172079419585,0.2187974872468418,0.22397731465322626,0.32282490307549894,0.30662207033593325,0.28721347895177635,0.14085904245475275,0.16012815380508716,0.2401922307076307,0.20100756305184242,0.09335200560186732,0.24845199749997662,0.2962962962962963,0.20573779994945587,0.08574929257125442,0.2169815183013731,0.07856742013183861,0.2858309752375147,0.23717082451262844,0.20333142711013957,0.24326681639992054,0.11785113019775792,1.0,0.08333333333333333,0.14291548761875736,0.1781741612749496,0.0890870806374748,0.23570226039551587,0.22452510468485445,0.14506471329641488,0.11785113019775792
protocol,0.21693045781865616,0.21457543652623937,0.1701758234142103,0.16289259247507362,0.23860971096884703,0.29268470350248177,0.24618298195866545,0.253546276418555,0.08006407690254358,0.13344012817090595,0.20100756305184242,0.18670401120373464,0.049690399499995326,0.25925925925925924,0.07715167498104596,0.2000816826662603,0.2386796701315104,0.07856742013183861,0.08574929257125442,0.18446619684315546,0.20333142711013957,0.13900960937138318,0.07856742013183861,0.08333333333333333,1.0,0.14291548761875736,0.0445435403187374,0.0890870806374748,0.11785113019775793,0.19245008972987526,0.17407765595569785,0.11785113019775792
computation,0.4092359324923785,0.22079630262351757,0.150093837982278,0.20951886854752805,0.3321840847572937,0.30117007526118195,0.25332019855244947,0.20291986247835694,0.10984700727621795,0.13730875909527243,0.1292719224987548,0.2641606585354408,0.1533929977694741,0.17149858514250885,0.07938841860374447,0.17647058823529413,0.20094492631009794,0.485071250072666,0.11764705882352941,0.02711630722733202,0.15691973428978245,0.17879963496303788,0.16169041669088866,0.14291548761875736,0.14291548761875736,1.0,0.045834924851410566,0.045834924851410566,0.09095085938862486,0.23103442669455734,0.3283947887145927,0.08084520834544433
diamond,0.08696565534786727,0.06256112470898545,0.5067927641305429,0.19590694453450175,0.20256711147285467,0.20114557032045338,0.09869275424396534,0.09035079029052513,0.04279604925109129,0.04279604925109129,0.16116459280507606,0.11227217828476796,0.23904572186687875,0.23756554836659946,0.37115374447904514,0.045834924851410566,0.10438335009588315,0.0,0.09166984970282113,0.08451542547285165,0.08151391459392224,0.11145564251507056,0.314970394174356,0.1781741612749496,0.0445435403187374,0.045834924851410566,1.0,0.7142857142857143,0.1417366773784602,0.05143444998736397,0.0,0.0
center,0.11595420713048969,0.031280562354492725,0.3508565290134527,0.2285581019569187,0.22507456830317185,0.17879606250706967,0.16448792373994225,0.1355261854357877,0.08559209850218258,0.04279604925109129,0.16116459280507606,0.07484811885651198,0.23904572186687875,0.1781741612749496,0.28867513459481287,0.045834924851410566,0.0695889000639221,0.0629940788348712,0.1375047745542317,0.1267731382092775,0.16302782918784448,0.11145564251507056,0.3779644730092272,0.0890870806374748,0.0890870806374748,0.045834924851410566,0.7142857142857143,1.0,0.1417366773784602,0.05143444998736397,0.0,0.0
control,0.3643083697025009,0.1655211777204736,0.2578553115646983,0.30235394895347606,0.2828583837333215,0.31043900789426837,0.23935677693908453,0.17928429140015903,0.22645540682891913,0.11322770341445956,0.21320071635561041,0.1237684428720843,0.26352313834736496,0.19641855032959654,0.2182178902359924,0.09095085938862486,0.11507182723729042,0.125,0.24253562503633297,0.11180339887498948,0.29654012630945564,0.07372097807744857,0.125,0.23570226039551587,0.11785113019775793,0.09095085938862486,0.1417366773784602,0.1417366773784602,1.0,0.17010345435994292,0.06154574548966636,0.125
quantum computing,0.3131121455425747,0.11262289639991432,0.1965021149155211,0.2586267258148194,0.2431083191631576,0.28968272975116055,0.14213381090374028,0.16265001215808886,0.15408338784034142,0.12326671027227314,0.26111648393354675,0.24253562503633297,0.1147550621098494,0.19245008972987526,0.14847846772912465,0.1650245904961124,0.17538407320066007,0.18144368465060579,0.06600983619844496,0.09128709291752769,0.17609018126512477,0.12038585308576921,0.09072184232530289,0.22452510468485445,0.19245008972987526,0.23103442669455734,0.05143444998736397,0.05143444998736397,0.17010345435994292,1.0,0.2345088235604828,0.09072184232530289
resource,0.24545784641604232,0.22411673409695024,0.15235101483570768,0.17013576402364539,0.21989974856677125,0.34937051739291736,0.25712973861329,0.1765469659009499,0.08362420100070908,0.19512313566832118,0.2099455524325912,0.24375747470904355,0.051899929610768204,0.23210354127426377,0.026860765467512676,0.059708143402653215,0.22662980454966827,0.3692744729379982,0.11941628680530643,0.11009637651263607,0.053093187320189895,0.07259540086406277,0.0,0.14506471329641488,0.17407765595569785,0.3283947887145927,0.0,0.0,0.06154574548966636,0.2345088235604828,1.0,0.08206099398622181
channel,0.07669649888473705,0.1655211777204736,0.13752283283450578,0.08638684255813601,0.27789595594852634,0.21681454519599697,0.11605177063713189,0.03984095364447979,0.07548513560963972,0.11322770341445958,0.10660035817780522,0.09901475429766744,0.07027283689263066,0.10475656017578482,0.10910894511799618,0.1212678125181665,0.12274328238644311,0.05555555555555555,0.040422604172722164,0.14907119849998599,0.07188851546895894,0.0982946374365981,0.05555555555555555,0.11785113019775792,0.11785113019775792,0.08084520834544433,0.0,0.0,0.125,0.09072184232530289,0.08206099398622181,1.0
