단어,문서개수
signal,19
signature,8
significance,2
silica,3
silicon,74
sim,2
similarity,1
simplicity,1
simplification,1
simulation,35
simulator,3
singleshot,1
singlet,4
sio,1
siph,1
sit,2
site,8
situ,7
situation,4
siv,6
sivs,1
size,24
skin,1
slit,1
smsv,1
snv,1
society,14
software,3
soi,2
solid,4
soliton,1
soundness,1
source,71
space,50
span,3
spatial,1
spdc,2
spds,1
spe,1
specialist,1
specie,1
species,1
specification,2
spectator,1
spectra,8
spectrometer,1
spectroscopy,10
spectrum,10
speed,20
speedup,3
sphere,9
spin,98
spintronic,1
spite,1
split,13
splitter,12
spool,1
spotlight,1
spread,1
spt,1
squeeze,4
srcz,1
sroh,1
stability,11
stabilization,2
stabilizer,3
stack,6
stage,6
stamp,1
stamptransfer,1
standard,5
standardization,1
star,4
start,1
state,315
station,1
statistic,8
status,1
steer,3
steerability,1
step,50
stfickelberg,1
stoichiometric,1
stoke,4
stop,1
storage,25
store,1
strain,5
stream,1
strength,20
stress,1
string,3
structure,54
stuckelberg,2
style,1
sub,1
subcarrier,1
subfield,1
subject,2
sublevel,1
subroutine,2
subset,4
subspace,8
substrate,8
subsystem,9
subtraction,1
subvariant,1
subwavelength,3
success,23
suffice,2
suite,1
sum,1
super,1
superatom,2
supercomputer,1
superconducte,6
superconducting qubit,35
superconductor,1
superiority,1
superiorstrategy,1
superlattice,1
superposition,20
superselection,1
superset,1
superstructure,1
supervision,1
supervisor,1
supply,3
support,1
suppression,6
supremacy,2
surf,1
surface,19
survival,1
susceptibility,1
suspicion,1
suzuki,1
swap,18
swing,2
switch,19
switchable,1
symmetric,3
symmetry,11
synchronization,2
syndrome,1
synthesis,5
synthesize,1
table,3
tail,1
tailor,2
talk,2
tapster,1
target,18
task,33
tau,1
tavis,2
tdm,2
technology,109
tedp,1
teleamplification,1
telecom,21
telecommunication,15
telekom,1
teleportation,15
temperature,36
ten,5
tensor,3
terbium,1
term,49
terminal,2
test,15
testing,2
text,2
tfd,1
tfln,1
thank,2
theme,1
theorem,3
theoretic,1
theoretical,1
theory,30
theptdynamic,1
thereto,1
thermalization,2
thermo,3
thermodynamic,1
thermometer,1
thermometry,1
thermorefractive,1
thickness,3
thin,2
think,1
thorn,1
thousand,4
threat,1
threshold,18
thulium,1
thz,1
time,2
timescale,4
tin,1
tion,2
tip,1
tirf,1
titanium,1
titanyl,1
title,1
tle,1
today,3
toffoli,4
tolerance,10
tomographic,1
tomography,30
tone,2
tool,11
toolbox,4
toolkit,2
top,2
topological order,1
topological quantum,1
topology,6
torque,1
tpe,1
tqs,1
trace,1
track,4
trade,12
tradeoff,1
tradition,1
train,5
trait,1
trajectory,1
transceive,1
transceiver,1
transducer,9
transduction,11
transfer,17
transfor,1
transform,5
transformation,8
transformer,1
transistor,2
transition,44
translate,1
transmission,37
transmitter,5
transmittivity,1
transmon,12
transparency,6
transpilation,1
transport,14
transpose,1
transverse,4
trap,10
trapped ion,15
trary,1
treatment,1
tree,5
tremble,1
trend,1
trial,1
triangular,1
trigger,2
trim,1
triode,1
tripartite,2
triple,1
triplet,9
tripod,2
tristate,1
trivariate,1
trotter,1
trotterization,1
truncation,1
truth,3
tsirelson,1
tunability,4
tunable,4
tune,7
tuneabilty,1
tunnel,2
tunneling,4
tunnelling,1
turbulence,1
turn,1
turnkey,1
tweezer,4
twist,1
twoqubit,1
type,36
ultrashort,1
ultrastrong,3
ultraviolet,2
uncertainty,4
undercut,1
undergoe,1
understand,6
uniform,2
unit,10
unitarie,3
unity,12
universality,2
universe,1
upconversion,1
update,1
uplink,1
urban,1
usage,1
usc,1
usefulness,3
user,11
utem,1
uti,1
utility,5
utilization,4
vacancy,28
vacuum,15
valence,1
validation,2
validity,2
valley,1
value,24
van,4
vapor,2
variability,1
variable,24
variance,2
variant,1
variation,9
variational,1
variety,18
vazirani,1
vector,10
velocity,3
verification,6
verifie,1
verify,1
versatile,1
versatility,2
version,6
vertex,2
viability,2
vibration,3
vicinity,1
view,3
violation,18
violet,1
virtue,1
visibility,5
vision,1
visualization,1
vnir,2
voltage,9
volume,5
vqe,1
vulnerability,1
w state,7
waal,3
wafer,4
walk,1
waller,1
wander,1
wave,40
waveform,2
wavefunction,1
waveguide,61
waveinteraction,1
wavelength,35
wavepacket,1
wavevector,1
way,66
wdm,1
weave,1
week,1
wei,1
weight,2
weiner,1
well,4
weyl,1
wheeler,1
whole,1
width,5
window,3
wiring,2
wisdom,1
witness,7
wmr,1
wms,1
woodpile,1
word,3
work,1
world,8
write,5
wsl,1
wurtzite,1
xanadu,2
xknls,2
xnyi,1
year,6
yield,3
yig,2
yoc,1
yquantum,1
ytterbium,2
yttrium,4
zak,1
zalm,1
zeeman,3
zehnder,11
zeilinger,19
zener,1
zeno,1
zero,1
zfs,1
zncdse,1
zne,1
znmgse,1
znse,2
zoller,2
