,spin,gate,entanglement,cavity,photon,state,phase,scheme,frequency,measurement,atom,polarization,quantum dot,circuit,silicon,channel,information,device,waveguide,protocol,chip,interaction,mode,control,quantum state,fidelity,microwave,couple,generation,source,resonator,quantum network,interface,crystal,ion,field,level,process,memory,loss,environment,distribution,rate,emitter,detection,computation,technology
atom,0.10466885439780776,0.2842253091799842,0.21050809392456837,0.3832281891733077,0.34343276929919964,0.3026154965396684,0.25930372530182266,0.21108192915032145,0.21585231477651132,0.1464268531643557,1.0,0.15828496230431857,0.12021658495512916,0.14429060534161728,0.0,0.16757831697804315,0.27861807612754325,0.13325932093055393,0.04189457924451079,0.14991673604687314,0.04343722427630694,0.3014639334060612,0.17037481092399637,0.13878402750067523,0.16907916618206112,0.2563137711111046,0.14569287935358963,0.27782541996623855,0.07408677865766361,0.14176897172994185,0.18574538408502883,0.13464028341974354,0.2171861213815347,0.09157370929912602,0.1260506983326509,0.3014639334060612,0.3654521978535897,0.18907604749897633,0.1884571389726182,0.09157370929912602,0.0793051585718144,0.08913130356431728,0.08478078067985947,0.08411582311380665,0.09564561997176209,0.13736056394868904,0.19839958234472377
polarization,0.09756420007311559,0.25231697296537736,0.2575378870626079,0.07441992482162527,0.4066407362462329,0.3184714694190249,0.0863224468409811,0.19675422728112424,0.09145491423778285,0.21838043617304564,0.15828496230431857,1.0,0.1307326888198017,0.25218098967715746,0.05339506999380768,0.27335617595459594,0.346274924279844,0.23290128526670134,0.21477985253575393,0.21737453291558792,0.14171085778131032,0.06611796049072863,0.22233428588149942,0.11088319064318593,0.26792425767179356,0.3372929610533559,0.0,0.01726448936819622,0.1726448936819622,0.18878008037275879,0.0,0.16135874369200778,0.14171085778131032,0.10669739994407998,0.08812102431690699,0.08264745061341078,0.10757249579467186,0.22030256079226748,0.24153958130008235,0.14937635992171197,0.024640709031819093,0.24924389543835837,0.19756519492339988,0.026135418674465834,0.06686507980379898,0.25607375986579195,0.1849327257632488
quantum dot,0.4075471937925149,0.15809755146026733,0.2235413167203891,0.2713033733922803,0.38440906512469725,0.3317175539045989,0.15734745152973198,0.22415067990236417,0.12502713556962392,0.21768964474989302,0.12021658495512916,0.1307326888198017,1.0,0.19153011712702292,0.060829906467247355,0.08897681066002582,0.22190115272469207,0.17688728441930626,0.26693043198007743,0.19457601286123688,0.11531640100361062,0.282466341433016,0.1628309295566865,0.14737658618664082,0.12568317499614473,0.14409686565151983,0.10314212462587934,0.29502647161824747,0.196684314412165,0.21506619680967012,0.14793410181646138,0.16340147404113337,0.23063280200722125,0.1701758234142103,0.033463724070512735,0.2071419837175451,0.12255110553085002,0.1003911722115382,0.075046918991139,0.2187974872468418,0.056143461404434596,0.07098727864204515,0.09002982732126874,0.32752023379647754,0.17774285064165896,0.09724332766526303,0.2681421639778321
circuit,0.10005560189476051,0.3622642035823962,0.16349937865516914,0.24422500434906544,0.37266039177199156,0.2799462554779271,0.2124642695389533,0.10088927404313383,0.11254837102261933,0.18196506606065266,0.14429060534161728,0.25218098967715746,0.19153011712702292,1.0,0.16427570345801806,0.08009617314632733,0.17755870464739013,0.27069514600185485,0.40048086573163666,0.14330919494215844,0.2698978095246549,0.2542738138578039,0.2931580538930053,0.20847696198419843,0.09697622757528539,0.2306040549557345,0.3017549245377093,0.2124642695389533,0.159348202154215,0.15488061853247326,0.22194838080923765,0.11031946970293832,0.08304547985373997,0.13130643285972254,0.0301237616564389,0.23732222626728364,0.20225236112205358,0.16568068911041395,0.04503773491110449,0.15319083833634298,0.025269934785963448,0.10650358071057625,0.12156613477096616,0.1608168802256692,0.09143006417649889,0.21884405476620425,0.25862068965517243
silicon,0.21185085653295044,0.14381874996279562,0.07988823465254118,0.14543584966911588,0.2536217703241787,0.22227711223719354,0.08434823356733,0.11443715178079349,0.11915109374689986,0.1333662673423161,0.0,0.05339506999380768,0.060829906467247355,0.16427570345801806,1.0,0.0,0.1586041597913043,0.2781469555832955,0.09539445011233401,0.1264304343560434,0.3296902366978935,0.08075728530872482,0.10345212002237435,0.2106752429000961,0.12833175058483634,0.06866229106847609,0.2211629342323457,0.11246431142310666,0.11246431142310666,0.215206411665471,0.2114722130550724,0.14598929061844595,0.0659380473395787,0.06950480468569159,0.0,0.18843366572035794,0.11679143249475675,0.14350946197048195,0.07151985398521515,0.034752402342845795,0.08025723539051281,0.10147651372376075,0.12869789041755736,0.08512565307587486,0.036297700432031385,0.06950480468569159,0.2464135551870271
channel,0.0774693511983531,0.18031356747229446,0.3213477060710735,0.10636559227784126,0.30914695237867174,0.2167520295874517,0.12337741817289975,0.21760560538657328,0.08714204019005982,0.24384603328588317,0.16757831697804315,0.27335617595459594,0.08897681066002582,0.08009617314632733,0.0,1.0,0.27065811266889517,0.1849316803638273,0.09302325581395349,0.24041118447297546,0.07233642332556182,0.15749984619163154,0.2269814363572603,0.04402254531628119,0.18771276394456946,0.23434449810861738,0.053916386601719206,0.10281451514408313,0.22619193331698287,0.11242343760332196,0.02577696311132335,0.19218663979154194,0.19289712886816485,0.0,0.06997114285413196,0.039374961547907886,0.12812442652769462,0.1749278571353299,0.2092263123863766,0.30499714066520933,0.11739345417674985,0.24738534799764672,0.1411862416005035,0.0,0.13273296830047474,0.05083285677753489,0.10012021643290916
information,0.289803683750237,0.3997225112395826,0.331899493700641,0.24561796621620602,0.5482582276160823,0.5165374786121205,0.23931721056523972,0.38962447165913827,0.32598806968099925,0.32433748657040123,0.27861807612754325,0.346274924279844,0.22190115272469207,0.17755870464739013,0.1586041597913043,0.27065811266889517,1.0,0.31771902390518025,0.28354659422455686,0.33821702544744997,0.21380899352993948,0.24003967925959163,0.2935197542821371,0.25617376914899,0.3849158000916215,0.4174547910633624,0.1494035761667992,0.22792115291927592,0.2507132682112035,0.2616835127965941,0.17142857142857143,0.2840286409986905,0.18708286933869706,0.2394603721730797,0.15511334686589626,0.3055050463303894,0.3195322211235268,0.659231724180059,0.2608969660436018,0.2253744679276044,0.19518001458970663,0.2879144609812179,0.20865621238292043,0.13801311186847084,0.22068370737618737,0.1690308509457033,0.3218251521733946
device,0.23101541386263655,0.29872181543271953,0.2090762970861068,0.12687387174778522,0.3605588523471712,0.3274888703301788,0.14716573653773893,0.17304133212112568,0.17323973216880928,0.3102526139970115,0.13325932093055393,0.23290128526670134,0.17688728441930626,0.27069514600185485,0.2781469555832955,0.1849316803638273,0.31771902390518025,1.0,0.20342484840021,0.29411764705882354,0.30678599553894814,0.2035228946026736,0.2105798931586654,0.26255251575525185,0.23883257361061286,0.252906562330876,0.19293590828532242,0.13081398803354571,0.2452762275628982,0.26819945244455684,0.22547801696496664,0.1698089027028311,0.0958706236059213,0.16169041669088866,0.027820744203732862,0.2035228946026736,0.23773246378396357,0.25038669783359574,0.10398629135096288,0.18190171877724975,0.0700140042014005,0.19672236884115843,0.14969623771302396,0.09901475429766744,0.10555008273018728,0.20211302086361083,0.23884865823693074
waveguide,0.13557136459711794,0.22539195934036807,0.10224699738625065,0.14182078970378834,0.3297567492039165,0.2709400369843146,0.12337741817289975,0.1339111417763528,0.10892755023757476,0.09753841331435327,0.04189457924451079,0.21477985253575393,0.26693043198007743,0.40048086573163666,0.09539445011233401,0.09302325581395349,0.28354659422455686,0.20342484840021,1.0,0.12945217625467909,0.33756997551928847,0.23624976928744731,0.20806631666082195,0.19810145392326536,0.11262765836674167,0.167388927220441,0.10783277320343841,0.22619193331698287,0.12337741817289975,0.15739281264465074,0.2062157048905868,0.12812442652769462,0.12056070554260304,0.228747855498907,0.06997114285413196,0.2559372500614013,0.10677035543974552,0.19242064284886287,0.07845986714489123,0.228747855498907,0.17609018126512477,0.12369267399882336,0.11765520133375292,0.3424150435005797,0.10618637464037979,0.17791499872137212,0.22026447615240016
protocol,0.15401027590842437,0.21507970711155805,0.3368451453053943,0.21145645291297535,0.39333692983327767,0.39643389566284803,0.21257273055451179,0.252906562330876,0.1385917857350474,0.2585438449975096,0.14991673604687314,0.21737453291558792,0.19457601286123688,0.14330919494215844,0.1264304343560434,0.24041118447297546,0.33821702544744997,0.29411764705882354,0.12945217625467909,1.0,0.11504474832710555,0.06262242910851495,0.18049705127885604,0.14002800840280097,0.3881029321172459,0.27952830573412607,0.12862393885688161,0.1144622395293525,0.29433147307547786,0.25031948894825307,0.18448201388042726,0.22075157351368044,0.05752237416355278,0.08084520834544433,0.027820744203732862,0.15655607277128739,0.152828012432548,0.15301409312053074,0.1663780661615406,0.20211302086361083,0.140028008402801,0.3147557901458535,0.16840826742715195,0.14852213144650114,0.16888013236829963,0.20211302086361083,0.28661838988431687
chip,0.16064386578049977,0.23369135731865842,0.19687932316499937,0.18380365552345193,0.35258342061581777,0.26967994498529685,0.12792042981336624,0.03471050672503116,0.18070158058105026,0.15169496905422947,0.04343722427630694,0.14171085778131032,0.11531640100361062,0.2698978095246549,0.3296902366978935,0.07233642332556182,0.21380899352993948,0.30678599553894814,0.33756997551928847,0.11504474832710555,1.0,0.18371173070873836,0.19611613513818404,0.22821773229381923,0.19462473604038075,0.15619728026264024,0.16770509831248423,0.10660035817780521,0.2771609312622935,0.2564388222660863,0.18708286933869706,0.19926334924652145,0.2,0.15811388300841897,0.14509525002200233,0.2041241452319315,0.15498260496951669,0.1995059687802532,0.1355815361366601,0.18446619684315546,0.12171612389003691,0.07694837640638656,0.19518001458970666,0.22592402852876597,0.13762047064079508,0.15811388300841897,0.20761369963434992
interaction,0.31151727199737766,0.22896983309165297,0.24730968341474896,0.3151576182235237,0.3663967458131496,0.36698792170878686,0.19148542155126763,0.21255757547442589,0.12909944487358058,0.1789066118330336,0.3014639334060612,0.06611796049072863,0.282466341433016,0.2542738138578039,0.08075728530872482,0.15749984619163154,0.24003967925959163,0.2035228946026736,0.23624976928744731,0.06262242910851495,0.18371173070873836,1.0,0.2401922307076307,0.20497289793748072,0.09534625892455922,0.22672808050605428,0.22821773229381923,0.33074754631582587,0.06963106238227913,0.11420804814403214,0.24003967925959163,0.14462030521243746,0.2041241452319315,0.21516574145596762,0.23693955110363693,0.25,0.1988529196671015,0.22213082915965962,0.08856148855400953,0.12909944487358058,0.07453559924999299,0.12565617248750865,0.13944333775567927,0.2898754521821014,0.11236664374387369,0.06454972243679029,0.1356127007241621
mode,0.14177184340737956,0.23220860545016045,0.2613682039539406,0.2739561553460244,0.4190745319089388,0.38784964925515975,0.16724840200141816,0.2586770362488402,0.23035022137995856,0.13222147133698628,0.17037481092399637,0.22233428588149942,0.1628309295566865,0.2931580538930053,0.10345212002237435,0.2269814363572603,0.2935197542821371,0.2105798931586654,0.20806631666082195,0.18049705127885604,0.19611613513818404,0.2401922307076307,1.0,0.10741723110591493,0.18321144496573777,0.20421871282803172,0.17541160386140586,0.2508726030021272,0.28432228340241084,0.23774301068682288,0.18869127060994528,0.1736833685729687,0.15689290811054724,0.268741924943285,0.11382207864489444,0.14411533842457844,0.1910517054302656,0.21341639745917707,0.0850871259623034,0.16537964611894462,0.07161148740394328,0.20121090914638343,0.24880667576405963,0.17722938923964168,0.08636670341750609,0.08268982305947231,0.13029246839689126
control,0.2932942300427066,0.2986620650940015,0.09677522113163294,0.2516835207052591,0.2926028679903264,0.34875922444144275,0.19462473604038075,0.20596038142045534,0.18557687223952257,0.20002367284141567,0.13878402750067523,0.11088319064318593,0.14737658618664082,0.20847696198419843,0.2106752429000961,0.04402254531628119,0.25617376914899,0.26255251575525185,0.19810145392326536,0.14002800840280097,0.22821773229381923,0.20497289793748072,0.10741723110591493,1.0,0.1421338109037403,0.14258795636800753,0.28067069969390585,0.13623731522826651,0.1556997888323046,0.10640706634484358,0.14638501094227999,0.14147911460452758,0.06846531968814576,0.2646188733785785,0.033113308926626096,0.2422406975624772,0.2627469271226941,0.19867985355975656,0.09901475429766744,0.09622504486493763,0.19444444444444445,0.0936585811581694,0.15590239111558088,0.20623947784607638,0.050251890762960605,0.14433756729740643,0.2653343152526162
quantum state,0.2344895248052709,0.19405703992773202,0.22401050453942759,0.14309095175803563,0.3576633420959306,0.4111433735138244,0.14937887931959076,0.17564360343886334,0.14067598969066597,0.3149183286488868,0.16907916618206112,0.26792425767179356,0.12568317499614473,0.09697622757528539,0.12833175058483634,0.18771276394456946,0.3849158000916215,0.23883257361061286,0.11262765836674167,0.3881029321172459,0.19462473604038075,0.09534625892455922,0.18321144496573777,0.1421338109037403,1.0,0.28373197478585616,0.19583736295016008,0.09958591954639383,0.24896479886598458,0.21778620259218834,0.1664500757152958,0.17236256333167305,0.11677484162422844,0.10257624248277727,0.08471737420873575,0.17480147469502524,0.22407133233117496,0.21179343552183938,0.12666009927622474,0.16412198797244362,0.07106690545187014,0.13977653617040256,0.17094086468945693,0.050251890762960605,0.1928473039599675,0.14360673947588817,0.2586032735340944
fidelity,0.19516104942281642,0.38935418062996585,0.3259187895275187,0.26795655688754777,0.4821167863680541,0.4290333457674999,0.1924079273699148,0.3614457831325301,0.2195285199793807,0.2340181886004545,0.2563137711111046,0.3372929610533559,0.14409686565151983,0.2306040549557345,0.06866229106847609,0.23434449810861738,0.4174547910633624,0.252906562330876,0.167388927220441,0.27952830573412607,0.15619728026264024,0.22672808050605428,0.20421871282803172,0.14258795636800753,0.28373197478585616,1.0,0.15523010514126656,0.14800609797685754,0.1924079273699148,0.2103901437140705,0.16698191642534496,0.29203134368310824,0.15619728026264024,0.14635234665292046,0.22663483432464557,0.08502303018977035,0.1998109193621267,0.3021797790995274,0.35766389046148134,0.2195285199793807,0.06337242505244779,0.24928559942851694,0.16936993022519234,0.08962214298964417,0.1337525356070196,0.1646463899845355,0.17295304121680086
microwave,0.26940795304016235,0.17418325357290443,0.08466068268482455,0.3082481011975449,0.2389092412837483,0.2763853991962833,0.19069251784911848,0.17463386828392488,0.1767766952966369,0.09422229518055113,0.14569287935358963,0.0,0.10314212462587934,0.3017549245377093,0.2211629342323457,0.053916386601719206,0.1494035761667992,0.19293590828532242,0.10783277320343841,0.12862393885688161,0.16770509831248423,0.22821773229381923,0.17541160386140586,0.28067069969390585,0.19583736295016008,0.15523010514126656,1.0,0.2622022120425379,0.04767312946227962,0.07819290527140305,0.26892643710023856,0.1237684428720843,0.22360679774997896,0.1473139127471974,0.08111071056538127,0.3195048252113469,0.2475368857441686,0.16222142113076254,0.12126781251816648,0.08838834764831845,0.06804138174397717,0.057353933467640436,0.1091089451179962,0.07216878364870323,0.03077287274483318,0.08838834764831845,0.20890725544918337
couple,0.27399509810029665,0.18600648186942417,0.18081457793273792,0.3761958818532461,0.3280190742563078,0.30664510644057014,0.16363636363636364,0.14800609797685754,0.1733656789191194,0.04312196809320517,0.27782541996623855,0.01726448936819622,0.29502647161824747,0.2124642695389533,0.11246431142310666,0.10281451514408313,0.22792115291927592,0.13081398803354571,0.22619193331698287,0.1144622395293525,0.10660035817780521,0.33074754631582587,0.2508726030021272,0.13623731522826651,0.09958591954639383,0.14800609797685754,0.2622022120425379,1.0,0.07272727272727272,0.03976213862437721,0.2735053835031311,0.16993235521110622,0.3198010745334156,0.2472066162365221,0.09280323373346189,0.3133397807202561,0.1510509824098722,0.13920485060019283,0.1618740515220081,0.06741998624632421,0.1816497536376887,0.06562179588897107,0.20806259464411975,0.24771684715343115,0.07041787902195303,0.06741998624632421,0.17705355794912775
generation,0.18837162994395396,0.22586501369858647,0.37454448286067143,0.07837414205275961,0.4009122018688206,0.3737237234744448,0.2,0.31081280575140086,0.19262853213235487,0.15811388300841897,0.07408677865766361,0.1726448936819622,0.196684314412165,0.159348202154215,0.11246431142310666,0.22619193331698287,0.2507132682112035,0.2452762275628982,0.12337741817289975,0.29433147307547786,0.2771609312622935,0.06963106238227913,0.28432228340241084,0.1556997888323046,0.24896479886598458,0.1924079273699148,0.04767312946227962,0.07272727272727272,1.0,0.25845390105845184,0.15954480704349314,0.1510509824098722,0.08528028654224416,0.11236664374387369,0.1546720562224365,0.17407765595569785,0.1510509824098722,0.24747528995589838,0.1387491870188641,0.22473328748774737,0.0,0.19686538766691322,0.2496751135729437,0.08257228238447704,0.1877810107252081,0.15731330124142315,0.2124642695389533
source,0.09362573578414227,0.13075098860631254,0.22595804983933598,0.15425801329298872,0.418454571856449,0.3457820374040623,0.059643207936565815,0.1780224292965212,0.2527576391226808,0.220043114711676,0.14176897172994185,0.18878008037275879,0.21506619680967012,0.15488061853247326,0.215206411665471,0.11242343760332196,0.2616835127965941,0.26819945244455684,0.15739281264465074,0.25031948894825307,0.2564388222660863,0.11420804814403214,0.23774301068682288,0.10640706634484358,0.21778620259218834,0.2103901437140705,0.07819290527140305,0.03976213862437721,0.25845390105845184,1.0,0.14953343588376805,0.1238760208523001,0.09325048082403138,0.14744195615489714,0.13530201829834768,0.17131207221604822,0.10323001737691674,0.15221477058564115,0.1264304343560434,0.24573659359149524,0.0,0.2631006802792169,0.22750787759664504,0.1504823163572115,0.2309971510527054,0.07372097807744857,0.2516810051152691
resonator,0.19320245583349133,0.16655104634982607,0.14571197284418386,0.2554426848648543,0.25128502099070443,0.24024999005214906,0.13675269175156554,0.2226425552337933,0.2897671730497771,0.07207499701564471,0.18574538408502883,0.0,0.14793410181646138,0.22194838080923765,0.2114722130550724,0.02577696311132335,0.17142857142857143,0.22547801696496664,0.2062157048905868,0.18448201388042726,0.18708286933869706,0.24003967925959163,0.18869127060994528,0.14638501094227999,0.1664500757152958,0.16698191642534496,0.26892643710023856,0.2735053835031311,0.15954480704349314,0.14953343588376805,1.0,0.14201432049934526,0.16035674514745463,0.14085904245475275,0.15511334686589626,0.3273268353539886,0.14201432049934526,0.13572417850765922,0.08696565534786727,0.0563436169819011,0.03253000243161777,0.08226127456606226,0.13041013273932528,0.20701966780270628,0.029424494316824982,0.1126872339638022,0.1997535427283139
quantum network,0.3734550718655288,0.30354213217309406,0.28165726494227916,0.19533510401790358,0.3784886372024397,0.3084920742470416,0.03776274560246805,0.1998109193621267,0.1600320096032011,0.11941628680530643,0.13464028341974354,0.16135874369200778,0.16340147404113337,0.11031946970293832,0.14598929061844595,0.19218663979154194,0.2840286409986905,0.1698089027028311,0.12812442652769462,0.22075157351368044,0.19926334924652145,0.14462030521243746,0.1736833685729687,0.14147911460452758,0.17236256333167305,0.29203134368310824,0.1237684428720843,0.16993235521110622,0.1510509824098722,0.1238760208523001,0.14201432049934526,1.0,0.33210558207753577,0.18670401120373464,0.19274776986097067,0.10846522890932808,0.09803921568627451,0.17668545570588978,0.3362044744996519,0.16336600980326782,0.053896805563629545,0.2044398826909146,0.19446111706564934,0.1143323900950059,0.14625448482542613,0.21004201260420147,0.14709262627058442
