DOI,institution
10.1103/PRXQuantum.4.030340,"Hong Kong Polytech Univ,Nanyang Technol Univ,Univ Copenhagen,Univ Bristol,Tongji Univ,ASTAR,Adv Micro Foundry,Natl Univ Singapore"
10.1021/acs.nanolett.2c04049,"Tohoku Univ,Natl Inst Technol KOSEN,Josai Univ,Nankai Univ"
10.1103/PhysRevA.82.023409,"Univ Toulouse 3,Sohag Univ,Univ Bahrain,Visva Bharati"
10.1088/1367-2630/ab8046,"Georgia Tech Res Inst,Oak Ridge Natl Lab"
10.1063/5.0088840,"Osaka Univ,Kyushu Univ"
10.1038/s41534-021-00377-3,"Seoul Natl Univ,Delft Univ Technol,UCL"
10.1038/s41586-021-03290-z,"Max Planck Inst Quantum Opt,Barcelona Inst Sci & Technol"
10.22331/q-2022-01-27-634,"IonQ,Univ Maryland"
10.1038/s41534-024-00840-x,"Fermi Natl Accelerator Lab FNAL,IIT,Rigetti Comp,US DOE,NIST,Univ Colorado,Northwestern Univ,Louisiana State Univ"
10.1103/PhysRevA.92.012320,"Univ Georgia,Univ Calif Santa Barbara,Google Inc"
10.1088/1361-6455/aa60df,Univ Fed Sao Carlos
10.1103/PRXQuantum.3.030329,Univ Copenhagen
10.1103/PhysRevApplied.14.024070,Tsinghua Univ
10.1103/PhysRevLett.123.107704,"Univ Grenoble Alpes,Yale Univ,Forschungszentrum Julich"
10.1038/s41565-019-0443-9,"Univ Grenoble Alpes,CEA"
10.1103/PhysRevA.87.022309,"Univ Georgia,Univ Calif Riverside,Univ Calif Santa Barbara"
10.1103/PhysRevB.97.180505,"KIT,Natl Univ Sci & Technol MISIS"
10.1103/PhysRevLett.129.177701,"Univ Calif Berkeley,CNR,Harvard Univ,Lawrence Berkeley Natl Lab"
10.1016/j.scib.2018.11.010,"Tsinghua Univ,Univ Sci & Technol China"
10.1088/1367-2630/ab9982,Univ Calif Los Angeles
10.1103/PhysRevA.98.012331,"Shanxi Univ,Univ Calif,Nanjing Univ,South China Normal Univ,Univ Sci & Technol China"
10.1103/PhysRevA.89.013841,"Univ Calif Riverside,McGill Univ"
10.1103/PhysRevB.105.094422,Xi An Jiao Tong Univ
10.1016/j.ssc.2017.11.013,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1103/PhysRevA.104.022601,"Shanxi Univ,Shandong Normal Univ"
10.1103/PhysRevB.101.054511,"Leibniz Inst Photon Technol,Novosibirsk State Tech Univ"
10.1103/PhysRevLett.126.017701,"Univ Rochester,Purdue Univ,Univ Buffalo"
10.1088/0957-4484/27/36/364003,"Syracuse Univ,Univ Sao Paulo,Univ Estadual Campinas,Univ Southampton"
10.1038/s41534-021-00380-8,Univ Calif Berkeley
10.1021/acs.jpca.2c04730,"Univ Chicago,Argonne Natl Lab"
10.1063/5.0145077,"Natl Inst Stand & Technol,Univ Colorado"
10.1007/s11128-015-1088-8,Urmia Univ
10.1103/PhysRevLett.108.187401,"Univ Michigan,USN,Univ Calif San Diego"
10.1103/PhysRevApplied.15.044042,"Univ Sci & Technol China,Chinese Acad Sci,Southern Univ Sci & Technol,SUNY Buffalo,Univ Calif Los Angeles,Origin Quantum Comp Co Ltd"
10.1007/s00723-016-0857-6,"Univ Manchester,Univ Illinois"
10.1063/5.0039521,"Teikyo Univ,RIKEN"
10.1088/1674-1056/28/6/060201,Tsinghua Univ
10.1103/PhysRevA.95.053833,"Hamad Bin Khalifa Univ,Natl Inst Informat & Commun Technol"
10.1088/1367-2630/acb379,NTT Corp
10.1016/j.cryogenics.2020.103117,"Univ Coll Dublin,Lodz Univ Technol,Quantum Hardware Syst,Cardinal Wyszynski Univ"
10.1063/1.5144722,"NTT Corp,Natl Univ Singapore,Natl Inst Adv Ind Sci & Technol"
10.1103/PhysRevB.95.144402,"City Univ New York,Univ Calif Los Angeles,Google Inc"
10.1103/PhysRevX.13.041052,"Quantinuum,Honeywell Aerosp"
10.1103/PhysRevApplied.15.064050,"Univ Oxford,Univ Basel,Univ Lancaster,IBM Res Zurich"
10.1109/TASC.2016.2629670,IBM TJ Watson Res Ctr
10.1063/1.4979652,Nanjing Univ
10.1103/PhysRevLett.110.167402,"Univ Stuttgart,Hungarian Acad Sci,Budapest Univ Technol & Econ,Univ Ulm,Max Planck Inst Solid State Res"
10.1088/1674-1056/26/6/060308,"Chinese Acad Sci,Univ Chinese Acad Sci CAS,Nanjing Univ,Univ Sci & Technol China,Collaborat Innovat Ctr Quantum Matter"
10.1103/PhysRevX.11.041043,CALTECH
10.1038/s42005-024-01733-3,"Aalto Univ,VTT Tech Res Ctr Finland Ltd"
10.1063/1.4712595,Shandong Univ
10.1063/5.0234579,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1063/1.5140884,Zhejiang Univ
10.1103/PRXQuantum.2.010339,"Princeton Univ,Univ Sherbrooke,Northwestern Univ,Univ Chicago,Canadian Inst Adv Res"
10.1088/2053-1583/aac17f,Univ Konstanz
10.1103/PhysRevB.82.165320,Harvard Smithsonian Ctr Astrophys
10.1103/PhysRevA.100.022343,"Austrian Acad Sci,Univ Innsbruck,Max Planck Inst Quantum Opt,Harvard Univ"
10.1038/s41467-019-13534-2,"IonQ Inc,Univ Maryland,Duke Univ"
10.1038/NNANO.2014.211,"Univ New S Wales,Keio Univ,Univ Melbourne"
10.1103/PhysRevB.86.125204,Univ Konstanz
10.1088/1555-6611/acd4ae,Casablanca Hassan II Univ
10.1103/PhysRevB.102.094502,"NTT Corp,Tokyo Univ Sci,Natl Inst Adv Ind Sci & Technol"
10.1103/PhysRevApplied.16.064062,"Univ Sherbrooke,Canadian Inst Adv Res"
10.1007/s10948-013-2191-7,"King Fahd Univ Petr & Minerals,RIKEN"
10.21468/SciPostPhys.17.1.004,"Univ Firenze,MIT,Abdus Salam Int Ctr Theoret Phys,INFN,SISSA,Univ Trieste,Consiglio Nazl Ric CNR INO"
10.1016/j.chaos.2017.03.029,"Abdus Salam Int Ctr Theoret Phys,Al Imam Mohammad Ibn Saud Islamic Univ IMSIU"
10.1103/PhysRevB.110.045419,"Univ Autonoma Madrid,TU Wien,Austrian Acad Sci,Nord Quant,Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Bayer Akad Wissensch,Tech Univ Munich,Munich Ctr Quantum Sci & Technol MCQST"
10.1002/qute.202300316,"Univ New South Wales,Univ Melbourne,Diraq,Keio Univ"
10.1002/andp.201900036,"Dalian Nationalities Univ,Dalian Univ Technol,Qufu Normal Univ,Shangrao Normal Univ,Hangzhou Normal Univ"
10.1021/acsnano.1c01255,Harvard Univ
10.1126/sciadv.ado9094,"MIT,AWS Ctr Quantum Comp"
10.1103/PhysRevB.85.024537,"RIKEN,Tsinghua Univ,NEC Green Innovat Res Labs"
10.1103/PhysRevB.82.024514,"Univ Geneva,Univ Munich,Univ Calif Santa Barbara,Univ Erlangen Nurnberg,Univ Pais Vasco Euskal Herriko Unibertsitatea,Basque Fdn Sci"
10.1103/PhysRevB.105.075303,Norwegian Univ Sci & Technol
10.1038/s41534-022-00576-6,Univ Wisconsin
10.1038/s41467-019-09194-x,"Univ Copenhagen,Univ Sydney,Purdue Univ"
10.1103/PhysRevA.90.042303,"Tatarstan Acad Sci,Kazan Natl Res Tech Univ,Russian Acad Sci"
10.1103/PhysRevA.87.033827,"Chongqing Univ,Zhejiang Univ,Zhejiang Normal Univ,Nanyang Technol Univ"
10.1021/acs.nanolett.4c05539,Univ Grenoble Alpes
10.1007/s11433-022-1972-1,"Chinese Acad Sci,Univ Chinese Acad Sci,Beijing Acad Quantum Informat Sci,Fudan Univ,Songshan Lake Mat Lab"
10.1038/s41467-024-49467-8,"Swiss Fed Inst Technol Lausanne EPFL,Ctr Quantum Sci & Engn EPFL,Purdue Univ"
10.1103/PhysRevB.86.045456,Natl Tsing Hua Univ
10.1038/s41467-017-02046-6,"Univ Chicago,IBM TJ Watson Res Yorktown Hts"
10.1103/PRXQuantum.5.020338,IBM TJ Watson Res Ctr
10.1063/1.4875909,"RIKEN,Purdue Univ,Univ Tokyo"
10.1007/s11128-015-1073-2,Korea Inst Adv Study
10.1021/acs.nanolett.3c04301,"MIT,Sandia Natl Labs,MITRE Corp,US Army,Mitre Corp,Univ Arizona"
10.1103/PhysRevApplied.16.024063,"Univ Sci & Technol China,Origin Quantum Comp Co Ltd"
10.1038/s41534-021-00511-1,"Univ Chicago,Argonne Natl Lab,Univ Calif Santa Barbara,Univ Grenoble Alpes,Google,Amazon AWS,Univ Lyon"
10.1088/1748-0221/19/09/P09001,"Pacific Northwest Natl Lab,MIT,MIT Lincoln Lab"
10.1103/PhysRevA.91.043846,Swiss Fed Inst Technol
10.1007/s11128-015-0973-5,Fuzhou Univ
10.1209/0295-5075/130/17003,"Renmin Univ China,Univ Chinese Acad Sci,Univ Sci & Technol China"
10.1134/S0021364012240149,Dalian Univ Technol
10.1103/PhysRevApplied.15.064063,Rigetti Comp
10.1088/1367-2630/14/7/073041,"RIKEN,Univ Michigan,Ludong Univ,Tsinghua Univ"
10.1103/PhysRevA.106.042430,"Fuzhou Univ,Hubei Univ Arts & Sci,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp RQC,Harbin Inst Technol"
10.1103/PhysRevApplied.15.034065,"Northwestern Univ,Princeton Univ,Univ Chicago"
10.1103/PhysRevB.100.165305,"Univ Rochester,HRL Labs LLC"
10.1103/PhysRevA.101.012336,"Michigan State Univ,Washington Univ,Southern Univ Sci & Technol"
10.1103/PhysRevLett.121.123604,"RIKEN,Univ Autonoma Madrid,Univ Michigan"
10.1038/s41928-023-01033-8,"IMEC,Katholieke Univ Leuven,Taiwan Semicond Mfg Co"
10.1103/PhysRevA.86.012318,Xi An Jiao Tong Univ
10.1103/PhysRevA.100.062307,"Univ Complutense,Univ Oxford,Swansea Univ,Univ Costa Rica"
10.1103/PhysRevLett.116.010501,"SUNY Stony Brook,Zhejiang Univ,Univ Kansas"
10.1038/srep09274,Beijing Normal Univ
10.1088/1612-2011/11/12/125202,Yanbian Univ
10.1016/j.aop.2015.09.005,Hangzhou Dianzi Univ
10.1038/s41586-020-3038-6,"CALTECH,AWS Ctr Quantum Comp"
10.3938/jkps.60.72,"Korea Adv Inst Sci & Technol,Yonsei Univ"
10.1038/s41467-021-21098-3,"MIT,Southern Univ Sci & Technol,Univ Copenhagen"
10.1088/0953-8984/23/22/225702,"Hangzhou Normal Univ,E China Normal Univ"
10.1103/PhysRevB.91.094517,"RIKEN,Univ Tokyo"
10.1103/PhysRevA.97.053813,"Natl Univ Singapore,Nanyang Technol Univ"
10.1103/PhysRevX.12.031017,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Chapman Univ,Univ Southern Calif,MIT"
10.1007/s11128-016-1368-y,"Univ Sussex,Comenius Univ,Leibniz Inst Photon Technol,Russian Quantum Ctr"
10.1016/j.physleta.2017.01.052,"Chungbuk Natl Univ,Korea Inst Sci & Technol,Natl Secur Res Inst"
10.1088/0953-4075/48/7/075101,Univ Siegen
10.1021/acs.nanolett.1c04160,"Columbia Univ,Raytheon BBN Technol Quantum Engn & Comp Grp,Natl Inst Mat Sci"
10.1103/PhysRevA.102.042614,Johannes Gutenberg Univ Mainz
10.1103/PhysRevB.91.104516,"Comenius Univ,Slovak Acad Sci,Leibniz Inst Photon Technol,Novosibirsk State Tech Univ"
10.1021/jacs.6b05574,"Univ Firenze,Univ Torino"
10.1063/5.0103597,"Univ Basel,Swiss Fed Inst Technol"
10.1103/PhysRevA.98.042704,"Rzhanov Inst Semicond Phys SB RAS,Novosibirsk State Univ,Novosibirsk State Technincal Univ,Univ Paris Saclay,Univ Wisconsin"
10.1103/PhysRevLett.110.150502,"Univ Calif Santa Barbara,Zhejiang Univ"
10.1088/2058-9565/abf718,"IonQ Inc,Univ Maryland"
10.1038/s41534-023-00751-3,"Toshiba Europe Ltd,Univ Cambridge"
10.1364/OPTICA.394138,Stanford Univ
10.1016/j.physleta.2015.10.014,S China Normal Univ
10.1103/PhysRevB.100.024509,"Forschungszentrum Julich,JARA"
10.1103/PhysRevLett.130.221003,Univ Washington
10.1364/OE.20.006915,Korea Res Inst Stand & Sci
10.1021/acs.nanolett.3c03349,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevA.108.033703,Indian Inst Sci
10.1038/nature17404,MIT
10.1038/s42005-024-01610-z,Univ Pavia
10.1063/1.4774299,Univ Oxford
10.1063/5.0039822,Natl Inst Adv Ind Sci & Technol
10.1007/s11128-016-1499-1,Zhejiang Sci Tech Univ
10.1364/OE.514909,"Univ Sci & Technol China,QuantumCTek Co Ltd"
10.1103/PhysRevApplied.19.034089,Univ Alberta
10.1038/srep23646,"Tsinghua Univ,Chinese Acad Sci,Tsinghua Natl Lab Informat Sci & Technol TNList"
10.1103/PhysRevB.96.024504,"Virginia Tech,Princeton Univ,Aberystwyth Univ"
10.1155/2015/120573,Daegu Hlth Coll
10.1103/PhysRevApplied.8.054015,"Univ Waterloo,Univ Politecn Cataluna,BSC"
10.1088/1674-1056/20/5/050316,Nanjing Univ
10.1103/PRXQuantum.1.020316,"Univ Innsbruck,Austrian Acad Sci"
10.1007/s11128-018-2102-8,Xi An Jiao Tong Univ
10.1103/PhysRevB.107.035302,"Forschungszentrum Julich GmbH,Rhein Westfal TH Aachen,Univ Konstanz"
10.1109/JSTQE.2014.2358208,"Univ Maryland,Lab Phys Sci"
10.1016/j.commatsci.2016.12.032,"East China Normal Univ,Chinese Acad Sci"
10.1038/NNANO.2016.114,"Univ Basel,Ruhr Univ Bochum"
10.1016/j.aej.2024.07.050,"Prince Sattam bin Abdulaziz Univ,Jouf Univ,Assiut Univ"
10.1103/PhysRevA.101.042331,Xi An Jiao Tong Univ
10.1063/1.4705287,"Purdue Univ,USN,Univ Duisburg Essen"
10.1103/PhysRevB.91.035305,"Univ Hong Kong,Shenzhen Univ"
10.1088/1674-1056/27/6/068501,"Tsinghua Univ,Univ Kansas"
10.1155/2020/3838106,"Nanjing Vocat Univ Ind Technol,Nanjing Univ Sci & Technol"
10.3390/molecules24244582,"Int Tomog Ctr SB RAS,Novosibirsk State Univ,Russian Acad Sci"
10.1103/PhysRevApplied.14.014047,"MIT,Ctr Atom Bariloche,Inst Balseiro,Inst Nanociencia & Nanotecnol INN"
10.1002/qute.202100002,"Tech Univ Berlin,Ruhr Univ Bochum,Univ Bremen,Tech Univ Munich,Univ Paderborn"
10.1103/PhysRevB.84.220503,Univ Calif Berkeley
10.1103/PhysRevB.94.155407,"AGH Univ Sci & Technol,Univ Basel"
10.1038/s41467-018-06039-x,"Univ New South Wales,Delft Univ Technol,Keio Univ,HRL Labs LLC,UCL"
10.1103/PhysRevB.100.161302,Santa Clara Univ
10.1021/acsnano.3c10740,"Brookhaven Natl Lab,Pacific Northwest Natl Lab"
10.1088/1751-8113/45/20/205304,"Hangzhou Normal Univ,E China Normal Univ"
10.1002/chem.202301771,"Nanjing Univ,Gannan Normal Univ,Chinese Acad Sci"
10.1364/JOSAB.32.001323,Fuzhou Univ
10.1140/epjp/s13360-021-01974-z,COMSATS Univ Islamabad
10.1103/PhysRevLett.114.053603,Yokohama Natl Univ
10.1103/PhysRevApplied.17.034047,"Univ Grenoble Alpes,CEA"
10.1103/PhysRevLett.112.236801,"UNSW Australia,Univ Fed Rio de Janeiro,Univ Wisconsin,Univ Melbourne"
10.1038/nature09418,"Univ Calif Santa Barbara,NEC Corp Ltd"
10.1103/PhysRevApplied.17.064022,"Aalto Univ,RIKEN,Univ Michigan,Moscow Inst Phys & Technol"
10.1103/PhysRevA.87.032327,Nanjing Univ
10.1103/PhysRevA.110.012417,"Budapest Univ Technol & Econ,HUN REN Wigner Res Ctr Phys,HUN REN BME Quantum Dynam & Correlat Res Grp"
10.1557/s43577-021-00139-8,"Sandia Natl Labs,Univ Maryland,Zyvex Labs"
10.1103/PhysRevLett.128.213602,"Harvard Univ,AWS Ctr Quantum Comp,Univ Hamburg,Hamburg Ctr Ultrafast Imaging,Hebrew Univ Jerusalem"
10.1007/s10909-022-02708-w,Indian Inst Sci
10.1103/PhysRevApplied.8.054007,"Univ Wisconsin,Google Inc,Univ Calif Santa Barbara,IBM Corp"
10.1021/acs.nanolett.3c04376,Univ Sci & Technol China
10.1103/PRXQuantum.2.010353,"UCL,Quantum Mot Technol,CEA,Hitachi Cambridge Lab,Univ Grenoble Alpes"
10.1103/PhysRevB.109.155164,"Jozef Stefan Inst,Univ Ljubljana"
10.1103/PhysRevLett.111.107008,"NTT Corp,TU Wien,Osaka Univ,Res Org Informat & Syst"
10.1038/srep37544,"Univ Kansas,Texas A&M Univ,Natl Taiwan Univ"
10.1103/PhysRevLett.113.050402,"NIST,Univ Colorado,Boston Univ"
10.1103/PhysRevLett.129.227002,"MIT,Univ Copenhagen"
10.1364/OE.525337,"RMIT Univ,Univ Padua,Ulm Univ"
10.1103/PhysRevB.107.014403,Univ Maryland
10.22331/q-2021-02-15-397,Virginia Tech
10.1007/s10948-010-0858-x,CNR
10.1364/OL.39.001489,Yanbian Univ
10.1103/PhysRevA.89.062328,NTT Corp
10.1063/5.0226611,"Fermilab Natl Accelerator Lab,Old Dominion Univ,Appl Res Ctr,European Org Nucl Res"
10.1016/j.ijleo.2017.01.011,"Prince Sattam Bin Abdulaziz Univ,Assiut Univ,Al Baha Univ"
10.1364/JOSAB.31.001255,MIT
10.1103/PhysRevA.107.052409,"Univ Complutense,Univ Calif Berkeley,Berkeley Ctr Quantum Informat & Computat,Univ Autonoma Madrid"
10.1103/PhysRevLett.130.180601,"Tech Univ Darmstadt,Fraunhofer Inst Phys Measurement Tech IPM"
10.1103/PRXQuantum.5.040318,"Ecole Polytech Fed Lausanne,Univ Maryland,Univ Wisconsin Madison"
10.1103/PhysRevApplied.19.044067,"Skolkovo Inst Sci & Technol,Moscow Inst Phys & Technol,RIKEN Ctr Quantum Comp RQC,Tokyo Univ Sci,Moscow State Pedag Univ,Russian Quantum Ctr"
10.1038/s41534-020-00357-z,"Aalto Univ,IQM,Loughborough Univ"
10.1103/PhysRevA.81.022305,"Univ Waterloo,Univ Munich,Leiden Univ,Michigan State Univ"
10.1103/PhysRevB.92.161403,"Chinese Acad Sci,Chinese Univ Hong Kong,Univ Sci & Technol China,UCL,Univ Oxford"
10.1103/PhysRevA.87.030301,"IBM TJ Watson Res Ctr,Syracuse Univ"
10.1103/PhysRevApplied.19.054050,"Beijing Acad Quantum Informat Sci,Nanjing Univ Posts & Telecommun"
10.1007/s10773-014-2274-7,Fuzhou Univ
10.1063/1.3700964,Univ Calif Berkeley
10.1038/srep16934,"Univ Loughborough,RIKEN,Moscow Inst Steel & Alloys,Tech Univ Darmstadt,Leibniz Inst Photon Technol,Univ Michigan"
10.1103/PhysRevB.81.144510,"Univ Augsburg,Bayer Akad Wissensch,Tech Univ Munich,CSIC,Univ Pais Vasco Euskal Herriko Unibertsitatea,Basque Fdn Sci"
10.1088/2058-9565/ad6eb2,"Delft Univ Technol,Univ Massachusetts,Q Bird,Univ Innsbruck"
10.1038/s41534-022-00644-x,"Nanonal Univ Sci & Technol MISIS,Russian Quantum Ctr,Moscow Inst Phys & Technol,Dukhov Res Inst Automat VNIIA,Bauman Moscow State Tech Univ,Swiss Fed Inst Technol"
10.1002/adma.202300472,"Univ Parma,INFN,Consorzio Interuniv Nazl Sci & Tecnol Mat INSTM,Univ Florence,Free Univ Berlin,Weizmann Inst Sci,Northwestern Univ"
10.1103/PhysRevB.87.220505,"Syracuse Univ,McGill Univ,Raytheon BBN Technol,Univ Sherbrooke"
10.1103/PhysRevApplied.16.014024,"Peking Univ,Shanxi Univ,TU Wien"
10.1103/PhysRevA.110.012434,Pasqal SAS
10.1038/s41467-018-04372-9,"Univ Claude Bernard Lyon 1,UPMC Univ Paris 06,PSL Res Univ,INRIA Paris"
10.1103/PhysRevApplied.22.044063,"Univ Cologne,Technol Innovat Inst,Forschungszentrum Julich"
10.3390/magnetochemistry9020053,"Univ Tennessee,Univ Illinois,Univ Valencia"
10.1088/1555-6611/ac16e2,MIT
10.1126/science.aaw1611,"Univ Sci & Technol China,Beijing Computat Sci Res Ctr,RIKEN,Chinese Acad Sci,Nanjing Univ,Zhejiang Univ,Univ Michigan,Univ Chinese Acad Sci"
10.1140/epjqt/s40507-024-00278-2,Henan Key Lab Network Cryptog Technol
10.1038/s41598-020-61938-8,"Korea Inst Sci & Technol KIST,Korean Intellectual Property Off,Chungbuk Natl Univ,Korea Univ,Korea Univ Sci & Technol"
10.1103/PhysRevLett.117.210505,IBM TJ Watson Res Ctr
10.1038/s41467-023-42899-8,Natl Univ Singapore
10.1103/PhysRevB.110.024519,"Syracuse Univ,Forschungszentrum Julich,Technol Innovat Inst,Brookhaven Natl Lab,Univ Wisconsin Madison,Kavli Inst Particle Astrophys & Cosmol,SLAC Natl Accelerator Lab"
10.1007/s10909-022-02672-5,"Michigan State Univ,Washington Univ"
10.1103/PhysRevA.83.062302,"Hangzhou Normal Univ,E China Normal Univ"
10.1103/PhysRevApplied.18.064046,"Tsinghua Univ,Beijing Natl Res Ctr Informat Sci & Technol"
10.1103/PhysRevA.109.062604,PASQAL SAS
10.1038/s41467-023-40097-0,"Beijing Computat Sci Res Ctr,Zhejiang Univ,Univ Catania,Tsinghua Univ,Beijing Acad Quantum Informat Sci,Univ Messina,RIKEN,Univ Michigan,RIKEN Ctr Quantum Comp RQC,Univ Tokyo"
10.1103/PhysRevA.81.062323,"RIKEN,Univ Michigan,Tsinghua Univ"
10.1002/qute.202400171,Zhejiang Univ
10.1038/s41467-020-17519-4,"Univ Maryland,Inst Nacl Astrofis Opt & Electr,Inst Math Sci,Homi Bhabha Natl Inst,US Army Res Lab"
10.1038/s41534-023-00721-9,"Chinese Acad Sci,Univ Chinese Acad Sci,Hefei Natl Lab,Beijing Univ Technol,Eindhoven Univ Technol,Songshan Lake Mat Lab"
10.1038/ncomms4371,"Univ Stuttgart,SCOPE,ISI Fdn,Univ Ulm,Univ Leipzig,Tech Univ Munich"
10.1063/1.4930201,"Nanjing Univ,Univ Kansas,Univ Sci & Technol China"
10.1103/PhysRevLett.132.090602,"IBM TJ Watson Res Ctr,Univ Massachusetts,IBM Almaden Res Ctr"
10.1103/PhysRevLett.113.220502,"Univ Calif Santa Barbara,Univ Georgia"
10.1063/5.0207714,"ETRI,Korea Adv Inst Sci & Technol,Univ Trento"
10.1007/s10946-016-9582-8,"Prince Sattam Bin Abdulaziz Univ,Assiut Univ,McGill Univ,Texas A&M Univ"
10.1103/PhysRevApplied.20.034056,"MIT,Lab Phys Sci"
10.1103/PhysRevA.92.052306,Univ Calif Riverside
10.1038/s41534-021-00385-3,"Chinese Acad Sci,Univ Chinese Acad Sci,RIKEN,Beijing Acad Quantum Informat Sci,UCAS,Songshan Lake Mat Lab"
10.1103/PhysRevB.101.134509,"Princeton Univ,Rigetti Comp"
10.1016/j.physleta.2014.11.022,"FCEyN UBA,Univ Buenos Aires"
10.1103/PhysRevLett.132.017001,"Univ Wisconsin Madison,Syracuse Univ"
10.1103/PhysRevA.110.062413,"Univ Maryland,Quantinuum"
10.1103/PhysRevApplied.16.044045,Aalto Univ
10.1103/PhysRevA.101.042334,"Lawrence Livermore Natl Lab,NIST,Univ Colorado,Univ Oregon"
10.1016/j.carbon.2019.10.068,"Chinese Acad Sci,Peking Univ,Inner Mongolia Univ"
10.1103/PhysRevB.92.165201,"UCL,Univ Oxford,Princeton Univ,Inst Crystal Growth,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1103/PhysRevLett.110.173603,Princeton Univ
10.1088/1367-2630/ab2e26,"Zhejiang Univ,Shandong Univ,Univ Sci & Technol China"
10.1088/1674-1056/21/4/044209,"Wenzhou Univ,Zhejiang Normal Univ"
10.1108/03321641111101203,"Atilim Univ,Gazi Univ,Ankara Univ,Inst Phys Azerbaijan NAS"
10.1103/PhysRevB.86.184514,Yale Univ
10.1103/PhysRevA.89.012313,McGill Univ
10.1002/qute.202000088,Xuchang Univ
10.1103/PhysRevApplied.7.054022,"South China Normal Univ,Huazhong Univ Sci & Technol,Beijing Computat Sci Res Ctr"
10.1103/PhysRevLett.126.250507,"NIST,Univ Colorado,Phys Tech Bundesanstalt,Univ Washington"
10.1103/PhysRevA.100.042304,"Univ Maryland,Montgomery Blair High Sch,Texas A&M Univ,IonQ Inc"
10.1103/PhysRevA.105.022605,"Ludwig Maximilians Univ Munchen,IQM Germany GmbH"
10.1007/s10909-013-0873-y,"Natl Sci Ctr Kharkov Inst Phys & Technol,Natl Acad Sci Ukraine"
10.1103/PhysRevLett.108.086802,"Harvard Univ,Polish Acad Sci,Univ Calif Santa Barbara"
10.1103/PhysRevLett.125.056801,"Univ Copenhagen,Rutgers State Univ,Swiss Fed Inst Technol,Microsoft Quantum Mat Lab Copenhagen"
10.1103/PhysRevLett.122.080502,Yale Univ
10.1038/s41534-019-0168-5,"Chalmers Univ Technol,Natl Phys Lab"
10.1103/PRXQuantum.2.040341,"IST Austria,Kings Coll London"
10.1103/PhysRevLett.116.150505,Univ Copenhagen
10.1103/PhysRevLett.116.150501,"Tulane Univ,CUNY"
10.1103/PhysRevLett.113.246801,"Ctr Excellence Quantum Computat & Commun Technol,Univ New South Wales Australia,Purdue Univ,Univ Melbourne"
10.1002/anie.201706181,"KIT,Univ Grenoble Alpes,Univ Strasbourg"
10.1103/PhysRevA.88.035806,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1088/0953-4075/44/13/135503,Univ Estadual Campinas
10.1142/S0217979215502367,"Jiangxi Normal Univ,Univ Macau"
10.1088/1674-1056/23/4/040307,"Jiangxi Normal Univ,Key Lab Photoelect & Telecommun Jiangxi Prov"
10.1103/PhysRevA.106.042410,"Moscow MV Lomonosov State Univ,Peter Great St Petersburg Polytech Univ,Leibniz Univ Hannover,St Petersburg State Univ,Russian Quantum Ctr,Old Dominion Univ"
10.1038/s41467-021-22030-5,Princeton Univ
10.1038/s41467-024-48791-3,"Zhejiang Univ,Univ Calif Davis,Beijing Computat Sci Res Ctr,Univ Houston"
10.1007/s10909-017-1787-x,"Univ Lancaster,Aalto Univ,Natl Phys Lab"
10.1103/PhysRevLett.109.060501,IBM Corp
10.1103/PhysRevLett.124.010504,"Univ Innsbruck,Austrian Acad Sci"
10.1088/1367-2630/ab2a7e,"Austrian Acad Sci,Univ Innsbruck"
10.1063/5.0179921,"Linkoping Univ,Univ Florida,Washington State Univ"
10.1070/QEL16795,"Natl Univ Sci & Technol MISIS,Moscow Inst Phys & Technol,RQC,Russian Acad Sci,Dukhov All Russia Res Inst Automat"
10.1088/1367-2630/13/9/093022,"Univ Augsburg,CSIC Univ Zaragoza,Fdn ARAID,CSIC"
10.1140/epjd/e2010-00015-x,"Natl Univ Def Technol,Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol"
10.1038/s41534-023-00722-8,"Univ Queensland,Rhein Westfal TH Aachen"
10.1103/PhysRevLett.124.163604,"Harvard Univ,Austrian Acad Sci,Univ Innsbruck,Max Planck Inst Quantum Opt,ICFO Inst Ciencies Foton"
10.1103/PhysRevA.91.042312,"Bauman Moscow State Tech Univ,Russian Acad Sci,Russian Quantum Ctr"
10.1140/epjb/e2011-20072-7,"Hunan Normal Univ,Hunan Inst Sci & Technol"
10.1103/PRXQuantum.4.010314,"IQM Quantum Comp,Aalto Univ,VTT"
10.1103/PhysRevB.82.184515,"Univ Calif Santa Barbara,NEC Corp Ltd"
10.1140/epjb/e2017-80563-y,"Ctr Atom Bariloche,Inst Balseiro"
10.1007/s11141-024-10341-8,"Russian Quantum Ctr,Natl Univ Sci & Technol,Moscow Inst Phys & Technol"
