,gate,error,spin,ion,state,code,entanglement,photon,fidelity,measurement,noise,field,interaction,trap,quantum computer,scheme,phase,control,circuit,information,laser,algorithm,protocol,transition,fault,mode,dynamic,frequency,quantum computing,number,detection,atom,pulse,hardware,simulation,array,quantum system,architecture,platform,scale,computation,rate,parameter,network,decoherence,quantum processor,quantum simulation,couple,crystal,order,device,experiment,trapped ion,body,level,surface,source,sequence,cavity,crosstalk,coherence,range,ground,electron,term,oscillator,optimization,quantum state,process,hamiltonian,technology,quantum error correction,datum,motion
noise,0.3365809164030446,0.34286274066187084,0.16585877695229945,0.3449117596306061,0.2987164843037439,0.2326210525996177,0.22205095266134756,0.13483997249264842,0.22990024493585143,0.25756371316446414,1.0,0.22122161383412453,0.1561886433753127,0.1287381140548331,0.1625535507407927,0.2412090756622109,0.1909571848992503,0.21178336016123284,0.20100756305184242,0.22122161383412453,0.17170914210964275,0.16724840200141816,0.21217464988805587,0.18092094174740223,0.25332019855244947,0.11031723205358254,0.12438314745133902,0.2528558164964056,0.1820705319490885,0.16290521279655287,0.18858412728533933,0.05629337745609988,0.1254363015010636,0.12309149097933274,0.12506107989614448,0.07178841537565801,0.1484539238050411,0.20259658037268968,0.146695409807784,0.16857054433093707,0.18693323659540842,0.15962038488148073,0.1550588578423112,0.1340050420345616,0.25748661559088487,0.09082487681884435,0.040291148201269014,0.09401267913629437,0.04956815970966097,0.21029989116983447,0.1046758229305146,0.19395245515057077,0.3305140455527635,0.11565903932254226,0.20483662259967567,0.10487553416094877,0.22613350843332272,0.1685935129529577,0.019341961772855316,0.037986858819879316,0.13084477866314326,0.15441828729643658,0.117279865902278,0.1353937324099872,0.14959151840135315,0.12309149097933272,0.15745916432444337,0.09486348995453653,0.16356658202098237,0.04652421051992354,0.12087344460380704,0.2074586380880473,0.15194743527951726,0.09196009797434057
field,0.305778184557795,0.24696320053450926,0.31784051987522066,0.3836897357962759,0.42916646554812143,0.04075695729696112,0.22694581186730423,0.10828114425674669,0.2618216337022721,0.19220801404949509,0.22122161383412453,1.0,0.2907576360566642,0.2689355573565666,0.15739281264465077,0.24652625377117468,0.2993533081507121,0.2782952769054045,0.1408721450120998,0.20155038759689922,0.36770228774686015,0.09767725810110087,0.11739345417674985,0.3764221715851983,0.0616438934546091,0.270597718132236,0.18821108579259915,0.2676593670279742,0.16789540016977156,0.23505356023768018,0.12708214194383724,0.22191801643659276,0.1343062298890137,0.10783277320343843,0.14607760951060714,0.11320083081329449,0.10837601479372586,0.09983374884595826,0.1468693638708063,0.1199852334952988,0.10235033889020939,0.12907703761056816,0.16718447785078477,0.08804509063256238,0.24931194957915642,0.11366572324507891,0.17648280200062938,0.17648280200062938,0.1881688085836215,0.17399557611335595,0.11462494466661233,0.21710676418562963,0.46418754836173004,0.1592197611092182,0.2193211550033457,0.19687480773953944,0.27514090822675746,0.1879745062477851,0.11860999914758141,0.04991687442297913,0.18339991146657972,0.14654924307403033,0.24401123153445128,0.15249857033260467,0.12012714393341946,0.08986064433619868,0.030653365991446857,0.09497598079205959,0.1842306100023769,0.16302782918784448,0.1294207214671282,0.025963080785400414,0.04991687442297913,0.1879745062477851
interaction,0.3373249156136544,0.147265982401778,0.3506317061191267,0.34391053010661493,0.3521954042481506,0.029974532466509034,0.29506656683116206,0.10859306069076735,0.21477357282094306,0.15672363621101892,0.1561886433753127,0.2907576360566642,1.0,0.16269618760010324,0.14882641804174754,0.24282146558931603,0.2331086069657434,0.26979370753454945,0.24282146558931603,0.22234407463156677,0.21203786075608444,0.0808158687660548,0.14029684678493815,0.18577293525337174,0.0680036124478424,0.29851492697626136,0.2513398535780912,0.14254579382840893,0.14817355731532722,0.16669525197974314,0.07009651926150554,0.23121228232266414,0.14816242607110047,0.06608763214317867,0.22157883462859487,0.09712858623572641,0.21520264493646468,0.12237051636905873,0.2430325229656146,0.09163658174683431,0.20323743847971518,0.05933072705766086,0.19595972187246213,0.08094048852977201,0.1833554225478525,0.0626962328219399,0.22064900595174514,0.311504478990699,0.19161409458665385,0.12420065684871484,0.08851545406995383,0.26033193698599,0.4208158872975271,0.20758193580220832,0.19795764159656265,0.08687444855261388,0.14569287935358963,0.11849576431500307,0.13084683595481034,0.11013346473215285,0.1643858432727714,0.17410457587481892,0.15584426446024427,0.09346202568200739,0.12047318414773371,0.23791547571544325,0.10144749970923667,0.15716179075530215,0.16936453206642932,0.2697707921985813,0.16873159278662864,0.01432082875315512,0.055066732366076426,0.29623941078750765
trap,0.3544236609502449,0.2763811932812246,0.11179185072654418,0.5260081981021103,0.2518585075227532,0.0456118825309441,0.19048451598752622,0.1762610596956927,0.3456010043218977,0.13093264279461478,0.1287381140548331,0.2689355573565666,0.16269618760010324,1.0,0.25163039489554745,0.11823951337971518,0.17735927006957278,0.24538131337817332,0.08867963503478639,0.2862862384763451,0.3740932651274708,0.05465623439441968,0.0985329278164293,0.21063058936525558,0.13797369644231547,0.19467709031498293,0.13302984591489828,0.28921360761377884,0.31002661958994576,0.19728966701178366,0.199108043396001,0.06898684822115773,0.15030464458465412,0.13408633111818827,0.16347821837759527,0.225218120723267,0.048514259981933004,0.21103769477175996,0.15409151781728103,0.22723926312511197,0.11454220197175097,0.3250182521375937,0.14032448575281267,0.09853292781642932,0.10628941821109952,0.1399260091115657,0.13167016328743084,0.09216911430120157,0.25917941678804557,0.18326752315480155,0.1924184185225959,0.22184061271314914,0.38575327238246343,0.016198713549252848,0.21197648541978326,0.4847179141631549,0.2463323195410733,0.21036582871767687,0.05688801239885743,0.18620973068096466,0.23090210222711507,0.1135426378344198,0.1437250467820612,0.09481335399809572,0.14665806660010133,0.040225899335456484,0.06860952443494396,0.03985853182916232,0.17181330295762645,0.10642772590553623,0.158004195944917,0.05811155049169446,0.0558629192042894,0.18031356747229446
quantum computer,0.46457566258396366,0.3742948281201437,0.15804073293140256,0.4915315188177793,0.3693942229857064,0.30210898905832195,0.1488925795519706,0.08565603610802411,0.31155696942480493,0.2827919299121698,0.1625535507407927,0.15739281264465077,0.14882641804174754,0.25163039489554745,1.0,0.1276884796138123,0.1957890020745122,0.2119925289629932,0.3660403082262619,0.20236218768597958,0.14543584966911588,0.3659489276036614,0.21754333563834685,0.10535122656750227,0.30991936726926567,0.18687508632025024,0.13408337926773017,0.17847186267098028,0.34900574004966634,0.30030726469389896,0.12286829679574762,0.05959987832101263,0.16526725762745997,0.335939889314176,0.3177762847994256,0.08512565307587486,0.1257389226923863,0.26812060503657786,0.2041241452319315,0.4015616910097056,0.20780877949851576,0.1975953209981975,0.19194857105322077,0.14187608845979144,0.11478340719169698,0.23078316568852547,0.136504726557987,0.07962775715882577,0.111956569275048,0.1880174671653238,0.25489556962103005,0.16427570345801806,0.2932725127484663,0.181929425071953,0.16385589739043474,0.17765696377960558,0.10640706634484358,0.1947231058905031,0.04914731871829905,0.2252213082307254,0.17731865712767308,0.17438756835336233,0.12416852662165208,0.1310595165821308,0.25340490686398015,0.017376201171422898,0.22227711223719354,0.19513179222588486,0.13853918633234386,0.1182165609358651,0.25025866535630953,0.2635729489778726,0.17695959932414138,0.09087078274890145
scheme,0.3162885732024816,0.31082019786735043,0.2578553115646984,0.3159461322076491,0.3328854470355479,0.13887301496588272,0.25776089301153055,0.22360679774997896,0.24399771253216748,0.1993231791080248,0.2412090756622109,0.24652625377117468,0.24282146558931603,0.11823951337971518,0.1276884796138123,1.0,0.21,0.2011435198964418,0.1,0.2113082175181497,0.24678107889564976,0.08320502943378437,0.18888888888888888,0.14626142712038312,0.1260252075625209,0.24148137197731875,0.14626142712038312,0.17820842224272612,0.18115789195666254,0.13348476249438293,0.1010362971081845,0.140028008402801,0.12480754415067656,0.10886621079036346,0.16591227115686805,0.11428571428571428,0.135400640077266,0.13858697343671667,0.17723725194851356,0.17820842224272612,0.18599622199011084,0.12216944435630524,0.13054598240132387,0.1,0.2292279532375023,0.0903696114115064,0.16035674514745463,0.20044593143431827,0.1643989873053573,0.19762098586449275,0.07811334658849432,0.19298025627080306,0.4071566857580668,0.14795908857482157,0.20380986614602725,0.044721359549995794,0.2,0.15249857033260467,0.1539600717839002,0.13228756555322954,0.1041511287846591,0.14084056792618557,0.18962448894726291,0.019245008972987525,0.12403473458920847,0.08164965809277261,0.13926212476455826,0.12135597524338357,0.11624763874381927,0.13887301496588272,0.10690449676496974,0.16218615177038684,0.07559289460184544,0.1372487132993442
phase,0.3845076772265462,0.2653343152526162,0.21659846171434663,0.3104987851006207,0.3091079151044373,0.09258200997725516,0.1657034312216982,0.12298373876248843,0.2973722121485791,0.13288211940534986,0.1909571848992503,0.2993533081507121,0.2331086069657434,0.17735927006957278,0.1957890020745122,0.21,1.0,0.22030004560086483,0.18,0.2025037084548935,0.3037305586407997,0.11094003924504582,0.13333333333333333,0.32627549126854694,0.0980196058819607,0.20855209398041166,0.1687631851389036,0.26207120918047955,0.15255401427929477,0.1716232660642066,0.08660254037844385,0.16803361008336118,0.22188007849009164,0.14969103983674975,0.14517323726225953,0.11428571428571428,0.1723280873710658,0.08819171036881969,0.1668115312456598,0.11531133203941102,0.18599622199011084,0.13438638879193576,0.20175288189295507,0.06666666666666667,0.14832396974191325,0.16782927833565472,0.1469936830518334,0.20044593143431827,0.14795908857482157,0.1743714581157289,0.1041511287846591,0.20370138161918103,0.3862768557191916,0.13151918984428582,0.15851878478024342,0.07453559924999299,0.1875,0.21349799846564654,0.09622504486493763,0.056694670951384085,0.15622669317698865,0.20485900789263356,0.14586499149789456,0.019245008972987525,0.08682431421244592,0.18371173070873836,0.08703882797784893,0.12135597524338357,0.13949716649258312,0.12344267996967354,0.08017837257372731,0.08846517369293828,0.056694670951384085,0.15249857033260467
control,0.4039326788379082,0.2904504931658415,0.2173429237764907,0.3495800203369604,0.3245401174085669,0.08867748269482187,0.19398512463669504,0.09637941079757685,0.32865106302723424,0.19091698020350958,0.21178336016123284,0.2782952769054045,0.26979370753454945,0.24538131337817332,0.2119925289629932,0.2011435198964418,0.22030004560086483,1.0,0.14367394278317272,0.26986208669614986,0.3363775365490407,0.07969596425427825,0.1596377142035252,0.24785691587898434,0.14753475782690814,0.25232422415033706,0.12931665176294835,0.25101869275275407,0.21004785188952263,0.20091533658997818,0.19355044226326587,0.14753475782690814,0.212522571344742,0.10427491826743668,0.11918635076609048,0.23261495498227963,0.1768503983206007,0.1810121535639991,0.2097066159629206,0.17069271107187278,0.1781520703739565,0.1521222365719316,0.12504037337400584,0.04789131426105757,0.15498392394234678,0.17311677839032427,0.16639339764096983,0.17919288976719827,0.12597253704384767,0.1336140527804674,0.07481901658904981,0.22591746464819779,0.4049848133542435,0.09447940278288576,0.18436919992750997,0.19989803720978902,0.19156525704423027,0.24831413650946588,0.0553001263609331,0.19911336892039905,0.13716819707992467,0.17169192470840527,0.11177065836019455,0.1659003790827993,0.0950429832559784,0.09775773587572188,0.06669446181762068,0.14206859694715124,0.22269008796744563,0.11823664359309582,0.12799492126228448,0.1271014030346265,0.07240486142559965,0.21910070868482281
circuit,0.32869204666140245,0.22742941307367104,0.0928279121632914,0.2832620495654785,0.380440510897769,0.2005943549507195,0.1380861926847485,0.10062305898749054,0.17537335588249536,0.2657642388106997,0.20100756305184242,0.1408721450120998,0.24282146558931603,0.08867963503478639,0.3660403082262619,0.1,0.18,0.14367394278317272,1.0,0.2113082175181497,0.028474739872574973,0.2912176030182453,0.18888888888888888,0.12375966910186263,0.2940588176458821,0.15366996398556648,0.15751230612964334,0.08386278693775347,0.19069251784911845,0.32417728034350135,0.1010362971081845,0.2520504151250418,0.027735009811261455,0.23134069792952236,0.22812937284069357,0.11428571428571428,0.1846372364689991,0.22677868380553634,0.20851441405707477,0.22013981571160285,0.23249527748763854,0.10995249992067471,0.1424137989832624,0.15,0.06741998624632421,0.24528894525980308,0.18708286933869706,0.1469936830518334,0.08219949365267865,0.09299811099505542,0.1822644753731534,0.19298025627080306,0.3131974505831283,0.13151918984428582,0.18116432546313532,0.1192569587999888,0.0625,0.12199885626608374,0.09622504486493763,0.09449111825230681,0.11717001988274148,0.12803687993289598,0.11669199319831564,0.13471506281091267,0.17364862842489184,0.22453655975512465,0.2088931871468374,0.12135597524338357,0.15112193036696506,0.07715167498104596,0.16035674514745463,0.2359071298478354,0.11338934190276817,0.06099942813304187
information,0.34400045762751935,0.3203846925853093,0.21794778505729417,0.40287422258608974,0.3663616169313232,0.17661348162016485,0.2917874724008197,0.23624976928744731,0.28196175937167767,0.2674198456340801,0.22122161383412453,0.20155038759689922,0.22234407463156677,0.2862862384763451,0.20236218768597958,0.2113082175181497,0.2025037084548935,0.26986208669614986,0.2113082175181497,1.0,0.2423492351058851,0.07325794357582564,0.18587296911318726,0.1485876993099467,0.16027412298198365,0.16429147172314326,0.17830523917193605,0.16613340022425988,0.20147448020372588,0.21826402022070301,0.19062321291575585,0.17260290167290548,0.10988691536373847,0.16773986942757088,0.15520746010502007,0.1635123111747587,0.2275896310668243,0.16638958140993043,0.27538005725776177,0.1753630335700521,0.20470067778041878,0.20437197621673292,0.14628641811943668,0.10271927240465611,0.23743995198014897,0.21596487416564994,0.1411862416005035,0.21177936240075526,0.14474523737201656,0.11258537277923032,0.12608743913327355,0.24542503777505956,0.42282430147801153,0.1592197611092182,0.2791360154588036,0.20999979492217538,0.19810145392326536,0.10741400357016292,0.10166571355506979,0.1830285395509235,0.24071238379988588,0.21418735526204433,0.16695505315515088,0.11860999914758141,0.17473039117588285,0.10783277320343841,0.061306731982893714,0.16620796638610427,0.6345721011192982,0.10868521945856298,0.17648280200062938,0.20770464628320331,0.09983374884595826,0.16112100535524437
