단어,문서개수
entanglement,61
entirety,1
entity,1
entropy,8
envelope,1
environment,12
epsilon,1
equality,1
equation,8
equilibrium,7
equivalence,1
equivalent,1
era,5
erasure,2
erode,1
error,123
estimate,1
estimation,14
eta,1
event,1
evidence,2
evolution,28
exception,1
excess,1
exchange,4
excitation,20
exciton,1
execution,6
exhibit,2
existence,4
exothermicity,1
expansion,2
expectation,1
expense,2
exper,2
experience,1
experiment,47
experimental,1
explanation,1
exploit,1
exploration,4
exponent,1
exponential,1
exponentiation,1
exposure,1
expression,3
expressivity,2
extension,5
extent,2
extinction,1
extraction,3
extrapolation,1
fabrication,9
face,1
fact,3
factor,10
failure,4
family,12
fano,1
fashion,3
fault,36
favorablescaling,1
feasibility,11
feat,1
feature,11
feed,3
feedback,3
femtosecond,1
fermi,5
fermion,2
fermionic,1
fiber,5
fibre,4
fidelity,117
field,58
figurehead,1
film,1
filter,2
find,12
finesse,1
finite,5
fisher,1
fitzsimon,1
flag,5
flavor,3
flexibility,3
flight,1
flip,2
flop,1
floquet,5
fluctuation,18
fluctuator,1
fluorescence,8
flux,1
focus,3
force,12
form,7
formalism,3
formation,1
formula,4
formulation,2
forward,1
foundation,2
foundry,1
fractal,1
fraction,4
fragility,1
fragment,1
frame,3
framework,12
freedom,12
frequen,1
frequency,62
fringe,2
froma,1
frontier,1
fsl,1
function,17
functionality,3
fundamentality,1
fusion,1
future,8
gaebler,1
gain,2
game,1
gamma,1
gap,4
garg,1
gas,2
gate,167
gauge,4
gaussian,1
generalization,2
generalize,1
generate,1
generation,20
generator,3
geometry,6
ghz,6
ghz state,4
gill,1
gkp,2
glement,1
globe,1
gme,1
gmp,1
gmpss,1
goal,4
goldilock,2
google,1
gottesmankitaev,1
gradient,8
grain,1
graining,1
graph,2
graph state,3
graphene,1
grating,5
gravity,1
greenberger,5
grid,4
ground,34
group,5
growth,1
guarantee,1
guidance,1
guideline,1
haar,1
hadron,2
hallmark,3
hamiltonian,27
hamming,1
hand,2
hardness,3
hardware,44
harmony,2
harness,1
hartree,1
harvesting,1
hassidim,1
heart,2
heat,4
heating,3
heeger,3
height,2
heuristic,4
hierarchy,1
highfidelity,1
hilbert,2
hinder,1
hitherto,1
holevo,1
hologram,1
holt,1
homodyne,1
honeywell,3
hong,1
horizon,1
host,2
hour,1
hub,1
hubbard,4
hull,1
hundred,7
hybrid,5
hydrogen,2
hyper,1
hyperfine,6
hypergraph,1
ibm,6
ibmq,1
iceberg,1
idea,9
ideal,1
idealization,1
identification,4
identity,3
ifta,1
illumination,3
illustration,1
image,4
imental,1
immune,1
impact,9
imperfection,13
implication,3
importance,9
improvement,16
impurity,1
ina,1
inc,1
incidence,1
increase,11
independence,1
indication,1
individual,1
inductance,1
industry,2
inequality,1
inference,1
infidelity,12
influence,8
information,75
infrare,1
ingredient,2
inhomogeneity,2
initial,1
initialization,6
initio,1
innovation,1
inplane,1
input,12
insensitivity,3
insertion,1
insight,6
instability,2
instance,8
instruction,1
instrument,1
insulator,2
integer,1
integration,6
intensity,10
interaction,56
interconnection,1
interest,8
interface,3
interference,9
interferomet,1
interferometer,2
interferometry,4
interion,1
internet,1
interplay,2
interpretation,1
intractability,1
intrasite,1
introduction,1
intuition,2
invariant,1
inverse,2
investigation,3
ion,223
ionization,1
ionphoton,1
ionq,6
iop,1
ise,8
isolation,2
isotope,2
isotropic,1
issue,5
japan,1
jarzynski,1
job,1
jordan,1
jozsa,1
junction,2
kashefi,1
kcal,1
kerdock,1
ket,1
key,2
khz,5
kick,5
kilocalorie,1
kind,2
kinetic,1
knob,1
knowledge,2
kolkowitz,1
kubica,1
kue,1
lab,1
label,1
laboratory,4
lack,3
lamb,7
lambda,3
landscape,2
language,3
largeperiod,1
largescale,1
laser,73
laserless,1
latency,1
latter,1
lattice,14
law,8
layer,9
layout,2
ldp,1
lead,1
leak,1
leakage,3
learn,6
leggett,1
len,3
length,4
lesson,1
lett,3
letter,1
level,50
levelsystem,1
leverage,3
levitin,1
lgi,1
lgis,1
library,2
license,2
life,3
lifetime,6
light,17
likelihood,2
limit,23
limitation,14
line,3
linear,5
linewidth,2
link,6
liouville,1
liquid,1
literature,2
lithium,1
lithography,1
lmer,3
load,5
loader,1
locality,1
localization,1
location,6
locomotion,1
logic,11
london,1
loop,2
loss,11
ltd,1
luttinger,1
mach,2
machine,12
magic,1
magnesium,1
magnet,2
magnetism,1
magnitude,26
mainstream,1
majorana,2
majorana fermion,1
majority,2
mandel,1
mandelstam,1
manifold,5
manipulate,1
manipulation,11
manner,1
manufacture,1
manuscript,2
map,2
mapping,9
margin,1
margolus,1
markov,3
markovian,1
mass,8
match,2
material,3
mathieu,1
matrix,16
matter,13
maxcut,2
mean,3
measure,3
measurement,73
mechanic,4
mechanism,11
median,1
meiboom,1
melo,1
memory,10
mera,1
merit,1
message,1
metadata,1
metal,1
meter,1
methodology,2
methyl,1
metric,4
metrology,8
mhz,4
microarchitectural,1
microchip,1
micromagnet,1
micrometer,2
micromotion,4
micron,3
microtrap,3
microwave,13
midcircuit,4
middle,1
milestone,1
million,1
millisecond,1
mimf,1
min,1
minima,1
minimization,2
minimum,1
minute,1
mirror,2
miscalibration,1
mismatch,4
misuse,1
mitigation,11
mix,1
mixer,2
mixture,2
mnist,1
modality,3
mode,46
modefrequency,1
model,8
modem,1
modification,3
modulation,13
modulator,2
module,3
mole,1
molecule,10
molmer,20
moment,1
momentum,4
monotone,1
monte,3
morimae,1
mot,1
motion,24
mott,1
mpemba,1
mpss,1
mqc,1
mqcs,1
multi,4
multicriticality,1
multiparticle,1
multipartite,5
multiphoton,1
multiplexing,2
multiply,2
multiqubit,12
multiscale,1
multispecie,3
multiwatt,1
multizone,1
nanofabrication,2
nanometric,1
nanoscale,1
nanosecond,1
nanowire,1
nascent,1
nat,1
nature,10
necessity,2
need,12
negativity,1
neighbor,13
nem,1
network,26
neural,1
neutral atom,14
neutrino,3
niobate,1
nir,1
nisq,9
nitride,3
nitrogen,6
nmr,4
node,6
noise,53
nonclassicality,1
nondemolition,2
nonequilibrium,2
nonlinearity,2
nonzero,1
note,1
notion,1
nucleus,1
number,66
numeric,1
numerical,5
object,4
objective,1
observable,2
observation,6
obstacle,2
occupation,2
offset,3
omega,2
omg,2
one,7
onemethod,1
operate,3
operator,14
opportunity,3
optic,8
optica,2
opticaltransition,1
optimal,1
optimization,29
orbit,2
orbital,1
order,48
orientation,1
origin,3
osa,1
oscillation,7
oscillator,16
otocs,1
outcome,8
output,10
overestimate,1
overhead,8
overlap,2
pace,1
package,2
packaging,1
packet,1
pair,24
pairwise,3
palmero,1
par,1
paradigm,6
parallel,9
parallelism,1
parallelization,1
parameter,48
parent,1
parity,13
part,5
particle,10
passage,3
passivity,1
patch,1
path,12
pathway,3
pattern,6
paul,6
pauli,7
peak,1
pec,1
pennylane,1
per,1
percolation,1
performant,1
period,5
permutation,1
perpendicualr,1
perspective,4
perturbation,4
phase,57
phasegate,1
phenomena,7
phenomenon,7
phi,1
phonon,12
photodiode,1
photon,48
photonsvia,1
phy,6
physic,3
physicist,1
physics,9
picosecond,2
piezo,1
pipeline,2
pixel,2
place,2
placement,1
planar,2
plane,2
plaquette,1
plateaus,1
platform,68
platformspecific,1
player,1
point,14
polarization,9
policy,3
pontryagin,1
population,6
portability,2
portfolio,3
portion,2
position,5
positive,1
possibility,9
postler,1
postselection,5
potential,36
power,33
practicality,1
practice,5
precession,1
precision,10
predictability,1
prediction,4
preparation,30
prerequisite,1
presence,19
present,1
preservation,2
press,1
primitive,6
principle,20
probability,15
probe,5
procedure,13
process,42
processor,18
product,21
profile,4
profit,1
program,4
programming,3
progress,7
project,1
projection,3
promise,9
proof,6
propagation,5
property,21
proposal,8
prospect,3
protection,3
protein,2
protocol,58
proton,1
prototype,1
provide,1
provider,1
pseudopotential,1
pseudothreshold,1
pso,1
publish,6
pulse,27
pump,3
purcell,1
puri,1
purification,1
purity,3
purpose,4
pursuit,2
pvtz,1
qaoa,7
qbart,1
qca,2
qccd,2
qcrank,1
qdb,1
qec,6
qecc,1
qed,1
qft,2
qhal,1
qhiff,1
qip,1
qiskit,2
qmp,2
qmpdo,1
qnd,1
qnode,1
qpu,1
qpus,1
qram,1
qscout,1
qsl,1
qsls,1
quadrature,1
quadrit,1
quadrupole,6
quality,14
quantification,1
quantifier,1
quantinuum,20
quantity,4
quantization,3
quantum,160
quantum algorithm,28
quantum bit,6
quantum circuit,30
quantum coherence,4
quantum communication,3
quantum computer,106
quantum computing,79
quantum device,19
quantum dot,5
quantum entanglement,6
quantum error correction,32
quantum gate,27
quantum machine learning,3
quantum measurement,2
quantum memory,4
quantum network,12
quantum optimization,2
quantum phase transition,3
quantum processor,51
quantum repeater,1
quantum sensor,7
quantum simulation,37
quantum simulator,14
quantum state,33
quantum system,38
quantum teleportation,2
quantum walk,1
quantumfrequency,1
quantumness,1
quartet,1
quasi,1
quasidistillation,1
quasiparticle,1
qubit,311
qudit,10
question,2
queue,1
ququart,1
ququint,1
qutrit,2
rabi,15
race,2
radar,1
radiation,2
radio,9
radioactivity,1
radiofrequency,2
radius,1
rainbo,1
ram,1
raman,7
ramification,1
ramsey,5
rang,1
range,32
rank,1
rate,44
ratio,4
rdms,1
reach,2
react,1
reaction,3
read,2
readout,9
reality,1
realization,30
realizehigh,1
realm,1
receiver,1
recoil,1
recommendation,1
reconstruction,3
record,2
recovery,1
reduction,11
reference,3
regard,2
regime,22
region,6
register,8
regression,2
reinforcement,3
relation,1
relationship,3
relative,2
relaxation,4
relevance,3
reliability,2
relie,2
removal,1
renormalization,2
rensen,1
renyi,2
reorder,2
repeater,1
repetition,7
representation,8
repump,1
requirement,19
rescale,1
reservoir,1
reset,5
resilience,2
resistance,1
resolution,7
resonance,8
resonant,14
resonator,2
resource,38
respect,5
response,5
responsiveness,1
rest,2
restriction,1
retrieval,2
reuse,4
rev,5
reversal,4
review,2
revival,2
ric,1
riemann,1
right,4
ring,3
rise,4
rithm,1
rmn,1
roadblock,1
robustness,18
rod,1
role,11
room,1
root,1
rotation,18
round,3
rout,5
route,8
routine,3
rubidium,1
rule,3
run,2
runner,1
runtime,4
rydberg,13
sachdev,1
sample,6
satisfiability,1
save,1
sawyer,1
scalability,14
scalableandlong,1
scale,63
scan,1
scatter,9
scenario,8
scheme,59
schneider,1
schrieffer,3
schrodinger,1
schwinger,1
science,11
scientist,1
scope,1
scramble,1
sdk,1
sdks,2
search,4
second,3
section,1
secure,1
security,3
segment,2
selec,1
selection,2
selective,1
selectivity,1
self,3
semiconductor,5
sense,11
sensitivity,19
sensor,5
separability,1
separation,4
sequence,25
series,10
server,2
set,35
setup,15
shape,2
shelf,1
shelve,1
shielding,1
shift,16
shifter,1
shoot,3
shor,6
shortcome,1
show,2
shuttle,3
side,1
sideband,9
sigma,3
sigmax,1
sigmay,1
sigmaz,1
sign,2
signal,16
signature,2
significance,1
silica,1
silicon,12
simion,1
simplicity,1
simulation,66
simulator,6
sin,2
single,2
singlephoton,1
singlet,2
sinusoidal,1
siph,1
site,12
sitewise,1
situ,3
size,30
skew,1
snspds,1
society,2
sociology,1
soften,1
software,6
solver,1
sort,1
source,40
space,25
spacetime,2
spam,2
specialist,1
specie,13
species,6
spectator,3
spectra,4
spectrometer,3
spectrometry,1
spectroscopy,3
spectrum,16
speed,21
speedup,4
sphere,1
spillover,1
spin,47
spinlike,1
spinstate,1
spiral,1
split,5
splitter,2
spot,3
spread,3
spur,1
squeeze,1
stabilisation,1
stability,3
stabilization,5
stabilizer,7
stack,2
stage,6
stagequantum,1
stand,1
standard,1
star,1
stark,1
start,1
stasis,1
state,171
statistic,2
stem,1
step,19
steptoward,1
stiffness,2
stirap,1
sto,1
stoke,1
storage,6
store,1
story,1
stray,2
strength,8
string,3
stroboscopic,1
stroke,1
structure,31
style,1
sub,1
subject,1
sublevel,3
subpercentage,1
subquanta,1
subroutine,1
subset,7
subspace,9
substance,1
substitution,1
subsystem,2
subtraction,1
success,9
sum,1
summarization,1
summary,1
superconducte,5
superconducting qubit,18
superconductor,3
superoperator,1
superposition,5
supply,2
support,2
suppresse,1
suppression,9
supremacy,2
surface,25
surgery,1
survey,1
susceptibility,3
suzuki,3
swap,2
swarm,1
switch,5
symmetry,11
syndrome,5
synthesis,2
synthetic,1
table,1
tamm,1
tangle,1
tanner,1
target,18
task,29
technology,34
telecom,2
telecommunication,2
telecomphoton,1
telecomwavelength,1
telegraph,1
teleportation,5
temperature,16
template,2
ten,4
tensor,8
terbium,1
term,47
test,5
testing,1
tfim,1
thank,1
theoretic,1
theory,16
thermalization,2
thermalize,1
thermodynamic,5
thermometry,1
thesewavelength,1
theta,1
theultraviolet,1
thing,1
thompson,1
thorn,1
thousand,3
threat,1
threshold,10
throughput,1
thz,1
time,3
timescale,4
timestampe,1
tion,1
tis,1
today,5
toffoli,5
tolerance,8
tomography,12
tone,1
tool,16
toolbox,3
toolchain,1
toolflow,1
top,1
topic,1
topological order,3
topology,3
torus,1
total,2
toy,2
track,2
trade,5
train,6
trait,1
trajectory,1
transfer,11
transferability,1
transform,5
transformation,6
transformer,1
transition,41
transitionless,1
translation,1
transmission,2
transmon,5
transparency,1
transpilation,1
transport,8
transvection,1
transversal,2
transverse,3
trap,60
trapped ion,198
treatment,2
tree,1
trial,1
triangular,1
triple,1
triplet,1
trotter,5
trotterization,1
trouble,1
truncation,1
tsirelson,1
tune,1
tunneling,1
turn,2
tweezer,10
twirl,1
type,28
ubiquity,1
ultraviolet,3
uncertainty,4
understand,6
unit,4
universality,2
unknown,1
upgrade,3
upswing,1
usage,2
usefulness,2
user,7
utility,6
utilization,2
vacancy,6
vacuum,6
valence,1
validation,1
validity,3
value,12
variable,4
variance,1
variant,7
variation,5
variational,2
variety,12
vasmer,1
vector,5
verification,7
versatility,2
version,7
vertex,1
vertical,1
viability,1
vibration,2
victim,1
view,1
violation,2
violet,1
visibility,1
voltage,3
volume,7
vqe,4
vulnerability,2
w state,2
waist,1
wait,1
walker,1
walsh,2
waste,1
wave,8
waveform,2
wavefront,1
wavefunction,1
waveguide,3
wavelength,13
wavepacket,2
way,34
weight,3
weightage,1
well,1
width,2
wilmer,1
window,1
windowe,1
wire,3
wiring,1
witness,3
word,1
work,1
world,5
wormhole,1
yag,1
yanase,1
year,3
yield,1
ytterbium,1
zeeman,4
zehnder,2
zeilinger,5
zeno,1
zero,2
zeta,2
zne,1
zno,1
zoller,1
zone,2
