,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
interaction,0.3205600851290283,0.19278507708475195,0.024397501823713332,0.3372266367167312,0.2347289502760154,0.3310970254028589,0.1835557745535881,0.18768337412695632,0.3118724702341802,0.057863756235784464,1.0,0.25664471656093313,0.2807449625374386,0.1552647508520297,0.1557522394953495,0.24854790640048002,0.17699808135119716,0.0890870806374748,0.20203050891044216,0.08347838711296822,0.23145502494313788,0.1403724812687193,0.2609583752397079,0.26588478001318816,0.11879774082787287,0.21912524504463884,0.1653808143141725,0.10434798389121028,0.23643312187173018,0.06043672230190352,0.18093671611393647,0.1315903389919538,0.11664236870396086,0.20965696734438366,0.07862136275414387,0.14888750009563953,0.02037847864848056,0.08451542547285165,0.05613608914238398,0.291691675598474,0.4083587323137027,0.1350154312168304,0.06043672230190352,0.06734350297014739,0.0708683386892301,0.08451542547285165,0.029160592175990215
entanglement,0.37649606679038317,0.21934923683079918,0.07012868733182766,0.35248409726762797,0.426132494537061,0.4029772315175105,0.26380827050719763,0.23976933297215,0.3361697712509187,0.40657169902501505,0.25664471656093313,1.0,0.20174479174172597,0.13223592098145726,0.14923249360698765,0.11907187971460044,0.13567119229501817,0.06401843996644799,0.14518017554874818,0.059988003598800424,0.28090408296273767,0.15130859380629447,0.2833726933853859,0.25475491628290936,0.17886770013404524,0.11451966686277364,0.24488966562419276,0.17996401079640126,0.2642921125218623,0.07720914364821829,0.22064350631794763,0.14184225406153775,0.08381981343406689,0.15066058828554763,0.15066058828554763,0.07132755515482112,0.13667808797729797,0.14171085778131032,0.16135874369200778,0.17079427586224766,0.34576902394065556,0.1663247859647789,0.23162743094465488,0.11291791431569304,0.1358036190637778,0.0809776330178916,0.0
field,0.29466310815130764,0.2959875583652744,0.04794633014853841,0.36148513987726677,0.26706424826738423,0.3605100934052177,0.14429060534161728,0.18441906643360348,0.2489891522651298,0.07580980435789034,0.2807449625374386,0.20174479174172597,1.0,0.2712254014483242,0.17855051462249658,0.10684843940271613,0.278271390421586,0.0875376219064817,0.2977750001912791,0.10253309789938274,0.1364576478442026,0.06896551724137931,0.25641962248175915,0.3842063884033406,0.30016680568428156,0.11744404390294069,0.17727753470907498,0.34861253285790134,0.21296085048215074,0.13856632693135676,0.11313893217116629,0.21011515974645167,0.05730682550612528,0.23176179118107212,0.0772539303936907,0.048765984909417075,0.10012021643290916,0.10380684981717496,0.14709262627058442,0.1592324388246205,0.35459859027204105,0.17057205980525325,0.11877113736973437,0.13234444452945737,0.06963575181639445,0.041522739926869986,0.08596023825918793
trap,0.3696305540766158,0.29101262323732424,0.04714045207910317,0.22706706980765207,0.35805743701971643,0.4841277425958686,0.14186538042638172,0.16620941843426235,0.07532435771547094,0.20497289793748072,0.1552647508520297,0.13223592098145726,0.2712254014483242,1.0,0.2382456847233716,0.09004503377814962,0.20519567041703082,0.10758287072798381,0.2602400194529422,0.04032389192727559,0.2385139175999776,0.08475793795260131,0.13445852909056286,0.3928586253900746,0.32791291789197646,0.1539600717839002,0.34859573626447604,0.22178140560001575,0.22841609628806428,0.17516226243634267,0.19069251784911845,0.19069251784911845,0.1690308509457033,0.32914029430219166,0.12659242088545833,0.09589266029707683,0.21656228851349338,0.22453655975512465,0.16269784336399212,0.15655607277128739,0.3853373177942262,0.14907119849998599,0.33086205126864726,0.19518001458970663,0.20539595906443728,0.040824829046386304,0.08451542547285165
quantum computer,0.5110904246923234,0.38534274621449915,0.3191971059593589,0.4233736919305071,0.34122255701223136,0.53984953076231,0.20012456071317383,0.3183051524398961,0.170011924865721,0.09813512696610775,0.1557522394953495,0.14923249360698765,0.17855051462249658,0.2382456847233716,1.0,0.42905681456828765,0.1929749328978031,0.32376195411908804,0.2202669294643057,0.39439235418323726,0.20187797547313593,0.26782577193374485,0.1264506486713626,0.1477845350613803,0.20970082738386556,0.17374889710522776,0.34969023106517033,0.09101362019613167,0.18617077379101657,0.33678176227801804,0.34671537239763756,0.31084826490822676,0.23314714686961358,0.09524241471993242,0.1142908976639189,0.2525085593478303,0.2518034991693815,0.24571804673358047,0.25841372730180107,0.20023571015840683,0.3313261466250329,0.23832816548911884,0.20499759443009796,0.42829680729170555,0.10302042296151677,0.09214426752509268,0.2119519516996487
circuit,0.386807031424972,0.2725241114884371,0.23346199798790487,0.42670459765013197,0.22568905807670633,0.34251877734630537,0.2554854594488718,0.29932665394319513,0.11869522585912262,0.08389450690175304,0.24854790640048002,0.11907187971460044,0.10684843940271613,0.09004503377814962,0.42905681456828765,1.0,0.20016588663317567,0.3681175226887611,0.11716660671033247,0.3267869589592187,0.22819305877276827,0.19843281603361568,0.09080492095290035,0.01360575699741796,0.08858078930362388,0.17329174830334546,0.22234098016521361,0.10892898631973959,0.1371182340382122,0.24534987303147357,0.28618190351607126,0.3434182842192855,0.1014692578863682,0.09119215051751065,0.13678822577626595,0.25903973506580735,0.19500358584270897,0.2389447521804875,0.2767247306920301,0.21145645291297535,0.3221930381127963,0.16778901380350608,0.10514994558491723,0.26362486509824806,0.10274936706584831,0.18380365552345193,0.1522038868295523
phase,0.37923294675184877,0.26274393343000685,0.07254762501100116,0.28361065854928985,0.293887343348258,0.3015706400108091,0.18193851153474075,0.1395223079123588,0.21252319110217674,0.1338258447578277,0.17699808135119716,0.13567119229501817,0.278271390421586,0.20519567041703082,0.1929749328978031,0.20016588663317567,1.0,0.06622661785325219,0.21693800887276218,0.10342860047301515,0.21412135161252432,0.10435177140809475,0.2414151951752265,0.3255520517955039,0.3532531328825567,0.15795970073575796,0.14902153293189088,0.3516572416082515,0.25387913423096475,0.17971268936194612,0.16303866268150616,0.13043093014520493,0.08671099695241201,0.1818335167131459,0.07792865001991968,0.12297974198582044,0.12119357448701654,0.10471347707292387,0.18547162802488576,0.17668545570588978,0.35769557999243984,0.17206180040292132,0.11980845957463075,0.13350031315246902,0.1404878717372541,0.04188539082916955,0.08671099695241201
fault,0.3740145623914995,0.3606678538669729,0.5781515884776753,0.25490637096729085,0.24653342054454627,0.3013422885820913,0.22893427324781504,0.23408229439226114,0.09724332766526303,0.07216878364870322,0.0890870806374748,0.06401843996644799,0.0875376219064817,0.10758287072798381,0.32376195411908804,0.3681175226887611,0.06622661785325219,1.0,0.1679842102263232,0.10411584125907071,0.21169509870286277,0.24072846024282468,0.15188706281096118,0.07802743146408704,0.10583343916682543,0.049690399499995326,0.26252051021607226,0.052057920629535355,0.12286829679574762,0.15075567228888181,0.06154574548966636,0.16412198797244362,0.21821789023599236,0.03268602252303067,0.2288021576612147,0.030949223029508647,0.12708214194383724,0.18446619684315546,0.16336600980326782,0.18190171877724975,0.165822779387697,0.048112522432468816,0.3266372899592439,0.27297434161777523,0.05892556509887897,0.05270462766947299,0.07273929674533079
control,0.4192180227447885,0.3180791490757986,0.06900655593423542,0.2986712117249747,0.32613306031348566,0.32903485130915994,0.19036384827209385,0.2211869776019044,0.147018092378659,0.07273929674533079,0.20203050891044216,0.14518017554874818,0.2977750001912791,0.2602400194529422,0.2202669294643057,0.11716660671033247,0.21693800887276218,0.1679842102263232,1.0,0.059028133610095526,0.21821789023599236,0.21505972236036824,0.2624361766960655,0.36864496266984065,0.2720087044178143,0.0939060283031685,0.21262162778128113,0.2557885789770806,0.2786391062876764,0.09496714704969829,0.07754035086653924,0.15508070173307847,0.19245008972987526,0.12354155277685021,0.19766648444296034,0.07018624063435965,0.076852055693898,0.19920476822239894,0.21170244960998527,0.27500954910846337,0.3850043050343484,0.0909241209316635,0.18993429409939658,0.2222222222222222,0.2449894717530557,0.03984095364447979,0.02749286996141075
algorithm,0.24170177052331543,0.2534708498881284,0.14256648712805026,0.23885812130000622,0.11550615515312267,0.2928287215714755,0.21452116007007205,0.20106631878715567,0.09112113780030293,0.09016696346674323,0.08347838711296822,0.059988003598800424,0.10253309789938274,0.04032389192727559,0.39439235418323726,0.3267869589592187,0.10342860047301515,0.10411584125907071,0.059028133610095526,1.0,0.09016696346674323,0.14354633705913583,0.1016604599202806,0.05483626876013336,0.07933635037580193,0.06984302957695782,0.15813828894867524,0.024390243902439025,0.0460531299058504,0.40024936794580945,0.21146027322991792,0.24990759563535755,0.03407990882954985,0.0,0.12251277836633775,0.4350110929243062,0.09526510164590819,0.17285267941367818,0.26242441010441725,0.09469425238482128,0.22197571940400895,0.3155843721336013,0.09417632186960222,0.2951406680504776,0.027607881518711633,0.04938647983247948,0.10223972648864954
information,0.38421966438354244,0.34358227615493336,0.18973665961010278,0.3620388442644453,0.3095810973565018,0.4020872299740707,0.22205444400108035,0.2838096989277841,0.18527342263463417,0.2,0.23145502494313788,0.28090408296273767,0.1364576478442026,0.2385139175999776,0.20187797547313593,0.22819305877276827,0.21412135161252432,0.21169509870286277,0.21821789023599236,0.09016696346674323,1.0,0.21226745220209298,0.21046088784079206,0.25678020379180466,0.1613118265234886,0.1893458524812515,0.24683652493541974,0.18033392693348646,0.15322617553657475,0.19148542155126763,0.19898733526523643,0.19898733526523643,0.17638342073763938,0.1358732440973515,0.15851878478024342,0.08576900278702358,0.1584811631386123,0.16431676725154984,0.25870466670542186,0.3080616184861622,0.37748057233662036,0.13333333333333333,0.24370871833797697,0.13093073414159542,0.18371173070873836,0.2556038601690775,0.10079052613579392
protocol,0.3454670923153262,0.33150606536910737,0.23973165074269207,0.26107260102247043,0.2063678282066151,0.3517171642977734,0.2344722336801281,0.3073651107226725,0.11491807027621376,0.18952451089472586,0.1403724812687193,0.15130859380629447,0.06896551724137931,0.08475793795260131,0.26782577193374485,0.19843281603361568,0.10435177140809475,0.24072846024282468,0.21505972236036824,0.14354633705913583,0.21226745220209298,1.0,0.1880410564866234,0.09220953321680174,0.10005560189476051,0.11744404390294069,0.2215969183863437,0.0820264783195062,0.17424069584903243,0.21774708517784636,0.19395245515057077,0.1454643413629281,0.11461365101225056,0.051502620262460476,0.1545078607873814,0.048765984909417075,0.20024043286581833,0.20761369963434992,0.20225236112205358,0.2547719021193928,0.33593550657351257,0.1326671576263081,0.17815670605460154,0.1819736112280039,0.16248342090492038,0.0,0.05730682550612528
scheme,0.31230393219936836,0.30520720828475884,0.1426148065624585,0.33849702495071604,0.28886325786964756,0.331287583678427,0.196711044554108,0.16761205442751598,0.24687005711339433,0.2630761098009901,0.2609583752397079,0.2833726933853859,0.25641962248175915,0.13445852909056286,0.1264506486713626,0.09080492095290035,0.2414151951752265,0.15188706281096118,0.2624361766960655,0.1016604599202806,0.21046088784079206,0.1880410564866234,1.0,0.33522410885503195,0.21494210697155464,0.1552593359305552,0.24900574658474217,0.18298882785650508,0.23034369245626127,0.11776030079682893,0.17627661877765757,0.12820117729284186,0.19886684640449762,0.15319287635644957,0.10212858423763305,0.1692283169604033,0.0794144911909375,0.18526206815833912,0.10938056352464587,0.2052404178339686,0.37933704412980207,0.15032920560056579,0.15701373439577193,0.19682713252204914,0.16110055813220658,0.04116934847963091,0.08522864845907041
laser,0.4709596260866301,0.42212979373356885,0.06410607647560324,0.3938158499301068,0.4111773996687571,0.44674633062183505,0.1929220558087442,0.1506849315068493,0.23901088316934374,0.2027212135198458,0.26588478001318816,0.25475491628290936,0.3842063884033406,0.3928586253900746,0.1477845350613803,0.01360575699741796,0.3255520517955039,0.07802743146408704,0.36864496266984065,0.05483626876013336,0.25678020379180466,0.09220953321680174,0.33522410885503195,1.0,0.44592721674469715,0.03489492817268092,0.1975223679313025,0.36557512506755574,0.34513551386421487,0.07057846732405855,0.1440676931430326,0.08644061588581957,0.22986424990745863,0.25249023184268876,0.18362925952195544,0.08693598163686228,0.053545822852493555,0.09252915127470066,0.06555615497221295,0.19870653453128084,0.4491586156553547,0.23650808243982008,0.26466925246521955,0.14745798506793625,0.18621132493553277,0.037011660509880265,0.025540472211939846
frequency,0.42258528987239335,0.32063404272194196,0.09274777915203367,0.30107021581983356,0.36397614273277923,0.42522787689392944,0.24422732692821814,0.11891392446525256,0.14819897956091452,0.21997067253202995,0.11879774082787287,0.17886770013404524,0.30016680568428156,0.32791291789197646,0.20970082738386556,0.08858078930362388,0.3532531328825567,0.10583343916682543,0.2720087044178143,0.07933635037580193,0.1613118265234886,0.10005560189476051,0.21494210697155464,0.44592721674469715,1.0,0.11359236684941297,0.20004082882557592,0.39668175187900967,0.3183275016660837,0.09572994763343544,0.17195898485719865,0.10942844490912643,0.19399589841579265,0.19925419255468715,0.07472032220800769,0.07074999459548674,0.09683668899794137,0.10040241611281235,0.1067014491044368,0.1232082207267395,0.3610202407159216,0.2566324512873683,0.13402192668680962,0.11200358417204118,0.11225331376673432,0.0,0.027713699773684663
dynamic,0.12689023237109684,0.2285020542545617,0.05443310539518173,0.28499398669032056,0.1515980089423659,0.28949382831381526,0.12285902336679023,0.17447464086340458,0.15220988371246985,0.02151657414559676,0.21912524504463884,0.11451966686277364,0.11744404390294069,0.1539600717839002,0.17374889710522776,0.17329174830334546,0.15795970073575796,0.049690399499995326,0.0939060283031685,0.06984302957695782,0.1893458524812515,0.11744404390294069,0.1552593359305552,0.03489492817268092,0.11359236684941297,1.0,0.11740274126621311,0.06984302957695782,0.0879173964527716,0.13483997249264842,0.36698792170878686,0.14679516868351475,0.03253000243161777,0.08770580193070292,0.0,0.027681826617913324,0.09093257859606313,0.09428090415820634,0.10437071518085823,0.16269784336399212,0.2542566904654913,0.10758287072798381,0.11236664374387369,0.1690308509457033,0.15811388300841897,0.0,0.1301200097264711
quantum computing,0.42660338662601505,0.28404812704708055,0.18487080675399623,0.3097354397518004,0.39525477029572115,0.4294463130333543,0.20090552113195903,0.1975223679313025,0.21334421823384608,0.27606716604619314,0.1653808143141725,0.24488966562419276,0.17727753470907498,0.34859573626447604,0.34969023106517033,0.22234098016521361,0.14902153293189088,0.26252051021607226,0.21262162778128113,0.15813828894867524,0.24683652493541974,0.2215969183863437,0.24900574658474217,0.1975223679313025,0.20004082882557592,0.11740274126621311,1.0,0.15813828894867524,0.16588516095874006,0.20353605946582748,0.1661864966493505,0.20773312081168813,0.09820572322804726,0.13238873449220634,0.13238873449220634,0.06267707347241022,0.20588915566767577,0.4091516385047715,0.1890525816537108,0.3547360664534818,0.4077782289487792,0.2273494308615708,0.22049739775464644,0.34019460445004984,0.23866718525271902,0.106735210044723,0.1473085848420709
transition,0.3504675672588074,0.2253074221227808,0.028513297425610054,0.3224584637550084,0.27432711848866637,0.2928287215714755,0.15016481204905044,0.16450880628040007,0.2278028445007573,0.22541740866685805,0.10434798389121028,0.17996401079640126,0.34861253285790134,0.22178140560001575,0.09101362019613167,0.10892898631973959,0.3516572416082515,0.052057920629535355,0.2557885789770806,0.024390243902439025,0.18033392693348646,0.0820264783195062,0.18298882785650508,0.36557512506755574,0.39668175187900967,0.06984302957695782,0.15813828894867524,1.0,0.1842125196234016,0.14126448280440332,0.057670983608159435,0.15378928962175847,0.10223972648864954,0.09188458377475332,0.12251277836633775,0.02900073952828708,0.047632550822954096,0.07407971974871923,0.08747480336813908,0.09469425238482128,0.3662599370166148,0.15779218606680065,0.16480856327180388,0.059028133610095526,0.05521576303742327,0.09877295966495896,0.03407990882954985
mode,0.39932903893028643,0.21271029558534027,0.026919095102908276,0.24805370021363737,0.32714432804381227,0.36531741567272696,0.14176897172994185,0.12079742985247521,0.2795860558525712,0.06384423980690615,0.23643312187173018,0.2642921125218623,0.21296085048215074,0.22841609628806428,0.18617077379101657,0.1371182340382122,0.25387913423096475,0.12286829679574762,0.2786391062876764,0.0460531299058504,0.15322617553657475,0.17424069584903243,0.23034369245626127,0.34513551386421487,0.3183275016660837,0.0879173964527716,0.16588516095874006,0.1842125196234016,1.0,0.08891084489487741,0.18148850216015694,0.19963735237617264,0.1608723630219467,0.20241022618818408,0.02891574659831201,0.13689641954834839,0.022484687520664393,0.11656310103003922,0.10323001737691674,0.17879963496303788,0.3248255502886646,0.23409554595865587,0.17782168978975482,0.11145564251507056,0.13032150878567172,0.04662524041201569,0.09652341781316803
hardware,0.23331648330687904,0.2718636239135184,0.1926686588971131,0.2075143391598224,0.18118576883486967,0.3331464348979316,0.186370957476581,0.19409078514116102,0.10994987428338561,0.10879853497231115,0.06043672230190352,0.07720914364821829,0.13856632693135676,0.17516226243634267,0.33678176227801804,0.24534987303147357,0.17971268936194612,0.15075567228888181,0.09496714704969829,0.40024936794580945,0.19148542155126763,0.21774708517784636,0.11776030079682893,0.07057846732405855,0.09572994763343544,0.13483997249264842,0.20353605946582748,0.14126448280440332,0.08891084489487741,1.0,0.25979436665882194,0.24123762618319178,0.09869275424396534,0.08869685939836239,0.05913123959890826,0.2519516299301344,0.29887031841660683,0.2383656473113981,0.16888013236829963,0.1645362954286044,0.25712973861329,0.2175970699446223,0.25,0.26590801173915524,0.13325044772225653,0.04767312946227962,0.19738550848793068
simulation,0.3048033774306362,0.33296357910601343,0.11236664374387369,0.32004341367744615,0.2617356844329189,0.4038979796084454,0.152171249563855,0.17288123177163914,0.23341161070712593,0.08883363181483768,0.18093671611393647,0.22064350631794763,0.11313893217116629,0.19069251784911845,0.34671537239763756,0.28618190351607126,0.16303866268150616,0.06154574548966636,0.07754035086653924,0.21146027322991792,0.19898733526523643,0.19395245515057077,0.17627661877765757,0.1440676931430326,0.17195898485719865,0.36698792170878686,0.1661864966493505,0.057670983608159435,0.18148850216015694,0.25979436665882194,1.0,0.22727272727272727,0.05372153093502535,0.19312181983410703,0.04828045495852676,0.18286012835299778,0.15017021115565557,0.11677484162422844,0.24130758866434227,0.19405146605862295,0.31491832864888675,0.23096744271857797,0.22268088570756164,0.24812912277292554,0.19583736295016008,0.03892494720807615,0.16116459280507606
number,0.34290379960946565,0.2552720773146103,0.13483997249264842,0.30121733051994937,0.2844953091662162,0.3791695318773161,0.23671083265488557,0.27372861697176193,0.12568317499614473,0.12436708454077276,0.1315903389919538,0.14184225406153775,0.21011515974645167,0.19069251784911845,0.31084826490822676,0.3434182842192855,0.13043093014520493,0.16412198797244362,0.15508070173307847,0.24990759563535755,0.19898733526523643,0.1454643413629281,0.12820117729284186,0.08644061588581957,0.10942844490912643,0.14679516868351475,0.20773312081168813,0.15378928962175847,0.19963735237617264,0.24123762618319178,0.22727272727272727,1.0,0.13430382733756338,0.19312181983410703,0.2172620473133704,0.13714509626474833,0.22525531673348334,0.23354968324845687,0.17236256333167305,0.28361368116260277,0.31491832864888675,0.15990053726670783,0.18556740475630137,0.201604912253002,0.17407765595569785,0.19462473604038075,0.16116459280507606
