DOI,Institutions
10.1063/1.4807152,"Inst Photon Technol,Novosibirsk State Tech Univ"
10.1109/TNS.2022.3226141,"Fed Univ Parana UFPR,Los Alamos Natl Lab,Univ Trento"
10.1109/TAP.2024.3427362,"Purdue Univ,Pohang Univ Sci & Technol POSTECH"
10.1088/2058-9565/ac1c41,"Colorado Sch Mines,Univ Texas Austin,CALTECH,Harvard Smithsonian Ctr Astrophys,Harvard Univ,MIT,Univ Maryland,Univ Calif Berkeley,Brookhaven Natl Lab,Univ Padua,Ist Nazl Fis Nucl INFN,Univ Saarland"
10.1038/srep00571,"Harvard Univ,D Wave Syst Inc"
10.1007/s11128-022-03816-y,"Yanbian Univ,Fujian Normal Univ,Fujian Prov Engn Technol Res Ctr Solar Energy Conv,Fujian Prov Collaborat Innovat Ctr Adv High"
10.1038/nature10462,"NTT Corp,Res Org Informat & Syst,Osaka Univ,PRESTO JST"
10.1103/PhysRevD.110.115021,"Kyoto Univ,Univ Tokyo,QUP WPI"
10.1063/5.0083972,"Southwest Jiaotong Univ,Yokohama Natl Univ"
10.1063/5.0173126,"Natl Univ Singapore,Agcy Sci Technol & Res"
10.1038/s41467-024-52271-z,"Harvard Univ,Max Planck Inst Chem Phys Solids,Univ Basel,Weizmann Inst Sci,Northrop Grumman Miss Syst"
10.1088/1367-2630/13/9/093037,"Univ Catania,CNR IMM MATIS,CIRA"
10.1103/PhysRevA.101.012302,"Rigetti Comp,Google,Atom Comp,Microsoft,IBM Quantum"
10.1109/TASC.2024.3354676,"Chinese Acad Sci,CAS Ctr Excellence Superconducting Elect CENSE,Univ Chinese Acad Sci,Shanghai Univ"
10.1016/j.optlastec.2021.107190,"Xiangtan Univ,China Gen Technol Res Inst,Masaryk Univ,Jinan Univ,South China Agr Univ"
10.1103/PhysRevA.95.022305,"Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1209/0295-5075/126/67002,"Nanjing Normal Univ,Southeast Univ"
10.1103/PhysRevLett.133.050203,"Univ Fed Sao Carlos,CSIC,Univ Milan,INFN Sez Milano,Univ Cote Azur"
10.1126/sciadv.1500838,"Austrian Acad Sci,Univ Innsbruck"
10.1007/s11467-023-1322-2,"Anqing Normal Univ,South China Normal Univ"
10.1103/PhysRevA.106.012405,"Chuo Univ,Sanyo Onoda City Univ,NTT Corp"
10.1038/nphys2545,"Univ Stuttgart,Univ Ulm,Ruhr Univ Bochum,GSI Helmholtzzentrum Schwerionenforsch,Tech Univ Darmstadt"
10.1016/j.crhy.2012.01.001,"Scuola Normale Super Pisa,Ist NanoSci CNR"
10.1002/qute.201800043,"Univ St Andrews,TU Wien,Bar Ilan Univ"
10.1103/PhysRevApplied.12.011005,"QuTech,Delft Univ Technol"
10.1103/PhysRevApplied.13.044005,"NIST,Raytheon BBN Technol,Free Univ Berlin"
10.1140/epjqt/s40507-021-00105-y,"Univ Lisbon,Phys Informat & Quantum Technol Grp,Aalto Univ"
10.1038/ncomms7182,"Karlsruhe Inst Technol,Univ Sherbrooke,Univ Queensland,RMIT Univ,Natl Univ Sci & Technol"
10.1038/s41567-021-01237-9,"NIST,Univ Colorado,Texas A&M Univ,Univ Oregon,Stanford Univ,Univ Oxford,Southern Illinois Univ"
10.1088/1674-1056/ad8a49,"Southern Univ Sci & Technol,Int Quantum Acad,Hefei Natl Lab"
10.1002/qute.202300007,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1038/s41586-021-04182-y,"RIKEN,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1038/srep01180,"RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1103/PhysRevB.91.134513,"Natl Inst Adv Ind Sci & Technol,Univ Loughborough,RIKEN,Moscow Inst Steel & Alloys"
10.1038/s41534-017-0017-3,"Raytheon BBN Technol,IBM TJ Watson Res Ctr"
10.1038/ncomms12964,"MIT,Univ Calif Berkeley"
10.1063/1.5020514,"Univ Waterloo,NIST"
10.1103/PhysRevApplied.20.014024,"Univ Basque Country UPV EHU,Kipu Quantum,Shanghai Univ,Basque Fdn Sci"
10.1103/PhysRevX.11.031049,"Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1103/PhysRevA.109.032412,"Czech Acad Sci,Charles Univ Prague,Palacky Univ"
10.1088/0953-4075/45/12/124018,"Northwestern Univ,Texas A&M Univ"
10.1103/PhysRevB.110.035413,"Marie Curie Sklodowska Univ,Adam Mickiewicz Univ"
10.1103/PhysRevA.87.032325,"Univ Basque Country,Univ Santiago Chile,Ctr Dev Nanosci & Nanotechnol,Austrian Acad Sci,Univ Liege,Basque Fdn Sci"
10.1103/PhysRevB.110.165157,"Univ Liege,CSIC"
10.1002/admi.202201244,"Univ Tokyo,Natl Inst Mat Sci,JST"
10.1038/s41586-019-1427-5,"Univ Maryland,Natl Sci Fdn,IonQ Inc,Honeywell,IBM Thomas J Watson Res Ctr"
10.1103/PhysRevA.96.062323,"Rhein Westfal TH Aachen,IBM Res Zurich,ETH"
10.1038/nature13171,"Univ Calif Santa Barbara,Univ Calif Riverside,Univ Melbourne"
10.1021/acs.nanolett.7b03571,"Korea Adv Inst Sci & Technol,GIST"
10.1002/anie.201302971,"Ecole Normale Super,Coll France"
10.1038/srep29374,"Univ Crete,Univ Belgrade,Natl Univ Sci & Technol MISIS,Fdn Res & Technol Hellas,Nazarbayev Univ"
10.1038/nature12513,"Delft Univ Technol,Univ Colorado"
10.1063/5.0101398,"KTH Royal Inst Technol,Intermodulat Prod AB,Chalmers Univ Technol"
10.3390/nano12234155,"CNR ISASI,Univ Napoli Federico II,CNR SPIN,CNR Ist Nazl Ott CNR INO"
10.1088/2058-9565/ac0f36,"Dodd Walls Ctr Photon & Quantum Technol,Univ Otago,IST Austria,Max Planck Inst Sci Light,Russian Acad Sci"
10.1088/1361-6668/ab8617,"Lawrence Berkeley Natl Lab,Univ Calif Berkeley,MIT"
10.1038/s41598-018-26066-4,"KIT,Univ Glasgow"
10.1038/s41586-021-03557-5,"Univ Wisconsin,Fermilab Natl Accelerator Lab,Univ Chicago,Stanford Univ,Ist Nazl Fis Nucl,Sorbonne Univ,Google Inc,Lawrence Livermore Natl Lab"
10.1103/PhysRevA.93.013412,"Univ Maryland,NIST"
10.1103/PhysRevA.103.032224,"Aix Marseille Univ,Ecole Normale Super"
10.1038/s41598-020-70766-9,"Nagoya Univ,Natl Inst Informat & Commun Technol"
10.22331/q-2023-05-31-1024,"Palacky Univ,Tech Univ Denmark"
10.1103/PhysRevB.105.L140301,"Univ Chicago,Lab Phys Sci"
10.1088/1361-648X/ac268f,"Purdue Univ,Univ Wyoming,NIST,Univ Calif Irvine,Univ Wisconsin,Aarhus Univ,Tohoku Univ"
10.1038/s41586-022-04854-3,"Zhejiang Univ,Tsinghua Univ,Alibaba Zhejiang Univ,Univ Maryland,NIST,Iowa State Univ,Ames Lab,QuEra Comp Inc,Colorado Sch Mines,Natl Inst Stand & Technol,Shanghai Qi Zhi Inst"
10.1103/PhysRevX.5.031031,"Max Planck Inst Quantum Opt,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Donostia Int Phys Ctr,IKERBASQUE,Delft Univ Technol"
10.1038/nature16984,"Florida State Univ,Univ Valencia"
10.1103/PhysRevB.101.054510,"Univ Minnesota,Univ Calif Santa Barbara"
10.1007/s11128-015-1152-4,"NIST,IBM Corp,CUNY"
10.1140/epjqt/s40507-023-00192-z,"Riverlane,Natl Phys Lab"
10.1038/s41598-022-05061-w,"Keio Univ,Mitsubishi Chem Corp"
10.1103/PhysRevA.101.022308,"Aarhus Univ,Univ Amsterdam,QuSoft"
10.1038/nature13017,"Yale Univ,Peter Grunberg Inst PGI 2"
10.1103/PhysRevA.94.052321,"Austrian Acad Sci,Univ Innsbruck,Univ Siegen"
10.1039/d0nr08554e,"Siberian Fed Univ,Uppsala Univ,Bohdan Khmelnytsky Natl Univ,Natl Res Tomsk Polytech Univ,Univ Helsinki,Henan Univ"
10.1038/nature15263,"Univ New S Wales,Keio Univ"
10.1016/j.physleta.2020.126743,"Univ Tabriz,Imam Khomeini Int Univ"
10.1038/NMAT3182,"Princeton Univ,Keio Univ,Univ Oxford,Inst Kristallzuchtung,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Univ Calif Berkeley,Simon Fraser Univ"
10.1038/srep18414,"Shandong Univ,Natl Univ Singapore,Uppsala Univ,UMI 3654,Nanyang Technol Univ"
10.1109/ACCESS.2021.3139085,"Penn State Univ,IBM Corp"
10.1103/PhysRevB.92.134204,"Austrian Acad Sci,Univ Innsbruck,Tech Univ Munich"
10.1126/sciadv.aay3050,"Delft Univ Technol,Leiden Univ,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevA.101.052327,"Fudan Univ,Collaborat Innovat Ctr Adv Microstruct,Shanghai Res Ctr Quantum Sci"
10.1038/s41598-020-59749-y,"Karlsruhe Inst Technol,Google,Natl Univ Sci & Technol MISIS,Russian Quantum Ctr"
10.1038/NPHYS4251,"JILA,Univ Colorado,NIST,Yale Univ,Rigetti Comp"
10.1038/s41586-020-2171-6,"Univ New South Wales,Univ Sherbrooke,Aalto Univ,Keio Univ,Canadian Inst Adv Res,Univ Sydney,IQM Finland Oy"
10.1038/s41567-018-0210-0,"Univ Colorado,NIST"
10.3390/e25020387,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1007/s10836-022-05987-z,"Guangxi Univ Sci & Technol,Jinggangshan Univ"
10.1088/0953-2048/29/6/064004,"Univ Waterloo,Univ Montpellier"
10.1063/1.5129135,"Katholieke Univ Leuven,IMEC,Univ Antwerp"
10.1038/nature10012,"D Wave Syst Inc,Univ Agder,Simon Fraser Univ"
10.1038/s41586-024-07294-3,"Alice & Bob,Univ PSL,Ecole Normale Super Lyon"
10.1103/PhysRevLett.117.015301,"Boston Univ,Univ Calif Berkeley"
10.1088/1367-2630/13/6/063015,"Karlsruhe Inst Technol,DFG CFN"
10.1103/PhysRevX.11.041039,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,MIT,Quantum Benchmark Inc,Keysight Technol Canada,Univ Waterloo,Google Quantum AI"
10.1038/s41586-020-2619-8,"MIT,Pacific Northwest Natl Lab,Harvard Univ"
10.1088/1402-4896/ac97ca,"Acad Sci & Innovat Res AcSIR,Natl Phys Lab"
10.1103/PhysRevApplied.11.014064,"Hebrew Univ Jerusalem,Max Planck Inst Biophys Chem"
10.1088/1361-6668/ace660,"Chinese Acad Sci,CAS Ctr Excellence Superconducting Elect CENSE,Univ Chinese Acad Sci,Shanghai Univ"
10.1088/1361-6668/aae548,"Univ Waterloo,McMaster Univ"
10.1038/s41586-020-2603-3,"Yale Univ,INRIA Paris,Natl Univ Singapore,Univ Texas Austin"
10.1038/NNANO.2016.188,"Delft Univ Technol,ETH"
10.1103/RevModPhys.85.1083,"Ecole Normale Super,Coll France"
10.1016/j.rinp.2022.105778,"Natl Taiwan Normal Univ,Minghsin Univ Sci & Technol"
10.1088/2058-9565/ac82c3,"Argonne Natl Lab,Univ Chicago"
10.1039/c9mh01594a,"CSIC,Univ Zaragoza,Ctr Univ Def"
10.1038/nature11559,"Princeton Univ,Joint Quantum Inst NIST"
10.1088/1674-1056/ad1747,"Univ Sci & Technol China,Suzhou Univ"
10.1038/s41567-023-02071-x,"Delft Univ Technol,Jozef Stefan Inst,Univ Ljubljana,Univ Copenhagen,CSIC,Leiden Univ,Univ Roma La Sapienza,Univ Illinois"
10.1038/s41467-019-13000-z,"Swiss Fed Inst Technol,IBM Res Zurich,Univ Wisconsin,Univ New South Wales"
10.1063/1.4893242,"UNSW Australia,Bayer Akad Wissensch,NIM"
10.1038/s41563-021-01022-2,"IST Austria,Politecn Milan,Univ Konstanz,Autonomous Univ Barcelona,Catalan Inst Res & Adv Studies"
10.1103/PhysRevA.104.032407,"Delft Univ Technol,Forschungszentrum Julich"
10.22331/q-2017-05-11-11,"Univ Sherbrooke,Rigetti Quantum Comp,INRIA Paris,Canadian Inst Adv Res"
10.1038/s41467-024-45235-w,"Univ Basel,Lund Univ,Ecole Polytech Fed Lausanne,Univ Twente"
10.1103/PRXQuantum.5.020339,"Univ Rhode Isl,Univ Maryland,NIST,Univ Calif Los Angeles"
10.1103/PhysRevLett.118.147701,"Univ Basel,IBM Res Zurich"
10.1038/s41567-024-02694-8,"Delft Univ Technol,QuTech & Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevB.101.195438,"Uppsala Univ,Univ Konstanz"
10.1103/PhysRevA.85.052125,"Univ Guadalajara,Los Alamos Natl Lab"
10.1103/PhysRevB.105.024507,"Harvard Univ,Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Swiss Fed Inst Technol"
10.1103/PhysRevB.94.205421,"Lab Phys Sci,Univ Maryland,NIST"
10.1126/science.abf0345,"Yale Univ,QuTech,Delft Univ Technol,Univ Politecn Cartagena,Univ Autanoma Madrid,Univ Copenhagen,Univ Autonoma Madrid,Chalmers Univ Technol,MIT"
10.1007/s11433-016-0015-3,"S China Normal Univ,Tsinghua Univ,Fudan Univ,Univ Hong Kong,Nanjing Univ"
10.1038/s41565-019-0488-9,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1103/PhysRevMaterials.3.084803,"Univ Twente,Eindhoven Univ Technol,Delft Univ Technol"
10.1038/s41567-024-02497-x,"Delft Univ Technol,Univ Copenhagen"
10.1103/PhysRevApplied.14.014059,"Univ Oxford,Quantum Mot Technol Ltd"
10.1103/PRXQuantum.2.010341,"Univ Maryland,Virginia Tech"
10.1103/PhysRevA.90.032319,"Chinese Univ Hong Kong,Univ Stuttgart,Beijing Computat Sci Res Ctr"
10.1038/s41467-022-32236-w,"Harvard Univ,Purdue Univ,Univ Sydney,Stanford Univ"
10.1126/science.aar4054,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO,Univ Sherbrooke,Canadian Inst Adv Res"
10.1038/ncomms11059,"Lab Phys Sci,Univ Maryland"
10.1103/PRXQuantum.3.040322,"Univ Calif Berkeley,Univ Sherbrooke,Bleximo Corp,Canadian Inst Adv Res"
10.1134/S106378501002001X,"Ankara Univ,Natl Acad Sci Azerbaijan"
10.1038/nature12802,"Yale Univ,INRIA Paris Rocquencourt"
10.1038/s42005-020-00405-2,"Univ Basel,CNR,Scuola Normale Super Pisa"
10.1038/nature10786,"Yale Univ,Delft Univ Technol"
10.1364/JOSAB.435409,"Xi An Jiao Tong Univ,Hubei Univ Automot Technol"
10.1103/PhysRevX.12.021026,"Delft Univ Technol,QuTech,Netherlands Org Appl Sci Res TNO"
10.1088/0953-4075/45/18/185505,"Univ Estadual Campinas,Univ Calgary"
10.1038/s41467-024-50763-6,"IST Austria,Ist NanoSci CNR,Scuola Normale Super Pisa,Politecn Milan"
10.1002/adma.202405916,"Nanyang Technol Univ,Univ New South Wales"
10.1038/s41467-023-44114-0,"IST Austria,Eindhoven Univ Technol,Politecn Milan,Univ Oxford,Univ Copenhagen,Consejo Super Invest Cient ICMM CSIC,Lund Univ,Norwegian Univ Sci & Technol,Louisiana State Univ"
10.1088/2058-9565/aabd41,"Univ Waterloo,NIST,Univ Calif Berkeley"
10.1103/PRXQuantum.5.030322,"Korea Inst Sci & Technol KIST,Seoul Natl Univ,Korea Univ,Univ Sydney,Univ Chicago"
10.1038/s41598-018-34108-0,"Univ Sci & Technol China,Univ Calif Los Angeles"
10.1038/srep26338,"Univ Surrey,Korea Inst Adv Study"
10.1038/s41567-022-01875-7,"Australian Natl Univ,Friedrich Schiller Univ Jena,Univ Cambridge,Inst Expt Phys,Fraunhofer Inst Appl Opt & Precis Engn IOF,Max Planck Sch Photon,Macquarie Univ,Amazon Web Serv,Inst Quantum Opt & Quantum Informat,Alpine Quantum Technol AQT,Nanyang Technol Univ,ASTAR"
10.1002/pssr.201800256,"Aalto Univ,PN Lebedev Phys Inst,KIT,Natl Res Univ"
10.1557/s43577-021-00147-8,"Delft Univ Technol,US Army,Univ Maryland,NIST,Univ Delaware"
10.1103/PhysRevApplied.21.044030,"Tsinghua Univ,Hefei Natl Lab"
10.1103/PhysRevApplied.17.054006,"Univ New South Wales,UNSW Sydney"
10.1103/PhysRevA.82.013601,"Shanxi Univ,Shaoxing Univ,Zhejiang Ocean Univ"
10.1134/S1063783416110287,"Novosibirsk State Tech Univ,Leibniz Inst Photon Technol"
10.1103/PhysRevB.106.L201305,"Lund Univ,Univ Copenhagen"
10.1103/PhysRevA.99.052126,"Washington Univ,Southern Univ Sci & Technol,Inst Mat Sci & Engn"
10.1103/PhysRevB.109.085303,"Univ Basel,RIKEN"
10.1140/epjp/s13360-023-04267-9,"SUNY Polytech Inst,Informat Directorate"
10.1140/epjqt/s40507-020-00082-8,"RadiaBeam Technol LLC,Natl Res Nucl Univ MEPhI,Univ Chicago,Argonne Natl Lab,Brookhaven Natl Lab"
10.1002/qute.202000027,"Univ Sussex,Universal Quantum Ltd,Univ Oxford"
10.1088/1367-2630/15/4/043028,"NTT Corp,Tokyo Univ Sci,Univ Waterloo,Res Org Informat & Syst"
10.1038/s42005-020-0307-5,"Aalto Univ,Univ Ulm"
10.1103/PhysRevX.8.021005,"Yale Univ,INRIA Paris"
10.1103/PRXQuantum.2.040338,"Sandia Natl Labs,Univ Calif Berkeley,Lawrence Berkeley Natl Lab"
10.1134/S0021364016060047,"Novosibirsk State Tech Univ,Leibniz Inst Photon Technol"
10.1088/1361-6668/ace8c7,"Yokohama Natl Univ,Natl Inst Adv Ind Sci & Technol"
10.1103/PhysRevA.107.033708,"Univ Sci & Technol China,Univ Calif Los Angeles,Suzhou Univ"
10.1134/S1063785016040076,"Novosibirsk State Tech Univ,Comenius Univ,Slovak Acad Sci,Leibniz Inst Photon Technol"
10.1088/2058-9565/aa7c50,"Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,INFN"
10.1002/adma.202208998,"Univ Stuttgart,Heidelberg Univ"
10.1063/5.0177857,"IBM Res Zurich,Univ Basel"
10.1109/TASC.2022.3148965,"VTT Tech Res Ctr Finland Ltd,Bluefors Oy"
10.1145/3474222,"Intel Corp,HITEC Univ,UCL,Delft Univ Technol"
10.1126/science.1243289,"Yale Univ,INRIA Paris Rocquencourt"
10.1038/nature10713,"ETH,Raytheon BBN Technol,Univ Sherbrooke"
10.1103/PhysRevApplied.18.064082,"Sandia Natl Labs,Princeton Univ,Univ Calif Los Angeles"
10.1103/PhysRevLett.126.153602,"Tech Univ Denmark,Palacky Univ"
10.1088/1367-2630/aca81f,"Nanyang Technol Univ,Natl Univ Singapore,Univ Teknol Malaysia,Univ Copenhagen,Univ Oxford,Univ Gdansk"
10.1063/5.0138627,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevLett.126.010501,"Natl Inst Stand & Technol,Univ Colorado,Univ Oregon"
10.1088/0957-4484/27/46/464003,"McGill Univ,Univ Sherbrooke,Canadian Inst Adv Res"
10.1103/PhysRevLett.128.013601,"Univ Maryland,Univ Alberta"
10.1364/OE.26.030689,"Shangrao Normal Univ,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ"
10.1103/PhysRevLett.107.053602,"Princeton Univ,ETH,Natl Inst Stand & Technol"
10.1039/d3mh01201h,"CSIC,Univ Zaragoza"
10.1038/s41567-020-0952-3,"Yale Univ,Delft Univ Technol,Microsoft Quantum Lab Delft,Univ Copenhagen"
10.1140/epjp/s13360-022-03251-z,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1073/pnas.1618020114,"Univ Maryland,Natl Sci Fdn,Microsoft Res,IonQ Inc"
10.1109/JSSC.2022.3201775,"IBM TJ Watson Res Ctr,IBM Syst,IBM Almaden Res Ctr"
10.1103/PhysRevApplied.14.064033,"Syracuse Univ,Univ Fed Santa Catarina,Saarland Univ,Univ Colorado,SeeQC Inc,Res Ctr Julich,US Air Force Res Lab"
10.1039/c6dt02664h,"CSIC,Univ Zaragoza,Fdn ARAID,Univ Barcelona,TU Wien,Delft Univ Technol"
10.1103/PhysRevX.9.011021,"Princeton Univ,Univ Maryland"
10.1364/OL.43.005765,"Hangzhou Normal Univ,Univ Sci & Technol China,Nanjing Univ"
10.1103/PhysRevA.89.033857,"Princeton Univ,IBM Corp,Yale Univ"
10.1103/PhysRevA.107.032616,"Hangzhou Normal Univ,Nanjing Univ"
10.1103/PhysRevB.101.245415,"Univ Nacl Cuyo,Consejo Nacl Invest Cient & Tecn"
10.1038/s41534-023-00784-8,"Tsinghua Univ,Renmin Univ China,Beijing Acad Quantum Informat Sci,Southern Univ Sci & Technol,Huazhong Univ Sci & Technol,China Acad Engn Phys,Hefei Natl Lab,Frontier Sci Ctr Quantum Informat"
10.1007/s11467-022-1163-4,"Hangzhou Normal Univ,Nanjing Univ,Shangrao Normal Univ"
10.1038/s41467-022-33921-6,"Tsinghua Univ,Hefei Natl Lab"
10.1063/1.4994661,"CALTECH,IST Austria"
10.1002/qute.202400141,"Lomonosov Moscow State Univ,RAS,Moscow MV Lomonosov State Univ,Skolkovo Inst Sci & Technol,PSL Res Univ"
10.1038/s41567-018-0199-4,"Aalto Univ,Natl Taiwan Univ,Acad Sinica"
10.35848/1347-4065/aca256,"Fujitsu Ltd,RIKEN,Univ Tokyo"
10.1038/s41467-022-29906-0,"Univ Calif Berkeley,Univ Rochester,Univ Paris Saclay,Chapman Univ"
10.1103/PhysRevLett.114.080501,"Univ Chicago,Univ Maryland,IBM Corp"
10.1038/ncomms5225,"Lab Phys Sci,Univ Maryland"
10.1038/s41598-022-21267-4,"Adam Mickiewicz Univ,Palacky Univ"
10.1103/PhysRevB.81.104505,"Ctr Atom Bariloche,Inst Balseiro"
10.1103/PhysRevLett.122.050403,"Heidelberg Univ,Brookhaven Natl Lab"
10.1007/s11433-014-5591-1,"Shaoguan Univ,Lanzhou Univ Technol,Natl Univ Singapore"
10.1364/JOSAB.33.000C50,"Univ Arizona,Sandia Natl Labs"
10.1038/nature11505,"Univ Calif Berkeley,Univ Calif Riverside"
10.1007/s11128-020-2578-x,"Zhejiang Univ Sci & Technol,Univ Sci & Technol China,Nanjing Univ,Hangzhou Normal Univ,Shangrao Normal Univ"
10.1103/PhysRevLett.129.010502,"Alibaba Grp,Alibaba Grp USA"
10.1063/5.0077443,"Heriot Watt Univ,Tech Univ Munich,Bayer Akad Wissensch,Saarland Univ,Munich Ctr Quantum Sci & Technol MSQCT,Friedrich Alexander Univ Erlangen Nurnberg FAU,Max Planck Inst Sci Light"
10.1103/PhysRevA.104.032409,"Univ Sci & Technol China,Univ Calif Los Angeles,Suzhou Univ"
10.1103/PhysRevB.99.085434,"Univ Copenhagen,Swiss Fed Inst Technol"
