DOI,Institutions
10.1038/NPHOTON.2010.83,"Stanford Univ,Natl Inst Informat,Univ Wurzburg"
10.1103/PhysRevLett.109.160504,"Natl Univ Singapore,ICFO Inst Ciencies Fotoniques,Nanyang Technol Univ"
10.1103/PhysRevLett.133.030601,"Univ Maryland,Tech Univ Munich,Munich Ctr Quantum Sci & Technol MCQST"
10.1126/science.ade7651,"CALTECH,MIT,AWS Ctr Quantum Comp"
10.1103/PhysRevA.105.052416,"Univ Arizona,Univ Pittsburgh,Birla Inst Technol & Sci Pilani,Univ Chicago"
10.1088/1367-2630/14/3/033016,"Univ Waterloo,Univ Vienna"
10.1016/j.physa.2017.01.082,"Zhejiang Univ Technol,Zhejiang Univ Sci & Technol"
10.1002/qute.202200125,"Queens Univ,UCL,Vector Inst"
10.1088/1402-4896/ab6523,"ITMO Univ,Corning Res & Dev Corp"
10.1088/1572-9494/ad696c,"Tianjin Univ Tradit Chinese Med,Tianjin Normal Univ,Univ Sci & Technol Beijing"
10.1088/1361-6455/acf9d2,"Univ Oxford,Univ Paris Saclay,InstaDeep"
10.1038/s41467-024-52086-y,"Univ Copenhagen,Ruhr Univ Bochum,Univ Cambridge,Univ PSL"
10.1103/PhysRevLett.133.033603,"Fuzhou Univ,RIKEN Cluster Pioneering Res,RIKEN Ctr Quantum Comp,Univ Michigan"
10.1007/s11128-022-03415-x,"Univ Fed Fluminense,Inst Fed Rio de Janeiro"
10.1038/s41534-017-0026-2,"Tech Univ Denmark,Sun Yat sen Univ"
10.1016/j.physleta.2020.126933,"Univ Fed Santa Catarina,Univ Fed Goias,Univ Basque Country"
10.1103/PhysRevLett.107.160401,"Pohang Univ Sci & Technol POSTECH,Korea Inst Adv Study"
10.22331/q-2020-08-03-303,"Univ Technol Sydney,Univ Queensland"
10.1364/OE.25.033514,"Univ Copenhagen,Univ Elect Sci & Technol China,Ruhr Univ Bochum"
10.1117/1.AP.4.2.026004,"Hong Kong Univ Sci & Technol,Univ Guelph,Univ Waterloo,Univ Texas Dallas"
10.1080/09500340.2016.1182222,"Univ Calgary,Kazan Natl Res Tech Univ,Kazan Fed Univ"
10.1038/s41467-023-37842-w,"Univ Sci & Technol China,Inst Math Sci ICMAT CSIC UAM UC3M UCM,Univ Geneva,Constructor Univ,Lund Univ,Austrian Acad Sci"
10.1038/s41534-022-00604-5,"MIT,US Army,Univ Massachusetts,MITRE Corp,Tech Univ Denmark"
10.1038/s41467-020-17053-3,"Yale Univ,Argonne Natl Lab,Univ Chicago"
10.1038/s41467-024-54541-2,"Harvard Univ,AWS Ctr Quantum Networking,DRS Daylight Solut"
10.1038/s41534-023-00708-6,"MITRE Corp,MIT,Sandia Natl Labs,Univ Arizona,Brookhaven Natl Lab"
10.1103/PhysRevLett.114.090402,"Univ Queensland,Univ Waterloo,Monash Univ,Macquarie Univ"
10.1038/s41567-018-0241-6,"Weizmann Inst Sci,Soreq NRC"
10.1142/S0217732320500467,"Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1002/qute.202200049,"Tech Univ Munich,Technion Israel Inst Technol,Univ Grenoble Alpes,Ruhr Univ Bochum,Tech Univ Berlin,Univ Paderborn"
10.1103/PhysRevA.81.052106,"Univ Calgary,Ecole Polytech Montreal"
10.1140/epjd/s10053-022-00419-1,"Tokyo Inst Technol,Loughborough Univ,Univ Vienna,Sapienza Univ Roma,NTT Corp,Natl Inst Informat,Univ Roma Tre"
10.1103/PhysRevLett.123.030501,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1103/PhysRevLett.105.030407,"Univ Illinois,Univ Innsbruck,Univ British Columbia"
10.1088/1674-1056/23/11/110304,"Qufu Normal Univ,Chinese Acad Sci"
10.1117/1.AP.3.5.055002,"Nanjing Univ,Sun Yat sen Univ"
10.1088/1367-2630/13/11/115009,"Nokia Res Ctr,Univ Bristol"
10.1021/acs.jpcb.1c00887,"Inner Mongolia Univ Sci & Technol,Max Planck Inst Phys Komplexer Syst,Nanyang Technol Univ,Tech Univ Dresden"
10.1016/j.optcom.2015.12.065,"Chongqing Univ Posts & Telecommun,Dublin City Univ,North China Univ Water Resources & Elect Power,Sichuan Univ Sci & Engn,Southwest Jiaotong Univ"
10.1088/2040-8986/aad793,"IASBS,Univ Padua"
10.1364/OME.9.002318,"Peking Univ,Collaborat Innovat Ctr Quantum Matter,Univ Sci & Technol China,CNR,Politecn Milan,Shanxi Univ"
10.1103/PhysRevLett.105.060502,"Harvard Univ,Tech Univ Kaiserslautern"
10.1103/PhysRevA.98.013801,"US Army,Univ Chicago,Univ Massachusetts,Louisiana State Univ"
10.1364/OE.20.016145,"Univ Vienna,Inst Quantum Opt & Quantum Informat"
10.1103/PhysRevLett.105.250403,"Univ Basque Country,Basque Fdn Sci,Hungarian Acad Sci,Max Planck Inst Quantum Opt,Univ Munich,Leibniz Univ Hannover"
10.1038/s41467-022-35773-6,"Univ Pavia,Univ Grenoble Alpes,Univ Toronto,Ecole Polytech Fed Lausanne,Adv Fiber Resources Milan Srl,LIGENTEC SA,Univ Limoges,SOITEC SA"
10.1103/PhysRevA.86.042334,"Pohang Univ Sci & Technol POSTECH,Natl Univ Singapore"
10.1103/PRXQuantum.3.020363,"Univ Copenhagen,Ruhr Univ Bochum,Univ Iowa"
10.1007/s10946-020-09883-9,"King Abdulaziz Univ,Taif Univ,Sohag Univ,Damanhour Univ,Univ Jordan"
10.1038/s41534-022-00541-3,"Univ Geneva,Univ Cote Azur"
10.1103/PhysRevA.110.052605,"Univ Toronto,Quantum Bridge Technol Inc,Univ Waterloo,Inst Quantum Comp,Ki3 Photon Technol"
10.1103/PhysRevLett.119.180510,"Univ Vienna,Austrian Acad Sci,IASBS,Xi An Jiao Tong Univ"
10.1103/PhysRevA.82.010301,"Tokyo Med & Dent Univ,Japan Sci & Technol Agcy,Hiroshima Univ,NEC Corp Ltd,RIKEN,Univ Tokyo"
10.1038/s41467-022-34372-9,"Univ Valencia,Westfalische Wilhelms Univ Munster,Univ Augsburg,Leibniz Inst Forsch Verbund Berlin eV,Tech Univ Munchen Munchen,Munich Ctr Quantum Sci & Technol MCQST,Tech Univ Munich"
10.1103/PhysRevLett.128.180501,"Univ Sci & Technol China,Hefei Natl Lab"
10.1038/s41467-020-18269-z,"IST Austria,Univ Calgary"
10.1103/PhysRevLett.131.120603,"Univ Copenhagen,TJ Watson Res Ctr,IBM Denmark"
10.1088/1367-2630/ab98d4,"Univ Chicago,Univ Copenhagen,Delft Univ Technol"
10.1088/1612-2011/13/12/125204,"Huazhong Univ Sci & Technol,Natl Inst Lasers & Optron"
10.1103/PhysRevA.97.012321,"Fraunhofer Inst Appl Opt & Precis Engn,Albert Ludwigs Univ Freiburg"
10.1088/1367-2630/18/1/013020,"Univ Vienna,Univ Oxford,Gunma Univ"
10.2478/s11772-010-0050-7,"CNR,Eindhoven Univ Technol,Ecole Polytech Fed Lausanne,Univ Lyon"
10.1364/OE.18.020475,"Boston Univ,Univ Cent Florida,Univ Camerino,Columbia Univ"
10.1038/s41467-020-16996-x,"CALTECH,Univ Sydney,Univ Colorado,NIST"
10.1038/ncomms1392,"Univ Bristol,Univ Queensland,Cornell Univ,Univ Innsbruck"
10.1364/OL.40.002221,"Hangzhou Normal Univ,E China Normal Univ"
10.1126/science.abi9917,"Harvard Univ,Univ Chicago,MIT"
10.1080/15421406.2010.485118,"Univ Naples Federico 2,Univ Roma La Sapienza"
10.1103/PhysRevA.89.022317,"Univ Maryland,Natl Inst Stand & Technol,Univ British Columbia,Georgia Inst Technol,Duke Univ,Univ Michigan,Tsinghua Univ"
10.1126/sciadv.1501531,"Griffith Univ,CNRS,Univ Bordeaux,Univ Queensland"
10.1103/PhysRevA.99.032108,"Univ Concepcion,Barcelona Inst Sci & Technol,ICREA"
10.1103/PhysRevA.101.010302,"Beijing Computat Sci Res Ctr,Nanjing Univ Sci & Technol,Southeast Univ,Jiangnan Univ,Univ Sci & Technol China CAS,Univ Sci & Technol China,Univ Calgary,Soochow Univ"
10.1038/NPHOTON.2015.42,"Univ Tokyo,Tamagawa Univ,Univ Southampton,NTT Device Technol Labs,Univ Bristol"
10.1103/PhysRevLett.133.200201,"Henan Key Lab Quantum Informat & Cryptog,Univ libre Bruxelles ULB,S N Bose Natl Ctr Basic Sci,Barcelona Inst Sci & Technol"
10.1364/PRJ.481475,"Univ Geneva,ID Quant SA,CNR IFN,Politecn Milan,Sicoya GmbH"
10.1126/sciadv.add2811,"Kavli Inst Nanosci,AMOLF,Eindhoven Univ Technol,QphoX BV"
10.1103/PhysRevA.104.L020201,"Nanjing Univ Sci & Technol,Beijing Computat Sci Res Ctr,Southeast Univ"
10.22331/q-2021-02-04-392,"Xanadu,Univ Toronto,Univ New Mexico,RMIT Univ,Perimeter Inst Theoret Phys,Univ Waterloo,Univ Arizona,Univ Tokyo"
10.1103/PhysRevX.14.031055,"CALTECH,Univ Chicago,AWS Ctr Quantum Comp,Xi An Jiao Tong Univ,Rice Univ"
10.1088/1367-2630/ab1144,"Humboldt Univ,Leibniz Inst Hochstfrequenztech"
10.1038/s41565-023-01368-5,"Univ Grenoble Alpes,Tokyo Inst Technol,Natl Inst Adv Ind Sci & Technol,Korea Adv Inst Sci & Technol,Ruhr Univ Bochum,Ludwig Maximilians Univ Munchen"
10.1103/PhysRevApplied.16.024052,"Univ Sci & Technol China,Fudan Univ"
10.1088/1402-4896/ad0d8d,"Yazd Univ,Persian Gulf Univ"
10.1103/PhysRevLett.113.263604,"Univ Zaragoza,Fdn ARAID,CSIC"
10.1007/s11128-015-1017-x,"Hunan Univ Sci & Technol,Hunan Normal Univ,Beijing Inst Technol"
10.1103/PhysRevA.95.063807,"Univ Wisconsin,Univ Montpellier,Inst Univ France"
10.1021/acsphotonics.4c00340,"Forschungszentrum Julich,Julich Aachen Res Alliance,MIT,Rhein Westfal TH Aachen"
10.1103/PhysRevB.86.024503,"Univ Zaragoza,Fdn ARAID,Univ Pais Vasco UPV EHU,Basque Fdn Sci,CSIC"
10.1103/PhysRevA.96.062317,"Univ Oxford,Univ Pavia,Univ Edinburgh,UCL,Univ Paris 06,Univ Stuttgart"
10.1088/1367-2630/14/9/093004,"Columbia Univ,Brookhaven Natl Lab,SUNY Albany"
10.1126/sciadv.abe8905,"Johannes Kepler Univ Linz,Univ Vienna"
10.1103/PhysRevA.95.012302,"Moscow MV Lomonosov State Univ,RAS"
10.1126/sciadv.aau6668,"Griffith Univ,Imperial Coll London"
10.1103/PhysRevX.7.041023,"Virginia Tech,Univ Maryland"
10.1038/ncomms15579,"Univ Cambridge,Univ Saarland,Element Six Ltd"
10.1103/PhysRevApplied.18.044027,"Oak Ridge Natl Lab,Univ Illinois,Natl Univ Singapore"
10.1103/PhysRevA.88.062321,"ICFO Inst Ciencies Foton,Univ Roma La Sapienza,Ist Italiano Tecnol,Univ Naples Federico II,Complesso Univ Monte S Angelo"
10.1103/PhysRevA.90.042301,"Univ Sci & Technol China,Fuzhou Univ"
10.1364/OE.376914,"Weizmann Inst Sci,Univ Paris Diderot,Univ Innsbruck,Austrian Acad Sci"
10.1103/RevModPhys.89.021001,"Max Planck Inst Phys Komplexer Syst,Raman Res Inst,Univ Waterloo,Weizmann Inst Sci"
10.1364/PRJ.462212,"Beijing Computat Sci Res Ctr,Ningbo Univ,East China Normal Univ"
10.1007/s12043-020-01989-8,"Triveni Devi Bhalotia Coll,Asansol Girls Coll"
10.1088/1751-8121/ac0546,"Indian Inst Technol Jodhpur,Natl Inst Technol Patna,Univ Warsaw,Natl Cheng Kung Univ"
10.1103/PhysRevLett.117.140505,"Harvard Univ,Pohang Univ Sci & Technol POSTECH"
10.1063/1.4983822,"Imperial Coll London,Goldsmiths Univ London"
10.1038/s41567-022-01845-z,"Univ Concepcion,Univ Catolica Santisima Concepcion,Inst Fis Fundamental IFF,Austrian Acad Sci,Tech Univ Wien"
10.1088/1612-202X/aabf1a,"Xidian Univ,Xian Univ"
10.1103/PhysRevLett.116.090401,"Southeast Univ,Univ Sci & Technol China,Univ Calgary,Canadian Inst Adv Res"
10.1007/s00340-017-6871-z,"CITEDEF CONICET,UBA,Consejo Nacl Invest Cient & Tecn"
10.1038/s41565-018-0091-5,"Univ Copenhagen,Univ Basel,Ruhr Univ Bochum"
10.1103/PhysRevA.104.063701,"Benemerita Univ Autonoma Puebla,Univ Zaragoza"
10.1063/1.5139256,"Univ Technol Sydney,Moscow Inst Phys & Technol"
10.1103/PhysRevApplied.17.064034,"Univ Sci & Technol China,PLA Rocket Force Univ Engn"
10.1088/0953-4075/46/5/055502,"Huaqiao Univ Xiamen,Univ Calgary"
10.1103/PhysRevA.84.042341,"Austrian Acad Sci,Univ Innsbruck,Univ Copenhagen,Harvard Univ"
10.1007/s11128-019-2312-8,"Shanxi Normal Univ,Shanxi Univ,Yanbian Univ"
10.1126/science.1214707,"Univ Vienna,Austrian Acad Sci,Univ Edinburgh,Univ Waterloo,Natl Univ Singapore,Univ Coll Dublin"
10.1038/srep25977,"Southwest Jiaotong Univ,Southwest Univ,Dublin City Univ"
10.1038/s41467-024-46830-7,"Peking Univ,Shanxi Univ,Hefei Natl Lab,Harvard Univ"
10.1038/s41467-023-38761-6,"IST Austria,Ioffe Inst,Weizmann Inst Sci"
10.1038/s41567-018-0071-6,"Univ Chicago,Univ Washington,Lehigh Univ"
10.1038/s41566-024-01526-8,"Sapienza Univ Roma,Consiglio Nazl Ric IFN CNR,Politecn Milan,Int Iberian Nanotechnol Lab INL,Univ Fed Fluminense"
10.1103/PhysRevA.82.012304,"Univ Bristol,Natl Univ Singapore"
10.1103/PhysRevLett.104.123601,"Univ Buenos Aires,CITEDEF"
10.1126/science.aal2469,"Princeton Univ,HRL Labs LLC,Univ Calif Santa Barbara"
10.1103/PRXQuantum.5.020346,"Paderborn Univ,Virginia Tech,Virginia Tech Ctr Quantum Informat Sci & Engn"
10.1007/s11128-023-04225-5,"Beijing Computat Sci Res Ctr,Nanjing Univ Sci & Technol"
10.1103/PhysRevLett.106.100401,"Princeton Univ,SC Solut,MIT,Univ Queensland"
10.1103/PhysRevA.106.032416,"Tianjin Normal Univ,Space Engn Univ,Beijing Computat Sci Res Ctr,Univ Sci & Technol Beijing"
10.1126/science.aan5959,"CALTECH,Univ Verona,Univ Parma,NIST"
10.1103/PhysRevA.107.022428,"Nanjing Univ Sci & Technol,Nanjing Univ"
10.1088/1367-2630/abb64a,"Korea Inst Sci & Technol KIST,Yonsei Univ,Ajou Univ,Korea Univ Sci & Technol"
10.1016/j.physe.2017.08.020,"Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,Abdus Salam Int Ctr Theoret Phys"
10.1209/0295-5075/121/54001,"Xidian Univ,Xian Univ"
10.1038/s41377-022-00769-w,"Tsinghua Univ,Beijing Acad Quantum Informat Sci,Beijing Inst Spacecraft Syst Engn,Frontier Sci Ctr Quantum Informat,Beijing Natl Res Ctr Informat Sci & Technol"
10.1063/1.4870450,"Huazhong Univ Sci & Technol,Hubei Univ Arts & Sci,Wuhan Inst Technol,Key Lab Fundamental Phys Quant Measurement"
10.1103/PhysRevA.85.012327,"Inst Math Sci,Indian Inst Technol"
10.1038/s41467-023-37555-0,"Univ Sci & Technol China,Natl Univ Singapore,Nanyang Technol Univ,NTU Int Joint Res Unit,Univ Manchester,Imperial Coll London"
10.1103/PhysRevA.105.053718,"Dalian Univ Technol,NASB"
10.1103/PhysRevLett.132.160801,"Univ Sci & Technol China,Chinese Acad Sci"
10.1103/PhysRevApplied.17.034071,"Univ Arizona,Univ Illinois"
10.1038/s41467-022-31603-x,"Huazhong Univ Sci & Technol,Zhejiang Univ"
10.1364/OL.532017,"Russian Quantum Ctr,Skolkovo Inst Sci & Technol,Moscow MV Lomonosov State Univ"
10.1364/OE.20.016902,"Huazhong Univ Sci & Technol,Wuhan Inst Technol,China Univ Geosci,Ludong Univ"
10.1364/OPTICA.2.000832,"NTT Corp,NIST"
10.1038/s41534-019-0128-0,"Univ Chicago,US Army Res Lab,Univ Massachusetts"
10.1103/PhysRevA.82.024303,"Xian Univ Posts & Telecommun,Georgia Inst Technol"
10.35848/1347-4065/acac3a,"Univ Tokyo,Univ Electrocommun,Osaka Univ,Kyushu Univ,Ruhr Univ Bochum"
10.1103/PRXQuantum.5.020348,"Quandela,Univ Bristol,Univ Paris Saclay"
10.1103/PhysRevLett.112.190402,"TU Wien,Univ Vienna,Austrian Acad Sci"
10.1364/AO.57.000377,"Univ Rostock,Friedrich Schiller Univ,Univ Vienna,Fraunhofer Inst Appl Opt & Precis Engn"
10.1007/s11433-017-9091-0,"Beijing Normal Univ,King Abdulaziz Univ"
10.1080/09500340.2022.2034191,"Univ Delhi,Birla Inst Technol & Sci,Univ Sci & Technol"
10.1063/1.4801503,"Acad Sinica,Natl Chang Hua Univ Educ,Natl Chung Hsing Univ"
10.1038/s41534-020-00323-9,"Tech Univ Denmark,ITMO Univ,RAS,St Petersburg Electrotech Univ LETI"
10.1103/PhysRevA.91.062318,"Univ Brescia,Tulane Univ,Oak Ridge Natl Lab,Air Force Res Lab"
10.1038/s41567-019-0550-4,"Univ Vienna,Univ Belgrade,VitreaLab GmbH,Austrian Acad Sci"
10.1021/acsphotonics.3c00049,"Harbin Inst Technol Shenzhen,Soochow Univ"
10.1038/s41467-018-03849-x,"Univ Sci & Technol China,Univ Siegen,Beijing Inst Technol,Univ Cologne,Fudan Univ,Collaborat Innovat Ctr Adv Microstruct,Nanjing Univ Posts & Telecommun"
10.1088/1367-2630/ac15b4,"Beijing Computat Sci Res Ctr,Southeast Univ,Wigner Res Ctr Phys"
10.1103/PhysRevLett.124.223601,"Univ Sci & Technol China,Wuhan Univ"
10.1364/OPTICA.6.000335,"MIT,Lightmatter,Elenion Technol"
10.1038/s42005-024-01807-2,"Univ Basque Country UPV EHU,TECNALIA,Univ Carlos III Madrid,IKERBASQUE,Basque Ctr Appl Math BCAM,Inst Ciencia Mat Madrid"
10.1063/1.4935029,"Toshiba Res Europe Ltd,Univ Cambridge"
10.1103/PhysRevB.94.035441,"Soochow Univ,Princeton Univ,ETH"
10.1126/sciadv.adf1070,"Palacky Univ,Weizmann Inst Sci"
10.1002/qute.201800074,"Univ Sci & Technol China,Univ Santiago Chile USACH,Ctr Dev Nanosci & Nanotechnol,Univ Basque Country,Basque Fdn Sci,Shanghai Univ"
10.1103/PhysRevLett.125.240405,"Univ Maryland,CALTECH,NIST"
10.1038/s41467-017-02775-8,"ENS PSL Res Univ,Australian Natl Univ,Univ Shanghai Sci & Technol"
10.1038/s41534-018-0063-5,"Australian Natl Univ,Friedrich Schiller Univ Jena,Fraunhofer Inst Appl Opt & Precis Engn,Univ Technol Sydney,Univ Rostock"
10.1103/PhysRevA.110.042405,"Keio Univ,Okinawa Inst Sci & Technol Grad Univ"
10.1103/PhysRevApplied.21.014001,"Univ Sci & Technol Beijing,Beijing Inst Technol"
10.1103/PhysRevLett.128.060501,"Univ Sci & Technol China,Zhejiang Univ"
10.1016/j.optcom.2018.06.081,"Hunan Univ Sci & Technol,Hunan Normal Univ"
10.1364/JOSAB.31.002689,"Ocean Univ China,Univ Queensland"
10.1103/PhysRevLett.123.170402,"Univ Sci & Technol China,Griffith Univ"
10.1117/1.AP.6.5.056012,"Shanghai Jiao Tong Univ,Shandong Normal Univ"
10.1103/PhysRevLett.131.013601,"Kagawa Univ,JST,Keio Univ,Natl Inst Informat & Commun Technol NICT,Natl Inst Informat & Commun Technol"
10.1103/PhysRevA.109.062202,"Univ Geneva,Natl Univ Singapore,Univ Turku"
10.1103/PhysRevA.93.042307,"RIKEN,Univ Michigan,Hangzhou Normal Univ,Fuzhou Univ"
10.1364/OL.522770,"Sichuan Univ,Harbin Inst Technol,Quantum Sci Ctr Guangdong Hong Kong"
10.1103/PhysRevLett.123.070505,"Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Austrian Acad Sci,Univ Vienna"
10.1364/OE.26.016250,"Yanbian Univ,Harbin Inst Technol"
10.1364/OPTICA.4.001006,"Univ Ottawa,Natl Res Council Canada,Max Planck Inst Phys Lichts,Univ Erlangen Nurnberg,Univ Rochester,Inst Adv Studies Basic Sci"
10.1017/S0022377824001326,"Univ Colorado Boulder,Rigetti Comp,Univ Southern Calif,Lawrence Livermore Natl Lab"
10.1103/PhysRevA.101.052326,"Univ Tecnol Fed Parana UTFPR,Univ Fed Fluminense,Abdus Salaam Int Ctr Theoret Phys,Donostia Int Phys Ctr,Ikerbasque Fdn Sci,Austrian Acad Sci"
10.1038/s41586-020-2441-3,"MIT,Sandia Natl Labs,Univ Calif Berkeley"
10.1103/PhysRevA.101.052107,"Univ KwaZulu Natal,NASA,USRA Res Inst Adv Comp Sci RIACS,Nicolaus Copernicus Univ,KwaZulu Natal,Stellenbosch Univ"
10.1103/PhysRevLett.133.260601,"Univ Maryland,Univ Calif Los Angeles"
10.1364/OE.464550,"Univ Illinois,Peraton,NASA,Tulane Univ,DEVCOM Army Res Lab"
10.1103/PhysRevA.109.012406,"Univ Sci & Technol China,Imperial Coll London,Res Ctr Quantum Sensing,Univ Copenhagen,Tech Univ Denmark"
10.1103/PhysRevA.102.022214,"Beijing Computat Sci Res Ctr,Southeast Univ"
10.1103/PhysRevB.94.165302,"Univ Fed Minas Gerais,DISSE INCT Nanodisposit Semicond,Univ Pavia,Univ Fed Rio de Janeiro"
10.1038/s41534-020-0281-5,"Max Planck Inst Quantum Opt,Ludwig Maximilians Univ Munchen,Munich Ctr Quantum Sci & Technol MCQST,Univ Gdansk,Nanyang Technol Univ,Natl Univ Singapore,Imperial Coll London"
10.1364/OPTICA.408611,"Univ Washington,Princeton Univ,Humboldt Univ"
10.1103/PhysRevApplied.15.044026,"Univ Chicago,AWS Ctr Quantum Comp,Yale Univ"
10.1038/s42005-023-01283-0,"Shanghai Univ,Forschungszentrum Julich GmbH,Univ Santiago Chile USACH,CEDENNA,Univ Basque Country UPV EHU"
10.1038/ncomms3228,"Stanford Univ,Heriot Watt Univ,Natl Inst Informat,Univ Wurzburg,Univ Glasgow"
10.1364/PRJ.517294,"Peking Univ,Shanxi Univ,Hefei Natl Lab,Univ Washington,China Mobile Res Inst"
10.1109/ACCESS.2022.3212738,"Quantropi Inc,Deutsch Telekom AG,Calian Grp"
10.1103/PhysRevLett.115.140501,"Univ Calgary,Natl Inst Stand & Technol,CALTECH"
10.1103/PhysRevA.97.042103,"Univ Geneva,Imperial Coll London,Univ Oxford"
10.1103/PhysRevLett.125.150401,"Nanjing Univ,Univ Guelph,Univ Waterloo,Iowa State Univ,Hong Kong Polytech Univ,Natl Univ Def Technol,Hong Kong Univ Sci & Technol"
10.1038/s41566-018-0339-5,"Max Planck Inst Quantum Opt,TOPTICA Photon AG,Huazhong Univ Sci & Technol"
10.1038/s41598-017-01509-6,"Albanova Univ Ctr,Delft Univ Technol,Univ Vienna,Austrian Acad Sci,Natl Res Council Canada,Politecn Milan,Micro Photon Devices,Univ Waterloo"
10.1103/PRXQuantum.3.030309,"Seoul Natl Univ,Korea Inst Sci & Technol"
10.1364/OPTICA.439170,"Univ Sci & Technol China,Shanghai Res Ctr Quantum Sci"
10.1088/1367-2630/15/6/063017,"Nokia Res Ctr,Univ Bristol,Univ Calif Santa Barbara"
10.1038/s41586-019-1709-y,"Univ Basel,Univ Lyon,Ruhr Univ Bochum"
10.1103/PhysRevLett.126.100402,"Australian Res Council Ctr Excellence Engn Quantu,Univ Queensland,Univ Technol Sydney"
10.1038/ncomms7524,"Univ Grenoble Alpes,CEA Grenoble"
10.1038/NPHYS1777,"Univ Waterloo,Univ Guelph,Univ Sydney"
10.1021/acs.nanolett.2c04890,"Univ Washington,Princeton Univ,ASTAR,Humboldt Univ,Pacific Northwest Natl Lab"
10.1364/PRJ.7.000A40,"Shanghai Jiao Tong Univ,Univ Sci & Technol China"
10.1088/1674-1056/ac6017,"SSF IEU,Univ Sci & Technol China"
10.1038/s41534-020-00317-7,"Nanjing Univ,Southern Univ Sci & Technol"
10.1103/PhysRevLett.126.170505,"Univ Sci & Technol China,Shangrao Normal Univ,Nankai Univ"
10.1103/PhysRevA.98.011802,"Univ Michigan,Naval Res Lab,Aerosp Corp,CALTECH"
10.1038/srep01394,"Basque Country Univ EHU UPV,Univ Vienna,Univ So Calif"
10.1364/OPTICA.486361,"MITRE Corp,MIT,Sandia Natl Labs,Univ Arizona,Brookhaven Natl Lab"
10.3390/photonics9080583,"Hengyang Normal Univ,Hunan Normal Univ,Henan Normal Univ"
10.1103/PhysRevX.8.011018,"Max Planck Inst Quantum Opt,TOPTICA Photon AG"
10.1126/sciadv.ado6244,"Sapienza Univ Roma,Int Iberian Nanotechnol Lab INL,Univ Fed Fluminense"
10.1038/srep39110,"Univ Jinan,Jilin Univ"
10.1364/OE.20.027510,"Stanford Univ,Heriot Watt Univ,Univ Wurzburg,Natl Inst Informat"
10.1103/PhysRevA.84.063834,"CSIC,Univ Pais Vasco Euskal Herriko Unibertsitatea,Chalmers Univ Technol,Basque Fdn Sci"
10.1103/PRXQuantum.4.010323,"Princeton Univ,Univ Calif Santa Barbara,Delft Univ Technol,Univ Chicago,Rice Univ,Fathom Radiant"
10.1103/PhysRevB.106.104304,"CUNY,Russian Acad Sci,Res Univ"
10.1038/s41534-023-00750-4,"Heriot Watt Univ,Heinrich Heine Univ Dusseldorf"
10.1016/j.crhy.2016.05.003,"Ecole Polytech,Yale Univ,Univ Paris 11,CNRS,Univ Paris Saclay"
10.1021/acs.nanolett.9b04495,"Stanford Univ,SLAC Natl Accelerator Lab"
10.1038/s41534-021-00422-1,"Univ Arizona,Duke Univ"
10.1103/PhysRevLett.125.180503,"Tsinghua Univ,Fuzhou Univ"
10.1103/PhysRevA.104.052601,"Swiss Fed Inst Technol Lausanne EPFL,Purdue Univ"
10.22331/q-2017-11-30-36,"UCL,Imperial Coll London,SUNY Stony Brook"
10.1002/qute.202200118,"Pusan Natl Univ,Chonnam Natl Univ"
10.1073/pnas.1005720107,"Univ Sci & Technol China,Heidelberg Univ"
10.1103/PhysRevA.85.052326,"Hengyang Normal Univ,Hunan Normal Univ,Chongqing Univ Technol"
10.1103/PhysRevA.90.022110,"Univ Milan,Ist Nazl Fis Nucl,Univ Trieste"
10.1364/OE.24.030149,"Univ Fed Minas Gerais,Inst Fed Norte Minas Gerais,Univ Fed Rural Pernambuco"
10.1002/adom.202202631,"CUNY City Coll,CUNY,Univ Washington,IST Austria,Indian Inst Sci"
10.1063/5.0071797,"Nanjing Univ Informat Sci & Technol,Univ Nebraska"
10.1103/PRXQuantum.2.010320,"Univ Fed Rio de Janeiro,Barcelona Inst Sci & Technol,Univ Concepcion,Univ Catolica Santisima Concepcion,Univ Geneva,Univ Grenoble Alpes,Austrian Acad Sci,Technol Innovat Inst"
10.1103/PhysRevLett.123.180504,"Univ Sci & Technol China,Univ Nottingham"
10.1103/PhysRevA.95.032122,"Southeast Univ,Univ Warwick,East China Normal Univ"
10.1364/OE.517001,"Hangzhou Normal Univ,Univ Calgary,Shangrao Normal Univ,Nanjing Univ"
10.1103/PhysRevA.101.022112,"SN Bose Natl Ctr Basic Sci,CAPSS,Raman Res Inst,Natl Cheng Kung Univ"
10.1038/NPHYS3202,"Australian Natl Univ,Peking Univ,Collaborat Innovat Ctr Quantum Matter,Swinburne Univ Technol,Tianjin Univ"
10.1021/acsnano.4c07184,"Warsaw Univ Technol,Univ Warsaw,Univ Calif Santa Barbara,Polish Acad Sci,Univ South Carolina"
10.1038/s41534-024-00830-z,"Univ Paris Saclay,CNR,Quandela SAS,Sapienza Univ Roma,Univ Vienna,Univ Fed Sao Carlos,Univ Pavia"
