DOI,Institutions
10.1103/PhysRevA.107.042622,"Weizmann Inst Sci,AMOS"
10.1038/nature18648,"Univ Maryland,IonQ Inc"
10.1038/s41467-023-44220-z,"Tsinghua Univ,Hefei Natl Lab,HYQ Co Ltd,New Cornerstone Sci Lab"
10.1103/PhysRevA.103.062614,"Univ Washington,Czech Tech Univ,Univ Manchester,Brookhaven Natl Lab"
10.1103/PhysRevLett.113.220501,"Univ Oxford,Univ Paris Diderot"
10.1103/PhysRevLett.119.220501,"Stockholm Univ,Univ Innsbruck"
10.1103/PhysRevLett.122.050403,"Heidelberg Univ,Brookhaven Natl Lab"
10.1103/PhysRevA.107.032604,"Univ Texas San Antonio,Univ Oxford,Oxford Ion Ltd,Univ Oregon"
10.1103/PhysRevLett.126.220503,"Wesleyan Univ,IonQ,Univ Maryland"
10.1103/PhysRevA.97.052301,"Georgia Inst Technol,Duke Univ"
10.1103/PhysRevLett.127.260502,"Univ Amsterdam,QuSoft"
10.1126/science.1253742,"Univ Innsbruck,Univ Complutense,Austrian Acad Sci"
10.1016/j.optcom.2018.04.044,"Univ Guilan,Islamic Azad Univ,Univ Palermo"
10.1371/journal.pone.0271462,"Skolkovo,Natl Univ Sci & Technol MISIS"
10.1038/s41586-020-2667-0,"Univ Innsbruck,Univ Bologna,INFN,Swansea Univ,Alpine Quantum Technol GmbH,Rhein Westfal TH Aachen,Forschungszentrum Julich,Austrian Acad Sci"
10.1088/1367-2630/ab8830,"QuSoft,Ctr Wiskunde & Informat CWI,Univ Amsterdam"
10.1063/5.0069561,"Univ Florida,US Air Force Res Lab"
10.1038/s41534-024-00914-w,"Univ Waterloo,Inst Quantum Comp,Perimeter Inst Theoret Phys,Ki3 Photon Technol,Univ Ottawa"
10.1103/PRXQuantum.4.040313,"Oxford Ion,Univ Oregon,Univ Oxford"
10.1088/1367-2630/ac09c8,"NIST,Univ Colorado,Swiss Fed Inst Technol"
10.1103/PhysRevLett.123.260503,"Leibniz Univ Hannover,Phys Tech Bundesanstalt"
10.1364/OL.38.004735,"Duke Univ,Sandia Natl Labs"
10.1103/PhysRevLett.112.190502,"Univ Maryland,NIST,Univ Michigan"
10.1007/s00340-017-6806-8,"Inst Quantenopt & Quanteninformat,Univ Innsbruck"
10.1103/PhysRevLett.125.050402,"Beihang Univ,Chinese Acad Sci,Univ Chinese Acad Sci,Songshan Lake Mat Lab"
10.1103/PhysRevA.107.022617,"Univ Oxford,Univ Texas San Antonio,Oxford Ion"
10.1063/5.0069544,"Univ Oregon,Univ Calif Los Angeles,MIT,Honeywell Quantum Solut"
10.1103/PhysRevA.92.060301,"Duke Univ,Georgia Inst Technol,Univ Sydney,Sandia Natl Labs"
10.1103/PhysRevX.13.041023,"Max Planck Inst Phys Komplexer Syst,Univ Calif,Lawrence Berkeley Natl Lab,Univ Cologne,Univ Bonn,St Kliment Ohridski Univ Sofia"
10.1103/PhysRevLett.129.240504,"Duke Univ,IonQ Inc,Univ Sci & Technol China"
10.1103/PhysRevLett.110.230601,"Univ London Imperial Coll Sci Technol & Med,Univ Oxford,Natl Univ Singapore,Scuola Normale Super Pisa,CNR,Natl Univ Ireland Univ Coll Cork"
