,quantum dot,gate,field,entanglement,electron,noise,state,interaction,couple,valley,exchange,decoherence,control,donor,charge,silicon,hole,dot,coherence,relaxation,photon,device,temperature,dynamic,measurement,resonance,frequency,phase,semiconductor,information,singlet,fidelity,scheme,bath,pulse,triplet,diamond,transition,orbit,order
exchange,0.31675175604649874,0.3207501495497921,0.2519763153394848,0.09938079899999065,0.27877150446555865,0.12422599874998831,0.26687249808205815,0.44459061923690013,0.2795426231258449,0.07856742013183861,1.0,0.11867816581938533,0.17801724872907798,0.09805806756909201,0.2603778219616477,0.1649915822768611,0.038235955645093626,0.2626128657194451,0.13018891098082386,0.034020690871988585,0.032075014954979206,0.04914731871829905,0.0,0.14586499149789456,0.13245323570650439,0.11037769642208699,0.10286889997472794,0.09622504486493763,0.1849000654084097,0.10416666666666667,0.19444444444444445,0.22360679774997896,0.15075567228888181,0.06804138174397717,0.16666666666666666,0.1767766952966369,0.05716619504750295,0.11605177063713189,0.1496710850223124,0.15876322406928006
decoherence,0.307566960771828,0.2626556721005538,0.3027788802109732,0.19460646055923425,0.37896322226527906,0.3538299282895168,0.3076702604915849,0.36528368698758484,0.28613959986039156,0.05594542388644594,0.11867816581938533,1.0,0.22535211267605634,0.13964821923471832,0.1699563928175015,0.20140352599120537,0.16335983103519905,0.1558320661207814,0.3244622044697756,0.21802571240017915,0.06851887098275317,0.13998512737028337,0.14247196267732845,0.3635307826128376,0.2829475272688318,0.17291237777539722,0.27468657829931686,0.06851887098275317,0.14811930420224248,0.14834770727423166,0.11867816581938533,0.19460646055923425,0.16102266006701546,0.38760126648920734,0.17801724872907798,0.10489766978708615,0.12211882515199582,0.16527373535168174,0.12789136689584626,0.27455089709652186
control,0.307566960771828,0.37685379040514244,0.3139929128113796,0.0884574820723792,0.33384855294798393,0.1769149641447584,0.41625976419449723,0.24352245799172326,0.2736987476925484,0.13986355971611483,0.17801724872907798,0.22535211267605634,1.0,0.23274703205786387,0.1545058116522741,0.28532166182087426,0.16335983103519905,0.20258168595701584,0.29356104213932077,0.09690031662230184,0.11419811830458862,0.2274758319767105,0.12211882515199582,0.08655494824115181,0.2672282201983412,0.2200702989868692,0.2197492626394535,0.13703774196550633,0.18103470513607414,0.32636495600330967,0.1582375544258471,0.2653724462171376,0.1789140667411283,0.2422507915557546,0.35603449745815596,0.2097953395741723,0.223884512778659,0.14461451843272152,0.10657613907987187,0.3230010554076728
donor,0.08470926844646215,0.1320989873168695,0.22237479499833035,0.0,0.3280295402546543,0.05847053462046861,0.20935201159410272,0.12072654548783006,0.10279278535093246,0.13867504905630726,0.09805806756909201,0.13964821923471832,0.23274703205786387,1.0,0.10212858423763305,0.49923017660270624,0.0,0.025751310131230238,0.2808536066534909,0.16012815380508713,0.07548513560963972,0.20241022618818408,0.10090091909944687,0.0,0.12988108336653278,0.3117146000796787,0.12104550653376049,0.0,0.1359820733051053,0.12257258446136503,0.03268602252303067,0.11694106924093722,0.11826247919781652,0.20016019225635892,0.09805806756909201,0.03466876226407682,0.03363363969981562,0.20483662259967567,0.07044699536763468,0.16012815380508716
charge,0.41612453136147776,0.4008778816015087,0.23373221986993337,0.11644450194791639,0.3662289456593748,0.3105186718611104,0.37721883315695315,0.18699940608701307,0.16377007354864476,0.061371641193221554,0.2603778219616477,0.1699563928175015,0.1545058116522741,0.10212858423763305,1.0,0.1657034312216982,0.08960215366342483,0.30770354697811103,0.13559322033898305,0.13287350086318347,0.05010973520018859,0.2687343078656381,0.0893088561378213,0.11394002636002815,0.2759030802002589,0.12070759758761325,0.08035434036903077,0.17538407320066007,0.10832372170111783,0.2115569803438388,0.32547227745205964,0.1552593359305552,0.2551473183931294,0.026574700172636696,0.08679260732054923,0.25315801992203896,0.06698164210336598,0.1586408631847678,0.1402957120634867,0.23031406816285135
silicon,0.20768805540571889,0.2585572506271132,0.30735042819928804,0.021081851067789197,0.39782646462214805,0.21081851067789198,0.3234983196103152,0.18862382502860303,0.2075498086651083,0.36666666666666664,0.1649915822768611,0.20140352599120537,0.28532166182087426,0.49923017660270624,0.1657034312216982,1.0,0.03244428422615251,0.1485562705416415,0.3314068624433964,0.1732050807568877,0.0,0.31277162108561213,0.19402850002906638,0.04125684985035174,0.16858544608470494,0.3933660408643115,0.2182178902359924,0.027216552697590865,0.19611613513818404,0.1414213562373095,0.1414213562373095,0.18973665961010278,0.12792042981336624,0.14433756729740643,0.1414213562373095,0.125,0.16977493752543307,0.19694638556693236,0.2032002032003048,0.21169509870286277
hole,0.27745901235129633,0.15452877499092177,0.15174424466672098,0.10259783520851541,0.17442155257954564,0.03419927840283847,0.19242064284886287,0.2589131342368178,0.12024651756097046,0.10814761408717503,0.038235955645093626,0.16335983103519905,0.16335983103519905,0.0,0.08960215366342483,0.03244428422615251,1.0,0.0602475233128778,0.08960215366342483,0.0468292905790847,0.13245323570650439,0.13530201829834768,0.0,0.16731862035256367,0.151934281365691,0.0911605688194146,0.07079923254047886,0.13245323570650439,0.2545139051903111,0.11470786693528087,0.038235955645093626,0.06839855680567694,0.13834289277321493,0.0468292905790847,0.07647191129018725,0.0,0.0,0.07987230638308716,0.16481712868606585,0.09365858115816941
dot,0.5331279626891956,0.35377908700348826,0.29777500019127906,0.13701805122009747,0.3893386858740323,0.2153140804887246,0.42050490901821846,0.26943511520719615,0.3028223935679619,0.21664456120656053,0.2626128657194451,0.1558320661207814,0.20258168595701584,0.025751310131230238,0.30770354697811103,0.1485562705416415,0.0602475233128778,1.0,0.10256784899270367,0.1608168802256692,0.15161960871578067,0.13552054121591411,0.04503773491110449,0.07661204685080918,0.2087035428161895,0.052175885704047374,0.08104408984731078,0.17688954350174413,0.21850711221876892,0.14771973696718788,0.2626128657194451,0.19574007317156783,0.17815670605460154,0.02680281337094487,0.10942202738310212,0.23211917272131485,0.0,0.16000261230887305,0.259416646850118,0.1965539647202624
coherence,0.2811652238928904,0.22549380840084865,0.23373221986993337,0.0776296679652776,0.39592318449662145,0.19407416991319398,0.37721883315695315,0.22707070739137303,0.28659762871012834,0.09205746178983233,0.13018891098082386,0.3244622044697756,0.29356104213932077,0.2808536066534909,0.13559322033898305,0.3314068624433964,0.08960215366342483,0.10256784899270367,1.0,0.15944820103582016,0.07516460280028289,0.11517184622813063,0.3125809964823746,0.18990004393338025,0.20692731015019414,0.31039096522529125,0.3013287763838654,0.07516460280028289,0.1985934897853827,0.2766514358342507,0.1952833664712358,0.19407416991319398,0.13738701759630043,0.345471102244277,0.2603778219616477,0.1841149235796647,0.20094492631009794,0.18130384363973462,0.09353047470899113,0.26574700172636695
relaxation,0.21160368475757949,0.15713484026367722,0.23145502494313785,0.03042903097250923,0.26382761347878536,0.18257418583505539,0.17120752175028986,0.23036964956043252,0.21398024625545645,0.19245008972987526,0.034020690871988585,0.21802571240017915,0.09690031662230184,0.16012815380508713,0.13287350086318347,0.1732050807568877,0.0468292905790847,0.1608168802256692,0.15944820103582016,1.0,0.039283710065919304,0.1203858530857692,0.03500700210070024,0.14887283354385342,0.05407380704358752,0.08111071056538127,0.1259881576697424,0.07856742013183861,0.11322770341445956,0.051031036307982884,0.034020690871988585,0.12171612389003691,0.03077287274483318,0.041666666666666664,0.0,0.036084391824351615,0.07001400420140048,0.07106690545187015,0.36661778755338326,0.25
photon,0.23275217842511434,0.14814814814814814,0.07273929674533079,0.31557642080208587,0.27800247816055984,0.0573775310549247,0.24946109012559342,0.07897985036787898,0.14121975762272057,0.0,0.032075014954979206,0.06851887098275317,0.11419811830458862,0.07548513560963972,0.05010973520018859,0.0,0.13245323570650439,0.15161960871578067,0.07516460280028289,0.039283710065919304,1.0,0.11350087076783316,0.0,0.11228692280886919,0.17843445967710359,0.025490637096729083,0.059391387091649865,0.2222222222222222,0.21350420507344953,0.24056261216234406,0.032075014954979206,0.20082135869223644,0.29012942659282975,0.0,0.12830005981991682,0.0,0.13201967239688991,0.0670025210172808,0.0,0.07856742013183861
device,0.3184261263204173,0.31212739461154115,0.2089793297157573,0.0439586982263858,0.3138745217132938,0.19781414201873612,0.3147856252893015,0.1512722552040129,0.1854734003205559,0.10425720702853737,0.04914731871829905,0.13998512737028337,0.2274758319767105,0.20241022618818408,0.2687343078656381,0.31277162108561213,0.13530201829834768,0.13552054121591411,0.11517184622813063,0.1203858530857692,0.11350087076783316,1.0,0.17700260809846075,0.08602647872386805,0.21482080588773944,0.15623331337290142,0.09100315103865801,0.05675043538391658,0.22491172553012095,0.16587220067425928,0.1965892748731962,0.1318760946791574,0.15559397856603546,0.1203858530857692,0.07372097807744857,0.18245011229994043,0.07585826061362604,0.07699905035090181,0.13240678533309402,0.18057877962865382
temperature,0.07407610636824496,0.11551721334727867,0.19446111706564934,0.10226199851298273,0.23469832764274204,0.1533929977694741,0.27460953500711927,0.10557230146166803,0.21573523958898586,0.040422604172722164,0.0,0.14247196267732845,0.12211882515199582,0.10090091909944687,0.0893088561378213,0.19402850002906638,0.0,0.04503773491110449,0.3125809964823746,0.03500700210070024,0.0,0.17700260809846075,1.0,0.17510947764599097,0.15900879764848913,0.24987096773334005,0.10585122480499262,0.06600983619844496,0.09513029883089881,0.19293590828532242,0.0,0.1278274981412284,0.0,0.14002800840280097,0.17149858514250885,0.0,0.29411764705882354,0.11941628680530643,0.030802055181684874,0.0700140042014005
dynamic,0.22681468899490437,0.18246624956441246,0.24809303088898707,0.3261640365267211,0.24397801877234396,0.15220988371246985,0.2891746346450839,0.37413580900981214,0.1987804764345587,0.0,0.14586499149789456,0.3635307826128376,0.08655494824115181,0.0,0.11394002636002815,0.04125684985035174,0.16731862035256367,0.07661204685080918,0.18990004393338025,0.14887283354385342,0.11228692280886919,0.08602647872386805,0.17510947764599097,1.0,0.13524203070138519,0.09660145050098942,0.247582025133489,0.11228692280886919,0.16182267881254697,0.12763186756065775,0.07293249574894728,0.08697707640712563,0.175919798853417,0.2679711003789362,0.1701758234142103,0.10314212462587934,0.17510947764599097,0.05078367161190256,0.10479250341244921,0.2580462448093459
measurement,0.3089398541209238,0.2421610524189263,0.18773481537065959,0.2171945885116672,0.4229497874039472,0.11846977555181847,0.383779652542219,0.1902518134979082,0.1388487185658827,0.06243905410544627,0.13245323570650439,0.2829475272688318,0.2672282201983412,0.12988108336653278,0.2759030802002589,0.16858544608470494,0.151934281365691,0.2087035428161895,0.20692731015019414,0.05407380704358752,0.17843445967710359,0.21482080588773944,0.15900879764848913,0.13524203070138519,1.0,0.17543859649122806,0.16350382386265755,0.10196254838691633,0.11020775375559676,0.3145764348029479,0.15452877499092177,0.19744962591969745,0.15974461276617433,0.10814761408717503,0.15452877499092177,0.11707322644771175,0.13629325512727639,0.2075143391598224,0.07136791021047098,0.19827062582648755
resonance,0.20595990274728251,0.1911797782254681,0.3629539763832752,0.03948992518393949,0.4128795543705199,0.1382147381437882,0.25248661351461776,0.1902518134979082,0.2776974371317654,0.18731716231633883,0.11037769642208699,0.17291237777539722,0.2200702989868692,0.3117146000796787,0.12070759758761325,0.3933660408643115,0.0911605688194146,0.052175885704047374,0.31039096522529125,0.08111071056538127,0.025490637096729083,0.15623331337290142,0.24987096773334005,0.09660145050098942,0.17543859649122806,1.0,0.4700734936051405,0.1529438225803745,0.2020475485519274,0.26490647141300877,0.06622661785325219,0.09872481295984872,0.09984038297885896,0.1351845176089688,0.15452877499092177,0.07024393586862705,0.18172434016970185,0.36891438072857313,0.11894651701745163,0.21629522817435004
frequency,0.17328712959178655,0.20786985482077452,0.30618621784789724,0.046004370622823615,0.281555194994234,0.16101529717988267,0.23531040266750583,0.22163665540145625,0.2426307930309848,0.036369648372665396,0.10286889997472794,0.27468657829931686,0.2197492626394535,0.12104550653376049,0.08035434036903077,0.2182178902359924,0.07079923254047886,0.08104408984731078,0.3013287763838654,0.1259881576697424,0.059391387091649865,0.09100315103865801,0.10585122480499262,0.247582025133489,0.16350382386265755,0.4700734936051405,1.0,0.14847846772912465,0.12838814775327387,0.1735912687073534,0.025717224993681984,0.16101529717988267,0.1628347368197324,0.0314970394174356,0.25717224993681986,0.08183170883849715,0.05292561240249631,0.26860765467512676,0.11085479909473865,0.23097828906119441
phase,0.2493773340269082,0.35185185185185186,0.27277236279499045,0.08606629658238706,0.21947564065307357,0.14344382763731175,0.20543854480931223,0.19744962591969745,0.14121975762272057,0.0,0.09622504486493763,0.06851887098275317,0.13703774196550633,0.0,0.17538407320066007,0.027216552697590865,0.13245323570650439,0.17688954350174413,0.07516460280028289,0.07856742013183861,0.2222222222222222,0.05675043538391658,0.06600983619844496,0.11228692280886919,0.10196254838691633,0.1529438225803745,0.14847846772912465,1.0,0.10675210253672476,0.12028130608117203,0.032075014954979206,0.2295101242196988,0.23210354127426377,0.0,0.09622504486493763,0.034020690871988585,0.09901475429766744,0.2010075630518424,0.10369516947304253,0.15713484026367722
semiconductor,0.38335038814620814,0.21350420507344953,0.28827833009852755,0.12403473458920847,0.31629806228668855,0.14470719035407653,0.3066423274674148,0.2845551966122361,0.1744451413888741,0.09805806756909201,0.1849000654084097,0.14811930420224248,0.18103470513607414,0.1359820733051053,0.10832372170111783,0.19611613513818404,0.2545139051903111,0.21850711221876892,0.1985934897853827,0.11322770341445956,0.21350420507344953,0.22491172553012095,0.09513029883089881,0.16182267881254697,0.11020775375559676,0.2020475485519274,0.12838814775327387,0.10675210253672476,1.0,0.24268133584853777,0.1617875572323585,0.10336227882434039,0.10453025125088634,0.11322770341445956,0.1617875572323585,0.14708710135363803,0.047565149415449405,0.1207011373963169,0.19925419255468715,0.22645540682891915
information,0.28075723831394206,0.22853448155422687,0.24803918541230535,0.22360679774997896,0.38014296063485276,0.05590169943749474,0.3907775864772995,0.2436698586202241,0.1965534068853597,0.11785113019775793,0.10416666666666667,0.14834770727423166,0.32636495600330967,0.12257258446136503,0.2115569803438388,0.1414213562373095,0.11470786693528087,0.14771973696718788,0.2766514358342507,0.051031036307982884,0.24056261216234406,0.16587220067425928,0.19293590828532242,0.12763186756065775,0.3145764348029479,0.26490647141300877,0.1735912687073534,0.12028130608117203,0.24268133584853777,1.0,0.10416666666666667,0.18633899812498247,0.11306675421666136,0.15309310892394865,0.1875,0.044194173824159216,0.32155984714220404,0.1523179489612356,0.06735198826004059,0.17010345435994292
singlet,0.3887407915116121,0.3047126420723025,0.22047927592204922,0.12422599874998831,0.3167858005290439,0.27329719724997426,0.31770535485959306,0.20519567041703082,0.20965696734438366,0.19641855032959654,0.19444444444444445,0.11867816581938533,0.1582375544258471,0.03268602252303067,0.32547227745205964,0.1414213562373095,0.038235955645093626,0.2626128657194451,0.1952833664712358,0.034020690871988585,0.032075014954979206,0.1965892748731962,0.0,0.07293249574894728,0.15452877499092177,0.06622661785325219,0.025717224993681984,0.032075014954979206,0.1617875572323585,0.10416666666666667,1.0,0.17391639824998364,0.15075567228888181,0.13608276348795434,0.1388888888888889,0.854420693933745,0.0,0.14506471329641488,0.11973686801784993,0.18144368465060579
fidelity,0.19316685232156397,0.4590202484393976,0.15494494670022804,0.17777777777777778,0.2833418337158525,0.3111111111111111,0.2841643081126973,0.1835325870964494,0.21877670777129785,0.03513641844631533,0.22360679774997896,0.19460646055923425,0.2653724462171376,0.11694106924093722,0.1552593359305552,0.18973665961010278,0.06839855680567694,0.19574007317156783,0.19407416991319398,0.12171612389003691,0.20082135869223644,0.1318760946791574,0.1278274981412284,0.08697707640712563,0.19744962591969745,0.09872481295984872,0.16101529717988267,0.2295101242196988,0.10336227882434039,0.18633899812498247,0.17391639824998364,1.0,0.3595732599803958,0.15214515486254615,0.1987615979999813,0.18446619684315546,0.20452399702596546,0.1297498240269205,0.026773977630083295,0.22314622713173435
scheme,0.2865127435888428,0.37716825457067865,0.12820564851709268,0.20225995873897262,0.3094670210205231,0.11236664374387369,0.3448503674037771,0.24747528995589838,0.2212488394343549,0.035533452725935076,0.15075567228888181,0.16102266006701546,0.1789140667411283,0.11826247919781652,0.2551473183931294,0.12792042981336624,0.13834289277321493,0.17815670605460154,0.13738701759630043,0.03077287274483318,0.29012942659282975,0.15559397856603546,0.0,0.175919798853417,0.15974461276617433,0.09984038297885896,0.1628347368197324,0.23210354127426377,0.10453025125088634,0.11306675421666136,0.15075567228888181,0.3595732599803958,1.0,0.12309149097933272,0.1256297269074015,0.10660035817780521,0.1292719224987548,0.1049727762162956,0.05415303610738823,0.20515248496555455
bath,0.1587027635681846,0.09820927516479827,0.19287918745261487,0.09128709291752769,0.21726979933547028,0.15214515486254615,0.17120752175028986,0.23036964956043252,0.1925822216299108,0.0,0.06804138174397717,0.38760126648920734,0.2422507915557546,0.20016019225635892,0.026574700172636696,0.14433756729740643,0.0468292905790847,0.02680281337094487,0.345471102244277,0.041666666666666664,0.0,0.1203858530857692,0.14002800840280097,0.2679711003789362,0.10814761408717503,0.1351845176089688,0.0314970394174356,0.0,0.11322770341445956,0.15309310892394865,0.13608276348795434,0.15214515486254615,0.12309149097933272,1.0,0.17010345435994292,0.10825317547305484,0.10502100630210073,0.035533452725935076,0.036661778755338326,0.16666666666666666
pulse,0.18717149220929472,0.19245008972987526,0.2047307562133314,0.09938079899999065,0.27877150446555865,0.24845199749997662,0.2160396413045233,0.18809603121561158,0.20965696734438366,0.039283710065919304,0.16666666666666666,0.17801724872907798,0.35603449745815596,0.09805806756909201,0.08679260732054923,0.1414213562373095,0.07647191129018725,0.10942202738310212,0.2603778219616477,0.0,0.12830005981991682,0.07372097807744857,0.17149858514250885,0.1701758234142103,0.15452877499092177,0.15452877499092177,0.25717224993681986,0.09622504486493763,0.1617875572323585,0.1875,0.1388888888888889,0.1987615979999813,0.1256297269074015,0.17010345435994292,1.0,0.1473139127471974,0.1143323900950059,0.11605177063713189,0.02993421700446248,0.22680460581325723
triplet,0.30542361089076303,0.30618621784789724,0.21714975905384482,0.05270462766947299,0.2688016652852352,0.26352313834736496,0.269581933008596,0.1995059687802532,0.16678109624874776,0.16666666666666666,0.1767766952966369,0.10489766978708615,0.2097953395741723,0.03466876226407682,0.25315801992203896,0.125,0.0,0.23211917272131485,0.1841149235796647,0.036084391824351615,0.0,0.18245011229994043,0.0,0.10314212462587934,0.11707322644771175,0.07024393586862705,0.08183170883849715,0.034020690871988585,0.14708710135363803,0.044194173824159216,0.854420693933745,0.18446619684315546,0.10660035817780521,0.10825317547305484,0.1473139127471974,1.0,0.03031695312954162,0.12309149097933272,0.09525009525014287,0.19245008972987526
diamond,0.04444566382094698,0.18152704954572363,0.145845837799237,0.1533929977694741,0.23469832764274204,0.10226199851298273,0.3007628240554163,0.14076306861555737,0.21573523958898586,0.0,0.05716619504750295,0.12211882515199582,0.223884512778659,0.03363363969981562,0.06698164210336598,0.16977493752543307,0.0,0.0,0.20094492631009794,0.07001400420140048,0.13201967239688991,0.07585826061362604,0.29411764705882354,0.17510947764599097,0.13629325512727639,0.18172434016970185,0.05292561240249631,0.09901475429766744,0.047565149415449405,0.32155984714220404,0.0,0.20452399702596546,0.1292719224987548,0.10502100630210073,0.1143323900950059,0.03031695312954162,1.0,0.11941628680530643,0.0,0.09335200560186732
transition,0.19549424775314506,0.2010075630518424,0.24673188560991335,0.051899929610768204,0.3044022193707217,0.1297498240269205,0.30528582709109187,0.28575985054763725,0.21897956058054358,0.12309149097933272,0.11605177063713189,0.16527373535168174,0.14461451843272152,0.20483662259967567,0.1586408631847678,0.19694638556693236,0.07987230638308716,0.16000261230887305,0.18130384363973462,0.07106690545187015,0.0670025210172808,0.07699905035090181,0.11941628680530643,0.05078367161190256,0.2075143391598224,0.36891438072857313,0.26860765467512676,0.2010075630518424,0.1207011373963169,0.1523179489612356,0.14506471329641488,0.1297498240269205,0.1049727762162956,0.035533452725935076,0.11605177063713189,0.12309149097933272,0.11941628680530643,1.0,0.03126526997403612,0.14213381090374028
orbit,0.37237283877104327,0.25923792368260634,0.3733643283161719,0.05354795526016659,0.32772331803924065,0.10709591052033318,0.2328111901575301,0.3685423035983738,0.30124402353524565,0.508000508000762,0.1496710850223124,0.12789136689584626,0.10657613907987187,0.07044699536763468,0.1402957120634867,0.2032002032003048,0.16481712868606585,0.259416646850118,0.09353047470899113,0.36661778755338326,0.0,0.13240678533309402,0.030802055181684874,0.10479250341244921,0.07136791021047098,0.11894651701745163,0.11085479909473865,0.10369516947304253,0.19925419255468715,0.06735198826004059,0.11973686801784993,0.026773977630083295,0.05415303610738823,0.036661778755338326,0.02993421700446248,0.09525009525014287,0.0,0.03126526997403612,1.0,0.1710883008582455
