DOI,quantum dot,gate,field,entanglement,electron,noise,state,interaction,couple,valley,exchange,decoherence,control,donor,charge,silicon,hole,dot,coherence,relaxation,photon,device,temperature,dynamic,measurement,resonance,frequency,phase,semiconductor,information,singlet,fidelity,scheme,bath,pulse,triplet,diamond,transition,orbit,order
10.1103/PhysRevB.82.155312,3.93,0.0,1.93,0.0,0.53,0.0,1.07,2.25,4.67,19.22,2.08,0.0,0.0,0.0,0.0,1.76,0.0,8.06,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0,6.58,0.0,0.0,6.67,0.0
10.1155/2010/342915,0.79,0.0,0.0,18.62,0.0,0.0,0.0,3.38,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,2.69,0.0,0.0,0.0,4.72,0.0,0.0,7.28,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.062120,0.0,0.0,2.89,5.59,0.0,0.0,0.54,0.0,1.17,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,4.94,14.56,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.266603,2.36,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,13.47,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,1.68
10.1103/PhysRevB.82.165320,0.79,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.115324,1.57,0.0,1.93,0.0,0.53,0.0,2.69,0.0,3.51,19.22,0.0,1.41,0.0,0.0,0.0,1.76,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.0
10.1038/ncomms1034,0.79,0.0,0.0,0.0,1.06,0.0,0.54,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS1679,0.0,0.0,0.96,0.0,0.0,0.0,0.0,2.25,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.044304,0.0,0.0,0.0,3.72,0.0,0.0,0.0,6.76,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1393/ncr/i2010-10056-y,0.79,0.0,0.0,0.0,1.06,0.0,0.54,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.045311,3.14,0.0,1.93,0.0,1.06,0.0,0.0,1.13,4.67,0.0,8.32,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0
10.1142/S0219749910006435,0.0,4.0,0.0,1.86,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.161305,2.36,0.0,0.96,0.0,1.06,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,4.89,1.63,0.0,0.0,0.0,0.0,2.08,0.0,3.77,0.0,0.0,2.19,0.0,0.0,0.0,1.68
10.1016/j.physe.2009.12.041,0.0,0.0,0.0,7.45,0.0,0.0,1.07,4.5,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.121306,2.36,0.0,2.89,0.0,1.06,0.0,0.54,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/12/9/093028,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,1.41,0.0,4.79,1.6,5.28,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.245314,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,10.98,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1140/epjd/e2010-00065-0,0.0,0.0,1.93,5.59,0.0,0.0,0.54,1.13,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.195305,1.57,1.0,2.89,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0
10.1103/PhysRevA.81.020305,0.0,0.0,0.0,0.0,1.06,0.0,1.61,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.014302,0.0,0.0,0.0,7.45,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.257402,3.14,0.0,0.0,0.0,1.06,0.0,0.0,4.5,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,4.89,1.93,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0
10.1021/nl9037399,3.93,0.0,0.0,0.0,0.53,0.0,1.07,1.13,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,5.16,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.16,0.0,1.68
10.1103/PhysRevB.82.125437,1.57,0.0,0.96,0.0,2.13,0.0,2.15,3.38,1.17,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,2.08,0.0,0.0,0.0,0.0,0.0,0.0,2.16,2.22,0.0
10.1103/PhysRevB.82.245306,1.57,3.0,1.93,0.0,3.72,0.0,2.15,1.13,0.0,0.0,0.0,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0
10.1088/1367-2630/12/6/065016,0.0,0.0,0.0,0.0,0.53,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,2.39,1.6,3.52,0.0,0.0,0.0,0.0,0.0,16.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature09150,0.0,1.0,0.96,0.0,0.0,0.0,0.54,5.63,2.34,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,1.63,1.93,0.0,6.88,1.52,0.0,0.0,1.88,0.0,0.0,0.0,0.0,2.16,0.0,0.0
10.1007/s11467-009-0067-x,0.0,0.0,0.0,1.86,0.0,0.0,2.69,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,3.26,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1021/jz101650z,0.0,0.0,0.96,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS1863,2.36,2.0,0.0,3.72,1.06,0.0,0.54,2.25,0.0,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68
10.1063/1.3543841,2.36,0.0,0.96,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0256-307X/28/7/070305,1.57,1.0,0.0,0.0,0.53,1.86,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,1.86,1.88,0.0,0.0,4.39,0.0,2.16,0.0,0.0
10.1103/PhysRevB.84.033301,0.79,0.0,0.0,5.59,2.13,0.0,1.07,0.0,1.17,0.0,0.0,1.41,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,1.88,2.47,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.107.030506,1.57,5.99,0.0,0.0,1.06,0.0,0.54,0.0,1.17,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,1.61,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.107.210502,0.79,0.0,0.0,3.72,1.06,0.0,1.07,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.84.155329,1.57,2.0,0.0,0.0,0.0,0.0,0.54,0.0,1.17,0.0,2.08,0.0,0.0,0.0,3.19,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.107.197602,0.0,0.0,0.0,0.0,0.0,0.0,1.07,1.13,0.0,0.0,0.0,0.0,0.0,2.39,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0031-8949/84/04/045002,1.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.0
10.1103/PhysRevB.83.235316,0.0,0.0,0.0,0.0,0.53,9.31,1.07,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,3.64,1.63,0.0,3.86,0.0,0.0,0.0,2.08,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,1.68
10.1038/nature10401,0.0,0.0,0.0,3.72,0.0,0.0,2.69,0.0,0.0,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,3.26,0.0,0.0,0.0,0.0,3.03,0.0,3.72,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0
10.1103/PhysRevLett.106.040505,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,3.51,0.0,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1109/TED.2010.2089988,0.0,2.0,0.96,0.0,2.66,0.0,0.54,0.0,0.0,0.0,0.0,0.0,1.41,2.39,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68
10.1088/0031-8949/84/06/065010,0.0,0.0,0.96,7.45,1.59,1.86,1.61,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.84,0.0,4.94,0.0,0.0,0.0,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.84.235309,2.36,0.0,0.0,0.0,2.66,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,6.24,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,1.68
10.1103/PhysRevB.83.121403,2.36,5.99,1.93,0.0,0.0,0.0,0.0,1.13,0.0,0.0,2.08,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,1.72,1.52,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1674-1056/20/10/100310,2.36,1.0,0.0,1.86,0.53,0.0,1.07,0.0,0.0,0.0,0.0,5.65,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0
10.1038/ncomms1378,0.0,2.0,0.0,1.86,0.0,0.0,0.54,0.0,10.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0953-8984/23/11/115302,0.0,0.0,0.0,0.0,0.53,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0
10.1103/PhysRevA.84.012315,1.57,5.0,0.0,0.0,0.53,1.86,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0
10.1016/j.physleta.2010.12.048,0.0,0.0,0.96,0.0,1.06,0.0,1.07,0.0,0.0,5.49,0.0,0.0,2.83,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.106.180503,1.57,1.0,0.96,0.0,0.0,0.0,0.54,2.25,3.51,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.107.266803,0.0,0.0,0.96,0.0,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.76,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0268-1242/26/5/055004,2.36,5.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
