DOI,nouns
10.1088/0253-6102/53/6/07,ghz state|w state|multipartite|entanglement|transfer|state|qubit|multipartite|entanglement|transfer|qubit|field|field|qubit|entanglement|state|field|ability|qubit|entanglement|state|entanglement|phase|field
10.1103/PhysRevB.81.235324,quantum dot|quantum dot|spin|entanglement|dynamic|couple|electron|spin|entanglement|dynamic|spin|qubit|situation|field|approximation|couple|constant|couple|coefficient|exchange|couple|dynamic|therefrom|property|decoherence|investigation|electron|spin|dynamic|agreement|datum
10.1103/PhysRevB.82.075403,quantum dot|spin|manipulation|exchange|qubit|initialization|spin|manipulation|readout|spin|qubit|electron|spin|qubit|gate|qubit|control|neighbor|exchange|interaction|readout|charge|state|advantage|reflectometry|decoherence|spin|subspace|prediction|gate|voltage|noise|power|spectrum|theory|exchange|qubit|initialization|spin|gate|requirement|control|exchange|interaction
10.1103/PhysRevA.82.013601,qubit|order|interaction|molecule|cavity|exchange|microwave|photon|stripline|cavity|spin|qubit|interaction|charge|phase|qubit|ensemble|molecule|order|interaction|molecule|commutation|relation|qubit|numerical|simulation|order|interaction|parameter|number|number|kerr|interaction|kerr|parameter|number|value|order|magnitude|proposal|scheme|state|way|quantum|dynamic|molecule
10.1016/j.jlumin.2009.12.004,couple|defect|center|nanostructure|nitrogen|vacancy|defect|center|diamond|candidate|number|field|optic|quantum|information|photon|generation|spin|qubit|gate|defect|center|nanostructure|metal|particle|microcavitie|assembly|structure|manipulation|field|probe|enhancement|photon|emission|gold|nanosphere|couple|diamond|nanocrystal|mode|microsphere|resonator|crystal|cavity|prototype|element|control|generation|transfer|photon|level|quantum|emitter|right
10.1016/j.ijleo.2009.03.006,quantum network|quantum state|quantum state|waveguidance|simulation|cavity|raman|conversion|spin|qubit|photon|qubit|channel|qubit|transmission|laser|field|atom|node|cavity|qubit|node|channel|spin|state|nanodot|deal|phenomena|waveguidance|simulation|transmission|protocol|transfer|entanglement|nanodot|qubit|gmbh|right
10.1103/PhysRevA.81.044305,quantum dot|qubit|spin|bath|qubit|product|state|electron|spin|spin|dress|transformation|scheme|couple|portion|dipole|dipole|interaction|gate|source|decoherence|electron|spin|qubit|proposal|error|correction|qubit|hamiltonian|spin|hamiltonian|mechanism|qubit|decoherence
10.1016/j.chemphys.2010.03.003,quantum state|destruction|tunneling|preparation|spin|qubit|diamond|qubit|pulse|parameter|regime|dynamic|form|destruction|tunneling|pulse|pulse|preparation|qubit|state|experiment|nitrogen|vacancy|center|spin|qubit|diamond|right
10.1063/1.3518919,quantum dot|quantum dot|quantum dot|quantum dot|quantum dot|device|spin|qubit|electron|spin|candidate|qubit|spin|qubit|micromagnet|simulation|field|distribution|field|gradient|difference|plane|component|manipulation|qubit|qubit|step|qubit|device|charge|state|american|institute|physics
10.1166/jctn.2010.1536,quantum dot|quantum dot|quantum dot|quantum dot|quantum gate|qubit|semiconductor|molecule|len|ina|gaas|field|growth|direction|diameter|contrast|possibility|ground|state|wave|function|dot|manipulation|spin|qubit|relocation|behavior|state|molecule|feature|susceptibility|qubit|qubit|field|susceptibility|change|qubit
10.1103/PhysRevB.82.115445,quantum dot|quantum dot|gaas|spin|bath|quantum|control|spin|electron|spin|state|interaction|cross|spin|singlet|state|triplet|state|superposition|singlet|state|landau|stuckelberg|interferometry|rotation|rate|zeeman|energy|spin|rotation|coherence|spin|qubit|couple|spin|bath|agreement|datum|qubit|qubit|control|landau|stuckelberg|interferometry
10.1103/PhysRevB.82.075304,quantum dot|quantum dot|quantum dot|transport|diagram|regime|addition|line|addition|electron|dot|interplay|transport|nature|stability|diagram|regime|spin|qubit|bias|transport|circuit|quadruple|point|location|circuit
10.1088/1367-2630/12/11/113019,quantum dot|quantum dot|heterostructure|electron|beam|heterostructure|transport|charge|spectroscopy|gate|measurement|challenge|silicon|heterostructure|electron|mass|transport|property|tunability|charge|noise|engineering|gate|device|spin|qubit
10.1103/PhysRevA.82.052339,function|transfer|dimension|initialization|state|initialization|collaboration|function|fermionic|network|state|transfer|fermionic|atom|lattice|find|state|spin|qubit|fermionic|family|hamiltonian|transfer|function|type|error
10.1103/PhysRevB.82.155312,quantum dot|quantum dot|quantum dot|quantum dot|quantum dot|spin|qubit|silicon|multivalley|physics|spin|qubit|spin|coherence|spectrum|dot|valley|degree|freedom|valley|degeneracy|interface|potential|rise|valley|orbit|couple|structure|interface|fact|spin|qubit|valley|degree|freedom|knowledge|valley|orbit|couple|spin|qubit|spectrum|multivalley|initialization|qubit|condition|energy|electron|state|singlet|triplet|state|expression|exchange|split|singlet|triplet|qubit|dot|spectrum|initialization|dot|spectrum|singlet|triplet|mix|field|peculiarity|spin|blockade|multivalley|qubit|interaction|role|spin|blockade|intravalley|intervalley|evolution|dot|spectrum|function|field|situation|valley|orbit|couple|dot|interface|roughness|experiment|valley|split|possibility|type|qubit|qds|size|intervaley|couple|coulomb|interaction
10.1155/2010/342915,quantum dot|quantum network|dynamic|entanglement|spin|qubit|photon|qubit|semiconductor|nanocavity|dynamic|entanglement|spin|qubit|photon|qubit|node|robustness|decoherence|entanglement|dynamic|decoherence|regime|delta|condition|entanglement|picosecond|interaction|regime|delta|peak|entanglement|picosecond|entanglement|dynamic|decoherence|spin|nucleus|hole|nucleus|hyperfine|interaction|regime|amount|entanglement|entanglement|picosecond|interaction|entanglement|regime|amount|entanglement|picosecond
10.1103/PhysRevA.82.062120,decouple|qubit|spin|bath|quantum|control|feasibility|preservation|coherence|entanglement|spin|qubit|quantum|chain|decouple|scheme|number|pulse|period|qubit|sequence|cycle|pulse|direction|finite|width|field|width|accumulation|sequence|number|pulse|field|practice|consideration|sequence|pulse|cycle|cycle|nontrivial|pulse|sequence|qubit|bath|couple|number|pulse|sequence|qubit|entanglement|coherence|density|matrix|renormalization|field|laboratory|number|pulse|cycle|direction|guide|preservation|coherence|entanglement|spin|qubit|state
10.1103/PhysRevLett.105.266603,quantum dot|quantum dot|quantum dot|hybridization|decoherence|hole|spin|dynamic|hole|semiconductor|spin|bath|band|hybridization|decay|hole|spin|superposition|hyperfine|pair|flip|hole|spin|decoherence|order|magnitude|parameter|condition|pair|flip|hole|spin|limitation|interaction|spin|qubit|candidate
10.1103/PhysRevB.82.165320,quantum dot|superconducting qubit|cool|motion|level|temperature|regime|cool|resonator|state|level|regime|temperature|planck|equation|mode|saturation|dynamic|resonator|mode|occupation|number|degrade|rate|breakdown|temperature|dependence|parameter|state|resonator|spin|qubit
10.1103/PhysRevB.81.115324,quantum dot|quantum dot|theory|valley|orbit|couple|sige|electron|state|account|valley|physic|geometry|dot|shape|field|valley|couple|tilt|quantum|well|interface|axis|absence|tilt|valley|split|pair|state|quantum|number|tilt|silicon|heterostructure|valley|orbit|couple|context|valley|split|concept|quantity|merit|qubit|ground|state|gap|dot|qubit|energy|spectrum|function|field|tilt|angle|number|ground|state|gap|mix|fraction|ground|state|mix|valley|scatter|decoherence|leakage|spin|qubit
10.1038/ncomms1034,quantum computing|quantum dot|couple|fullerene|peapod|transport|experiment|peapod|carbon|nanotube|molecule|functionality|respect|nanotube|datum|storage|device|electron|transistor|spin|qubit|array|understand|nanotube|fullerene|obstacle|peapod|potential|fullerene|temperature|electron|transport|nanotube|temperature|dependence|coulomb|blockade|oscillation|presence|couple|state|vibration|fullerene|presence|interplay|excitation|peapod|class
10.1038/NPHYS1679,quantum memory|quantum|spin|transducer|resonator|array|spin|solid|quantum|computer|spin|degree|freedom|interaction|environment|reason|interaction|spin|distance|ten|nanometre|realization|datum|bus|spin|qubit|spin|motion|resonator|field|gradient|moment|spin|qubit|spin|spin|couple|distance|coulomb|force|class|spin|qubit|tip|quantum|computer|architecture
10.1103/PhysRevA.81.044304,disentanglement|spin|environment|role|multisite|interaction|entanglement|spin|qubit|spin|chain|site|interaction|environment|disentanglement|couple|region|site|interaction|decay|entanglement|spin|qubit|couple|region|role|interaction|disentanglement|strength|site|interaction|interval|interaction|disentanglement
10.1393/ncr/i2010-10056-y,quantum computing|quantum computing|quantum computing|quantum dot|adiabatic quantum|electron|spin|topic|spin|qubit|clot|introduction|criterion|realization|formulation|measurement|spin|qubit|gaas|electron|quantum|clot|achievement|respect|initialization|manipulation|readout|spin|state|decoherence|tin|emphasis|treatment|way
10.1103/PhysRevB.82.045311,quantum dot|quantum dot|quantum dot|quantum dot|spin|orbit|couple|anisotropic|exchange|electron|influence|spin|orbit|interaction|energy|spectrum|electron|hamiltonian|spin|qubit|pair|baruffa|phy|rev|lett|field|anisotropic|exchange|hamiltonian|dot|find|importance|interdot|couple|dot|absence|couple|level|fact|dot|symmetry|couple|regime|heitler|london|approximation|anisotropic|exchange|parameter|field|exchange|discrepancy|dresselhaus|bychkov|rashba|spin|orbit|term|numerical|datum|gaas|dresselhaus|term
10.1142/S0219749910006435,quantum computer|quantum communication|quantum error correction|computation|architecture|semiconductor|nanophotonic|scale|cost|communication|resource|requirement|demand|technology|architecture|fault|computer|photon|gate|communication|resource|overhead|computer|gate|photon|quantum|memory|communication|resource|presence|loss|compromise|architecture|semiconductor|spin|qubit|laser|pulse|waveguide|cavity|combination|entanglement|mechanism|resource|requirement|gate|part|speed|gate|semiconductor|nanophotonic|hardware|cluster|state|fault|tolerance|architecture|technology|combination|potential
10.1103/PhysRevB.81.161305,quantum dot|quantum dot|quantum dot|bell state|bell state|bell state|proposal|analyzer|spin|qubit|scheme|measurement|spin|qubit|scheme|pauli|spin|blockade|measurement|electron|spin|resonance|order|average|zeeman|field|lande|factor|dot|satisfy|factor|engineering|spin|triplet|state|spin|singlet|state|state|spin|charge|conversion|measurement|electron|spin|qubit
10.1016/j.physe.2009.12.041,entanglement|dynamic|quantum|environment|role|moriya|interaction|evolution|entanglement|spin|qubit|spin|chain|moriya|interaction|environment|state|interaction|decay|entanglement|couple|region|couple|state|ghz|decay|entanglement|interaction|couple|region|right
10.1103/PhysRevB.81.121306,quantum dot|quantum dot|quantum dot|control|spin|blockade|field|spin|phenomenon|triangular|configuration|field|interplay|bohm|oscillation|electron|spin|blockade|electron|spin|resonance|configuration|behavior|current|removal|restoration|spin|state|field|frequency|prediction|spin|qubit|triangular|array
10.1088/1367-2630/12/9/093028,quantum memory|quantum memory|quantum|hall|charge|sensor|donor|spin|detection|silicon|scheme|measurement|spin|qubit|silicon|insensitivity|integer|quantum|hall|state|phosphorus|impurity|silicon|spin|measurement|robustness|defect|donor|spin|qubit|decoherence|device
10.1103/PhysRevB.82.245314,interface|state|valley|split|interface|disorder|valley|degeneracy|conduction|band|challenge|spin|qubit|silicon|interface|interface|state|valley|state|ground|state|energy|gap|hybridization|detail|valley|split|split|disorder|bond|interface|agreement|experiment
10.1140/epjd/e2010-00065-0,entanglement|dynamic|particle|spin|star|bath|field|entanglement|dynamic|spin|qubit|spin|star|bath|interaction|limit|operator|primakoff|transformation|hamiltonian|hamiltonian|cumme|dynamic|entanglement|behavior|temperature|couple|strength|center|spin|bath|detune|field|state|qubit
10.1103/PhysRevB.82.195305,quantum dot|quantum dot|manipulation|spin|qubit|field|manipulation|spin|qubit|mean|spin|orbit|interaction|soi|field|magnet|transformation|moriya|interaction|spin|rashba|soi|field|demonstration|gate|spin|initialization|spin|rotation|direction|spin|rotation|direction|relaxation|feasibility|proposal
10.1103/PhysRevA.81.020305,quantum gate|quantum gate|control|spin|microwave|pulse|state|control|alpha|proton|spin|center|dot|gamma|acid|crystal|microwave|pulse|state|electron|spin|spin|state|nanosecond|scale|way|spin|qubit|spin|electron|spin
10.1103/PhysRevA.81.014302,quantum entanglement|dynamic|entanglement|anisotropic|chain|dynamic|anisotropic|density|matrix|renormalization|group|quenche|interaction|quench|number|domain|wall|magnetization|quench|dynamic|pairwise|entanglement|qubit|spin|chain|entanglement|spin|qubit|oscillate|quench|anisotropic|interaction|influence|oscillation|frequency|entanglement
10.1103/PhysRevLett.105.257402,quantum dot|quantum dot|quantum dot|quantum dot|measurement|hole|interaction|ingaas|resonance|fluorescence|strength|sign|interaction|hole|spin|self|experiment|lock|resonance|incident|laser|frequency|spin|polarization|overhauser|shift|transition|electron|exciton|zeeman|energy|respect|transition|resonance|fluorescence|ratio|hole|electron|hyperfine|interaction|interaction|decoherence|source|spin|qubit|effort|hole|spin|information|process
10.1021/nl9037399,quantum dot|quantum dot|quantum dot|quantum dot|quantum dot|spin|semiconductor|pressure|spin|coherence|dynamic|semiconductor|pressure|orientation|diamond|anvil|cell|spin|lip|gigapascal|electron|exciton|lande|factor|characteristic|order|transition|observation|existence|state|nanoscale|support|pressure|exchange|interaction|anisotropy|find|insight|mechanism|state|transformation|semiconductor|information|process|manipulation|spin|qubit
10.1103/PhysRevB.82.125437,quantum dot|quantum dot|carbon|nanotube|electron|eigenspectrum|carbon|nanotube|spin|orbit|couple|calculation|description|particle|interaction|dot|field|electron|ground|state|spin|valley|degree|freedom|spin|singlet|state|occupation|dot|detune|dot|coulomb|interaction|correlation|level|mix|change|dot|configuration|strength|electron|electron|interaction|ground|state|transition|ground|state|spin|valley|degree|freedom|suppression|energy|gap|disappearance|pauli|blockade|transport|experiment|stability|spin|qubit|information|proposal|array|dot|body|behavior
10.1103/PhysRevB.82.245306,quantum dot|quantum dot|spin|localization|electron|manipulation|singlet|state|electron|pair|configuration|interaction|nanodevice|qds|electron|localization|voltage|gate|voltage|nanodevice|source|drain|voltage|second|electron|state|input|qds|output|qds|field|qds|parameter|localization|electron|output|qds|spin|state|electron|pair|spin|state|shoot|measurement|charge|output|qds|possibility|gate|electron|spin|qubit|qds|exclusive|xor|logic|gate|field|transition|output|spin|charge|conversion
10.1088/1367-2630/12/6/065016,quantum computer|quantum computer|quantum coherence|pathway|device|atom|precision|state|device|atom|consequence|advance|microelectronic|proposal|spin|charge|fabrication|device|area|dope|silicon|atom|nanometre|precision|ion|implantation|device|challenge|design|state|device|atom|limit|potential|device|prototype|donor|device|electron|spin|qubit|tunnelling|passage|ctap|protocol|statistic|placement|ion|implantation|treatment|transport|property|assumption|probability|proof|concept|device|limitation|ion|implantation|yield|kev|phosphoru|silicon|target|atom|site|space|yield|energy|implant|dope|tool|term|device
10.1038/nature09150,quantum device|matter|spin|interaction|colloidal|hetero|interplay|light|matter|basis|matter|interaction|principle|gate|state|device|principle|optical|ose|control|scheme|spin|semiconductor|potential|spin|dimension|semiconductor|matter|couple|nanoscale|experiment|enhancement|matter|interaction|need|finesse|device|scale|integration|ose|energy|detune|cavity|colloidal|metal|semiconductor|core|shell|hetero|nanostructure|metal|surface|plasmon|semiconductor|exciton|transition|ose|exhibit|polarization|dependence|mechanism|spin|manipulation|colloidal|nanostructure|plasmon|exciton|resonant|nature|tailor|spin|manipulation|tune|plasmon|resonance|intensity|frequency|pathway|matter|spin|interaction|plasmon|exciton|resonant|couple|nanostructure|basis|information|process|nanoscale|nanostructure|matter|interaction|test|bed|field|nano|biophotonic|nano
10.1007/s11467-009-0067-x,quantum computer|quantum system|quantum system|quantum system|quantum simulator|quantum simulator|quantum simulation|quantum simulation|quantum phase transition|quantum phase transition|spin|qubit|investigation|particle|particle|number|degree|freedom|number|particle|difficulty|dynamic|resource|task|context|information|process|difficulty|source|power|situation|information|processor|quantum|mechanic|information|perspective|physicist|type|information|process|simulation|information|processor|review|type|spin|qubit|resonance|process|basic|information|process|resonance|nmr|fundamental|today|simulation|change|ground|state|exhibit|parameter|hamiltonian|point|ground|state|chain|spin|interaction|type|strength|interaction|ground|state|product|state|state|type|entanglement
10.1021/jz101650z,quantum bit|esr|endor|diphenylnitroxide|bus|spin|qubit|radical|client|qubit|electron|spin|qubit|focus|issue|information|science|technology|field|viewpoint|chemistry|spin|qubit|dpno|fluorine|radical|electron|bus|spin|qubit|wave|esr|endor|triple|spectroscopy|calculation|dpno|candidate|bus|spin|qubit|client|qubit|dpno|spin|delocalization|spin|polarization|conjugation|phenyl|ring|number|client|qubit
10.1038/NPHYS1863,quantum dot|quantum dot|quantum dot|quantum bit|control|entanglement|quantum|dot|interaction|creation|entanglement|particle|correlation|heart|information|science|semiconductor|control|spin|qubit|control|spin|qubit|challenge|quantum|information|platform|advance|laser|control|state|electron|spin|electron|spin|tunnelling|tunnelling|rate|gate|qubit|gate|interaction|rate|ghz|order|magnitude|viability|advantage|quantum|dot|spin
10.1063/1.3543841,quantum computing|quantum dot|quantum dot|quantum dot|creation|exciton|color|excitation|initialization|electron|spin|qubit|pump|exciton|semiconductor|color|excitation|laser|source|energy|resonant|barrier|excitation|condition|photoluminescence|spectra|exciton|exciton|excitation|condition|initialization|electron|spin|qubit|field|way|spin|qubit|american|institute|physics
10.1088/0256-307X/28/7/070305,quantum computing|quantum computing|quantum dot|quantum dot|singlet|triplet|spin|qubit|structure|spin|qubit|fidelity|spin|qubit|electron|singlet|triplet|qubit|state|gate|charge|dipole|transition|noise|feasibility|scheme|condition
10.1103/PhysRevB.84.033301,quantum dot|quantum state|entanglement|electron|spin|qubit|witness|operator|scheme|entanglement|electron|spin|qubit|witness|operator|configuration|electron|spin|position|energy|level|spectrum|spin|distribution|probability|electron|degree|entanglement|concurrence|density|matrix|evolution|expectation|value|witness|operator|spin|singlet|state|account|decoherence|quantum|charge|fluctuation|boson|bath|interdot|couple|ground|state
10.1103/PhysRevLett.107.030506,quantum dot|quantum dot|charge|state|gate|spin|qubit|gate|singlet|triplet|qubit|arrangement|electron|qubit|dot|device|geometry|qubit|gate|electron|spin|qubit|strength|couple|qubit|geometry|gate|gate|pathway|set|gate|singlet|triplet|spin|qubit
10.1103/PhysRevLett.107.210502,quantum dot|information|transfer|spin|qubit|information|entanglement|qubit|spin|qubit|suggestion|control|electron|spin|qubit|majorana|mode|superconductor|spin|polarization|majorana|mode|electron|transfer|spin|superposition|state|superposition|state|majorana|superconductor|distance|quantum|information|transfer|entanglement|spin|qubit
10.1103/PhysRevB.84.155329,quantum dot|quantum dot|quantum gate|spin|qubit|exchange|singlet|triplet|spin|qubit|gate|charge|density|operator|dot|state|coulomb|couple|qubit|bias|point|qubit|gate|position|formulation|rate|qubit|charge|environment|consideration|computation|architecture|capability
10.1103/PhysRevLett.107.197602,quantum|readout|initialization|spin|qubit|current|spin|qubit|coherence|state|readout|initialization|challenge|theory|interaction|current|spin|donor|impurity|semiconductor|theory|sensitivity|criterion|detection|spin|state|resonance|spin|qubit|initialization
10.1088/0031-8949/84/04/045002,quantum computing|quantum computing|quantum computing|quantum dot|quantum dot|singlet|triplet|transmission|line|resonator|interest|control|inhibition|emission|spin|qubit|lifetime|couple|quantum|nondemolition|measurement|spin|qubit|stability|gate|technology
10.1103/PhysRevB.83.235316,decoherence|state|spin|qubit|spin|diffusion|prospect|coherence|preservation|state|spin|qubit|protocol|experiment|demonstration|multipulse|decouple|sequence|qubit|coherence|improvement|lack|knowledge|noise|calculation|qubit|coherence|sequence|detail|noise|noise|power|density|feature|measurement|electron|singlet|triplet|spin|qubit|noise|power|spectrum|spin|flip|host|material|validation|programming|frequency|spin|dynamic|frequency|noise|source|conjecture|argument|calculation|bind|metric|order|spin|dynamic
10.1038/nature10401,quantum algorithm|quantum teleportation|quantum error correction|quantum system|fidelity|projective|read|state|spin|quantum|initialization|read|ingredient|shoot|read|state|bit|qubit|register|investigation|correlation|entanglement|access|resource|spin|solid|candidate|information|process|shoot|detection|preparation|measurement|quantum|register|temperature|state|excitation|physic|fidelity|read|spin|nitrogen|vacancy|centre|diamond|read|spin|qubit|state|spin|shoot|compatibility|qubit|control|initialization|manipulation|shoot|read|experiment|qubit|register|extension|register|way|test|entanglement|inequality|state|spin|measurement|information|protocol
10.1103/PhysRevLett.106.040505,quantum state|quantum state|transfer|spin|chain|transfer|spin|qubit|couple|qubit|class|infinite|temperature|spin|chain|couple|strength|disorder|manipulation|control|spin|principle|state|transfer|range|evolution|state|quantum|information|processor|couple|nitrogen|vacancy|center|micrometer|distance|room|temperature|imperfection|decoherence
10.1109/TED.2010.2089988,quantum computer|quantum computer|quantum computing|calculation|resonance|frequency|electron|spin|silicon|host|state|electron|spin|resonance|frequency|electron|spin|qubit|structure|realization|distribution|silicon|qubit|structure|simulation|perturbation|theory|order|resonance|frequency|phosphorus|donor|electron|spin|qubit|structure|kane|spin|qubit|field|favor|tunable|resonance|frequency|electron|spin|sige|insulation|material|gate|structure|control|efficiency|gate|voltage
10.1088/0031-8949/84/06/065010,bell state|bell state|entanglement|dynamic|electron|spin|qubit|quantum|dot|cavity|dynamic|electron|spin|qubit|quantum|dot|limit|noise|source|electron|spin|dephase|relaxation|dot|state|entanglement|behavior|begin|evolution|qds|podolsky|state|entanglement|evolution|behavior|presence|dephase|relaxation|interaction|mode|cavity|field|dynamic|entanglement|state
10.1103/PhysRevB.84.235309,quantum dot|quantum dot|quantum dot|screen|impurity|multielectron|singlet|triplet|spin|qubit|impurity|semiconductor|obstacle|fabrication|manipulation|singlet|triplet|spin|qubit|dot|electron|screen|impurity|potential|electron|screen|property|number|electron|property|singlet|triplet|qubit|number|electron|dot|sensitivity|multielectron|qubit|noise|order|magnitude|electron|qubit
10.1103/PhysRevB.83.121403,quantum dot|quantum dot|quantum dot|phase|gate|spin|qubit|qubit|interaction|heart|information|process|spin|qubit|semiconductor|exchange|gate|qubit|gate|integration|field|factor|gradient|step|realization|phase|phase|gate|phase|gate|duration|fidelity|condition|charge|field|fluctuation|gate|error|probability|fault|quantum|computation
10.1088/1674-1056/20/10/100310,quantum dot|quantum dot|quantum dot|decoherence|spin|entanglement|generation|purification|generation|purification|decoherence|spin|state|singlet|triplet|spin|resonator|charge|manipulation|measurement|spin|qubit|electron|nanowire|singlet|triplet|decoherence|qubit|state|qubit|source|decoherence|influence|error|simulation|stability|gate|condition
10.1038/ncomms1378,quantum computer|quantum computing|switch|spin|spin|couple|semiconductor|qubit|gate|part|computation|state|resonance|functionality|couple|evolution|entanglement|couple|spin|qubit|qubit|gate|qubit|couple|internuclear|couple|semiconductor|couple|strength|power|feature|way|couple|semiconductor|addition|reach|couple|variety|option|qubit|couple
10.1088/0953-8984/23/11/115302,quantum state|spin|relaxation|semiconductor|quantum|ring|dot|spin|relaxation|spin|orbit|electron|phonon|interaction|semiconductor|quantum|ring|dot|architecture|difference|confinement|relaxation|range|millisecond|second|stability|spin|quantum|ring|spin|qubit|discussion|manipulation|qubit
10.1103/PhysRevA.84.012315,quantum dot|quantum dot|spin|qubit|gate|couple|qubit|gate|spin|qubit|noise|advantage|uncertainty|fluctuation|tunnel|couple|barrier|gate|voltage|pulse|area|idea|dot|analog|passage|pulse|sequence|level|context|electron|transport|tunneling|passage|spin|tunneling|possibility|qubit|gate|gate
10.1016/j.physleta.2010.12.048,electron|phonon|scatter|control|qubit|state|interface|mechanism|control|donor|electron|spin|qubit|state|interface|calculation|donor|depth|field|strength|valley|feature|origin|valley|feature|right
10.1103/PhysRevLett.106.180503,quantum computing|quantum dot|quantum dot|quantum gate|anisotropic|exchange|couple|spin|qubit|exchange|couple|spin|qubit|isotropic|type|anisotropic|interaction|spin|bus|geometry|symmetry|field|type|interaction|greenberger|hornezeilinger|state|gate|set|exchange|couple|qubit|scheme|dot
10.1103/PhysRevLett.107.266803,electron|transfer|helium|transport|efficiency|electron|surface|micron|scale|helium|channel|silicon|process|technology|equivalent|charge|device|fringe|field|transfer|failure|cycle|dimension|transport|channel|packet|electron|pixel|way|scale|transport|qubit|electron|spin|qubit|communication|qubit
10.1088/0268-1242/26/5/055004,quantum dot|quantum dot|quantum dot|aluminum|oxide|gate|electron|gas|property|electron|gas|gate|material|sige|film|comparison|surface|schottky|gate|layer|suppression|leakage|current|oscillation|coulomb|oscillation|gate|leakage|gate|sige|spin|qubit|device
