,gate,noise,silicon,electron,state,field,quantum dot,donor,charge,control,hole,couple,photon,fidelity,interaction,exchange,dot,valley,relaxation,orbit,center,readout,entanglement,decoherence,coherence,resonator,measurement,phase,device,semiconductor,sequence,bath,frequency,error,diamond,information,resonance,scheme,temperature,transition,ion,energy,cavity,dynamic,order,environment,singlet,phonon,architecture,structure,parameter,triplet,interface,metal,distance,complex,molecule,regime,level,vacancy,computation,microwave,function
couple,0.40858690513588686,0.25428879966438994,0.31235807588017883,0.4409874775912412,0.4499166898076727,0.4107969327704774,0.4520287429298014,0.13894250359418212,0.3205897343611891,0.31129050712896644,0.20549873413169661,1.0,0.2877557846975818,0.2712583290538395,0.4745789978762495,0.32655665349766766,0.357238284938686,0.23301366225045,0.23728949893812476,0.3844529282682784,0.17574991006549873,0.20831080959324552,0.20056488422556007,0.18939490292186373,0.2684624220856097,0.2960390340781655,0.19168883582075832,0.2818268353806125,0.30713957630810024,0.2913762473312009,0.12001066808909962,0.1289651760438322,0.24659848095803594,0.13631243920156766,0.126612545266936,0.2698716833280298,0.27961639470054006,0.2104913339870572,0.17332507043581444,0.25041454487787174,0.1740122992212915,0.2650854018430103,0.2689280987965414,0.253225090533872,0.2796995643617191,0.12392039927415241,0.21815377450367382,0.24012009007506566,0.20270270270270271,0.12683657235796025,0.35617963571548505,0.2328179636630391,0.19735935605211033,0.1648875440653483,0.31589887589559384,0.16120647005479025,0.09672388203287414,0.27577065418392177,0.17796712420359356,0.15929650145365834,0.22781054041280493,0.22230800575069137,0.22863936706240465
photon,0.23558060760785304,0.10829614816910439,0.1260252075625209,0.19512427275947097,0.33117755755213474,0.20775265799933032,0.2634338483658456,0.023669053416557544,0.14760248092334924,0.13888490349773785,0.04667600280093366,0.2877557846975818,1.0,0.2940588176458821,0.18478904764672988,0.11800173873230718,0.16327233125332996,0.10585122480499262,0.040422604172722164,0.09356014857063996,0.22454435656953592,0.10437071518085823,0.27760292414333837,0.152828012432548,0.2000816826662603,0.2401460532140371,0.1484293920484818,0.1000200060020007,0.12684039844119843,0.17518714874213515,0.06814662756363819,0.0,0.14002800840280097,0.021110016546037454,0.2549019607843137,0.27296484008305655,0.12349309560582473,0.25100249018756765,0.08684168428648435,0.16692446522239718,0.08084520834544433,0.1215783580010781,0.5389680556362955,0.058823529411764705,0.1383306364814723,0.021110016546037454,0.0825840139015334,0.1278274981412284,0.09208185110322617,0.06482037235521644,0.11031946970293832,0.06262242910851494,0.2881752638568445,0.021606790785072147,0.2242242646654375,0.0,0.027461751819054487,0.1429762897859917,0.040422604172722164,0.20874143036171647,0.16340147404113337,0.3313667478318056,0.0741886512099543
fidelity,0.5123618056442546,0.3673598658373522,0.38,0.355333837288725,0.39868505325569675,0.2108345785496182,0.3834945408049835,0.16903085094570333,0.30568684048294337,0.36968455021364727,0.11666666666666667,0.2712583290538395,0.2940588176458821,1.0,0.19794866372215741,0.27688746209726917,0.24379951240146278,0.056694670951384085,0.1732050807568877,0.1469936830518334,0.16035674514745463,0.37267799624996495,0.24399771253216748,0.18190171877724973,0.24494897427831783,0.17149858514250885,0.2543994912015264,0.21428571428571427,0.260423717853257,0.28149445897705094,0.19466570535691505,0.019611613513818404,0.2125,0.4522670168666454,0.18203641092364128,0.2770141550629916,0.12598815766974242,0.23046638387921276,0.11163126113028762,0.06622661785325219,0.019245008972987525,0.07442084075352508,0.21169509870286277,0.0980196058819607,0.2853870759731949,0.0753778361444409,0.2359071298478354,0.09128709291752768,0.24659848095803594,0.04629100498862758,0.18382900600361157,0.223606797749979,0.12004900959975619,0.10801234497346435,0.112089707663561,0.0,0.019611613513818404,0.17503798979747345,0.1010362971081845,0.14907119849998599,0.30631648214557855,0.2197401062294143,0.15894388284780528
interaction,0.3973597071195132,0.3029933106152287,0.2804272736063897,0.4309917785941766,0.4347242610141992,0.4121918329908262,0.40582010762594667,0.19518001458970663,0.26951427432793884,0.2677264489518961,0.1649572197684645,0.4745789978762495,0.18478904764672988,0.19794866372215741,1.0,0.4368873437386328,0.2972523155187365,0.0779349607985687,0.21428571428571427,0.3086066999241838,0.1763466856709622,0.14754222271266348,0.22640166162658898,0.3400680204068024,0.34513545272200535,0.19802950859533486,0.1223980122724209,0.18852253687824513,0.14008295367013146,0.25796968518379115,0.1873171623163388,0.29115695163718175,0.1649572197684645,0.11190706454294862,0.16169041669088866,0.31309869252980593,0.23900054644894403,0.20064577354481264,0.1636833997804418,0.21849117511482075,0.12698412698412698,0.22506467469810748,0.23809523809523808,0.23098630955841237,0.2625429037887123,0.1865117742382477,0.21889453648082105,0.22587697572631282,0.13559399939321415,0.20362761288565667,0.30323921743156135,0.22131333406899525,0.19802950859533486,0.1527207096642425,0.26414295058344245,0.16175386202065653,0.19410463442478784,0.2045226094018689,0.17857142857142858,0.17213259316477408,0.1924918676723472,0.19518001458970663,0.25126485138204385
exchange,0.3682454511107383,0.2211246541915168,0.21669453555438456,0.37744559234332115,0.2847222726619717,0.16921000399116268,0.42682991603370185,0.12209353913347196,0.2537956625422937,0.24966101679323718,0.060192926542884606,0.32655665349766766,0.11800173873230718,0.27688746209726917,0.4368873437386328,1.0,0.35730449735028286,0.09100315103865801,0.10425720702853737,0.12869789041755736,0.03217447260438934,0.16151457061744964,0.18358670483850786,0.13139036155660136,0.1965892748731962,0.10323001737691674,0.08932612433757071,0.1203858530857692,0.16357216402190614,0.21336857774399212,0.17576247754451407,0.0,0.1203858530857692,0.19963735237617264,0.016857391247472455,0.14821593499596356,0.13650472655798704,0.16955211918878074,0.02986405467157765,0.07972747887248997,0.04633653645712773,0.1941163553652547,0.09267307291425546,0.08428695623736226,0.19821096115780554,0.07259540086406277,0.26624888508512806,0.0219793491131929,0.17812181099872781,0.05572782125753528,0.18968924322560374,0.23329882422520506,0.1238760208523001,0.16718346377260584,0.2120488083876214,0.07082882469748285,0.1180480411624714,0.10536048862093504,0.06950480468569159,0.017946063401938852,0.21072097724187008,0.14244246232238394,0.15945495774497995
dot,0.4134063256229279,0.204947725782639,0.3073993852018444,0.39880917976296004,0.3151632829595847,0.28970174890044587,0.536891283345484,0.17917234365811655,0.3128540441385291,0.2484996543155327,0.14133305066751467,0.357238284938686,0.16327233125332996,0.24379951240146278,0.2972523155187365,0.35730449735028286,1.0,0.1602566160430008,0.15299751534052614,0.25496671485153305,0.05665926996700735,0.1896181852559909,0.12931852900524937,0.14139798660049174,0.17309692896316617,0.12725169567260472,0.2247191011235955,0.16657109542957085,0.2760485888278269,0.25417856237895775,0.10317261749413632,0.062364806244454764,0.185499629001113,0.12784055442011863,0.0,0.18488092928425595,0.1736113340465842,0.2307219961955476,0.09203358899819876,0.11232011923910187,0.020399668712070152,0.13147655571171252,0.12239801227242092,0.1335864528436336,0.16288983604535415,0.07990034651257413,0.28131868970672697,0.07741129997161836,0.10455754681132273,0.06542448953507875,0.16702144855500403,0.20541970069399013,0.14543050934011967,0.11449285668638781,0.15276195320645225,0.020788268748151588,0.041576537496303176,0.2937715053343365,0.09179850920431569,0.0,0.13915492357942255,0.10750340619486992,0.14040014904887735
valley,0.158970161079422,0.1278872166673272,0.2834733547569204,0.25017331024611855,0.19155354158954885,0.2361125344403821,0.3008340438094307,0.09583148474999098,0.17928429140015906,0.1533595897329743,0.0314970394174356,0.23301366225045,0.10585122480499262,0.056694670951384085,0.0779349607985687,0.09100315103865801,0.1602566160430008,1.0,0.1091089451179962,0.37880720420707903,0.0,0.02817180849095055,0.0576390417704235,0.11458731212852642,0.03857583749052298,0.0,0.10016038502687549,0.10798984943120776,0.17118419700436516,0.1379193210918426,0.0,0.03706246583305506,0.0944911182523068,0.05698028822981897,0.0,0.1163350101494222,0.11904761904761904,0.048393391849582724,0.11720180773462385,0.25031308716087947,0.0,0.21096325392232293,0.0,0.0,0.08297398136450224,0.028490144114909487,0.08359173188630292,0.06900655593423542,0.031068488300060003,0.17496355305594127,0.024814583349273254,0.0563436169819011,0.291691675598474,0.20412414523193148,0.0,0.0,0.0,0.055131784641997125,0.1091089451179962,0.0,0.055131784641997125,0.06388765649999399,0.12515654358043973
relaxation,0.16556654463313047,0.09767547513254082,0.23094010767585027,0.3218071946836519,0.2633425811912938,0.25923001996688677,0.2088779965721784,0.19518001458970666,0.21300321680756462,0.1691882420459899,0.12028130608117203,0.23728949893812476,0.040422604172722164,0.1732050807568877,0.21428571428571427,0.10425720702853737,0.15299751534052614,0.1091089451179962,1.0,0.1735912687073534,0.09643959372630743,0.23668231560156439,0.04402254531628119,0.12252450735245085,0.20623947784607638,0.09901475429766744,0.18359701840863138,0.18557687223952257,0.1797731238766687,0.1805787796286538,0.0468292905790847,0.05661385170722978,0.07216878364870323,0.08703882797784893,0.06063390625908325,0.13327849749579576,0.1272937693043289,0.0924026588693216,0.304348821466759,0.11470786693528089,0.1388888888888889,0.17902871850985821,0.027777777777777776,0.2223243229499719,0.1901172751573434,0.17407765595569785,0.10640706634484358,0.31622776601683794,0.023728949893812475,0.15590239111558088,0.07580980435789034,0.10758287072798381,0.07426106572325057,0.11135885079684349,0.13867504905630726,0.254762332682534,0.14153462926807445,0.12632278815997786,0.16666666666666666,0.08606629658238704,0.0842151921066519,0.07319250547113999,0.1338258447578277
orbit,0.27591270276823465,0.20669695573152072,0.2939873661036668,0.31655654215763995,0.28895745753230795,0.38608754039747806,0.3190826885841291,0.11293848786315641,0.2394603721730797,0.16868694244915797,0.22271770159368698,0.3844529282682784,0.09356014857063996,0.1469936830518334,0.3086066999241838,0.12869789041755736,0.25496671485153305,0.37880720420707903,0.1735912687073534,1.0,0.07142857142857142,0.05976143046671969,0.1018923932424028,0.12964074471043288,0.1091089451179962,0.045834924851410566,0.07082408745875919,0.1336306209562122,0.15130688316720062,0.22291128503014113,0.0,0.0,0.15033444857573872,0.08058229640253803,0.018712029714127994,0.13710212427677043,0.20203050891044216,0.05132894331218662,0.08287419301647449,0.15929827321607745,0.07715167498104596,0.19889806323953876,0.05143444998736397,0.09356014857063996,0.2200179933183216,0.0,0.1379193210918426,0.14638501094227999,0.13181243254912403,0.12371791482634838,0.1579190414273092,0.13944333775567927,0.2520920866827581,0.14433756729740643,0.06419407387663693,0.052414241836095915,0.0,0.23390435267563514,0.1350154312168304,0.019920476822239894,0.058476088168908785,0.06776309271789385,0.23009750575655633
center,0.16350382386265755,0.15502271679864055,0.09354143466934853,0.21414119028310938,0.33410706027173104,0.20869596778242056,0.029007517144011733,0.06776309271789385,0.07042952122737638,0.19278507708475195,0.0445435403187374,0.17574991006549873,0.22454435656953592,0.16035674514745463,0.1763466856709622,0.03217447260438934,0.05665926996700735,0.0,0.09643959372630743,0.07142857142857142,1.0,0.11952286093343938,0.16302782918784448,0.11343565162162877,0.2182178902359924,0.18333969940564226,0.1558129924092702,0.20999097578833345,0.030261376633440123,0.04179586594315146,0.10838874619051499,0.07862136275414387,0.1336306209562122,0.020145574100634507,0.6736330697086078,0.2879144609812179,0.15152288168283162,0.23953506879020423,0.16574838603294897,0.23009750575655633,0.12858612496840993,0.08287419301647449,0.1800205749557739,0.13098420799889596,0.19068226087587872,0.18131016690571056,0.03940552031195503,0.17078251276599332,0.06590621627456202,0.12371791482634838,0.1579190414273092,0.07968190728895957,0.06875238727711586,0.12371791482634838,0.10699012312772822,0.15724272550828775,0.0,0.07796811755854505,0.09643959372630743,0.6772962119561564,0.07796811755854505,0.1355261854357877,0.07079923254047886
readout,0.2051956704170308,0.14411256705570563,0.34286375654996776,0.28042962878239014,0.26190575026004975,0.10476454436543674,0.269660334037739,0.20158105227158785,0.282842712474619,0.2688259461818373,0.14907119849998599,0.20831080959324552,0.10437071518085823,0.37267799624996495,0.14754222271266348,0.16151457061744964,0.1896181852559909,0.02817180849095055,0.23668231560156439,0.05976143046671969,0.11952286093343938,1.0,0.1363988678940947,0.036155076303109365,0.15214515486254615,0.1278274981412284,0.3002287933219856,0.170367083999984,0.25318484177091666,0.20204270845206798,0.07254762501100116,0.0,0.11180339887498948,0.20225995873897262,0.10437071518085823,0.07647191129018725,0.0563436169819011,0.20995272258175168,0.1294300457858868,0.09872481295984872,0.02868876552746235,0.11094003924504582,0.1147550621098494,0.041748286072343294,0.14726420810214477,0.0,0.1318760946791574,0.027216552697590865,0.12253577034896795,0.046004370622823615,0.13701805122009747,0.13333333333333333,0.1278274981412284,0.11501092655705904,0.11935247900657214,0.029235267310234306,0.0,0.08697707640712563,0.06454972243679029,0.15555555555555556,0.17395415281425125,0.12598815766974242,0.09872481295984872
entanglement,0.24489899998946185,0.14742593246782543,0.12199885626608374,0.21250157716599583,0.3194518507912941,0.13098951476312376,0.15448172997050222,0.0,0.09644856443408242,0.13750333019910538,0.05083285677753489,0.20056488422556007,0.27760292414333837,0.24399771253216748,0.22640166162658898,0.18358670483850786,0.12931852900524937,0.0576390417704235,0.04402254531628119,0.1018923932424028,0.16302782918784448,0.1363988678940947,1.0,0.20342484840021,0.12451456127293807,0.05230657809659415,0.16164816125656173,0.13071306028508972,0.03453412578549853,0.11129352513105634,0.07421560439929402,0.02990743022772896,0.09531160645787792,0.045980048987170286,0.25624885305538925,0.17210625507370647,0.05763904177042349,0.15620352911691196,0.05674535908931508,0.08079571632467769,0.02934836354418746,0.07566047878575344,0.1467418177209373,0.19218663979154194,0.050216678166132296,0.11495012246792571,0.06745406256199318,0.08352690695845569,0.12535305264097504,0.023531040266750583,0.1802163895792365,0.06819943394704735,0.13076644524148537,0.07059312080025175,0.21977383072747694,0.02990743022772896,0.05981486045545792,0.06673260799501936,0.04402254531628119,0.22733144649015782,0.15570941865504517,0.07733088933397006,0.12119357448701654
decoherence,0.2225659536298629,0.3165318521317621,0.18190171877724973,0.3464142830645649,0.278613658631905,0.25567448143901744,0.25446429777477236,0.18448201388042726,0.2173067468400883,0.24055570926238246,0.020211302086361082,0.18939490292186373,0.152828012432548,0.18190171877724973,0.3400680204068024,0.13139036155660136,0.14139798660049174,0.11458731212852642,0.12252450735245085,0.12964074471043288,0.11343565162162877,0.036155076303109365,0.20342484840021,1.0,0.35892848432904445,0.04159451654038515,0.16710671143694478,0.12126781251816648,0.06865437954763622,0.15171652122725207,0.15737789507292674,0.38052119532359524,0.09095085938862486,0.1645362954286044,0.152828012432548,0.2737199309863917,0.13750477455423168,0.15526752351113424,0.13537278845914205,0.12849851324064712,0.18670401120373464,0.13537278845914205,0.11669000700233416,0.28867513459481287,0.23959569062925093,0.29250896965085227,0.1609196714667341,0.11070186069251192,0.09968152785361249,0.14969623771302396,0.1273859510596964,0.10846522890932808,0.10398629135096288,0.05613608914238398,0.0582551728035463,0.14269544824634822,0.1664780229540729,0.10613237065158375,0.2450490147049017,0.12654276706088277,0.10613237065158375,0.12298800925361816,0.144560827395728
